,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_4,0.0,0.0,0.9933333333333333,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_5,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_6,0.0,0.0,0.0,0.0,0.23299999999999998,0.7669999999999999,0.0,0.0,0.0,0.0
prog_cut_7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
prog_cut_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0
