,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.5982844123410742,0.38813979281972705,0.013575794839198619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.6100101862821503,0.37258697173224886,0.016633611216369838,0.0007692307692307692,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.3426557563930877,0.3501297602724889,0.2624415328133469,0.04400371975184569,0.0007692307692307692,0.0,0.0,0.0,0.0,0.0
prog_cut_4,0.1511895246515936,0.38004615945995257,0.38468114044320934,0.08265460401667298,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0
prog_cut_5,0.14913765034454687,0.32417116612633856,0.3913506729541213,0.12252726341347037,0.01117991382818969,0.0016333333333333332,0.0,0.0,0.0,0.0
prog_cut_6,0.0,0.0,0.22536631580424685,0.5553874419322696,0.1974473074817902,0.020965601448360065,0.0008333333333333333,0.0,0.0,0.0
prog_cut_7,0.0,0.0,0.20440870835998756,0.5545953937876074,0.21390252634524054,0.027093371507164607,0.0,0.0,0.0,0.0
prog_cut_8,0.0,0.0,0.08735400053331087,0.22881115181115178,0.09256115531977599,0.3892641208089483,0.17593281967075075,0.026076751856062202,0.0,0.0
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.6384543177129385,0.3225052067983103,0.03904047548875136,0.0,0.0
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.6434361935637799,0.3145040686006203,0.042059737835599915,0.0,0.0
