,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.3048566777558367,0.29901865269769884,0.20213657841383717,0.09749943990019382,0.09648865123243353,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.2969661017131092,0.30611094193156274,0.2005558318077847,0.10028430654534969,0.09608281800219348,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.19788109827366657,0.19713221897144137,0.16857671692048545,0.15578934824166557,0.15257969254523815,0.05035680312130106,0.05250461818886615,0.025179503737335514,0.0,0.0
prog_cut_4,0.10095850092015457,0.10239990191623523,0.14846666709001227,0.19874236769290235,0.20395238638121202,0.09775419745498215,0.09716110829153526,0.050564870252966056,0.0,0.0
prog_cut_5,0.10023055355283887,0.09851270790574067,0.1527028518060508,0.201938439835078,0.1937723716144779,0.10187723297930529,0.10303483571205976,0.04793100659444857,0.0,0.0
prog_cut_6,0.0,0.0,0.05186406982379726,0.10179411357971163,0.0992484403417659,0.2008095643403274,0.1979140452720191,0.1463386666240773,0.09999153347285651,0.10203956654544498
prog_cut_7,0.0,0.0,0.05177647691806636,0.09719387198088078,0.1037951764605152,0.19719450897439825,0.20291458527717887,0.14580857485922316,0.10166485429627416,0.09965195123346327
prog_cut_8,0.0,0.0,0.025301471873940332,0.04714011398748169,0.048233518619375984,0.14766413893413152,0.14483655259573594,0.1793340326722805,0.20396869610170218,0.20352147521535194
prog_cut_9,0.0,0.0,0.0,0.0,0.00026338783687308924,0.10029728858184667,0.1024269743755142,0.19926715874414963,0.29654871716169634,0.30119647329992005
prog_cut_10,0.0,0.0,0.0,0.0,0.0005261270705771454,0.09991582221412401,0.0987647294137112,0.20185447902971984,0.3030710405028039,0.2958678017690641
