,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.34489942037528243,0.35043371787854555,0.18490969924073372,0.05785722425722427,0.06189993824821415,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.3429190664408056,0.3432571993224168,0.18246423865989084,0.07495341614906832,0.05640607942781854,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.15019780360125187,0.15195662358076154,0.18992697009248727,0.19483535570432117,0.20193123657951248,0.04904331607090228,0.039297000828035306,0.022811693542728023,0.0,0.0
prog_cut_4,0.07077884434406173,0.05751919819311122,0.1770604178430265,0.2613374741200829,0.27606154714850367,0.053289949181253536,0.07254846602672689,0.03140410314323358,0.0,0.0
prog_cut_5,0.055279975579975583,0.05020512820512821,0.13969442409442412,0.2426929181929183,0.21862112332112332,0.10268286528286527,0.10957663817663812,0.06222376882376881,0.008473219373219371,0.010549938949938949
prog_cut_6,0.0,0.0,0.03406098249576511,0.06986278938452849,0.06072200263504612,0.2568074534161491,0.2684555806512329,0.1751179183135705,0.06915010351966873,0.06582316958403915
prog_cut_7,0.0,0.0,0.032977614977614984,0.06740667480667482,0.07344521774521776,0.28144806674806666,0.24084350834350837,0.18202511192511195,0.05730472120472123,0.06454908424908426
prog_cut_8,0.0,0.0,0.011856013551665727,0.02755599472990777,0.02450894033502729,0.15409156785243744,0.1420563711650668,0.1892164502164502,0.22970826275174097,0.2210063993977038
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.06278060572888158,0.07172959454338763,0.200326411519515,0.32496740909154703,0.34019597911666877
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.05994419348767174,0.07457745153397327,0.21436768304159606,0.3630715226802183,0.2880391492565406
