,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.864137049941928,0.13437514518002322,0.0014878048780487807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.43775609756097567,0.5389146341463414,0.023329268292682923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.13843902439024391,0.5516951219512194,0.30139024390243907,0.008475609756097562,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_4,0.03867421602787457,0.19715447154471546,0.6325789779326364,0.13111614401858301,0.0004761904761904762,0.0,0.0,0.0,0.0,0.0
prog_cut_5,0.00840418118466899,0.0550383275261324,0.37652380952380965,0.530809523809524,0.029224157955865276,0.0,0.0,0.0,0.0,0.0
prog_cut_6,0.0019878048780487805,0.012379210220673637,0.11401045296167252,0.5270441347270615,0.3416149825783972,0.002963414634146342,0.0,0.0,0.0,0.0
prog_cut_7,0.0,0.0024761904761904764,0.03276887340301973,0.21359639953542392,0.6158257839721255,0.13433275261324046,0.001,0.0,0.0,0.0
prog_cut_8,0.0,0.0,0.006927409988385599,0.05811785561464635,0.359785989363653,0.5474444036921572,0.027724341341157775,0.0,0.0,0.0
prog_cut_9,0.0,0.0,0.001,0.016460961363400393,0.10807016088723406,0.5204379679867486,0.34809188537237307,0.0059390243902439025,0.0,0.0
prog_cut_10,0.0,0.0,0.0,0.0029496345947958844,0.024709533407187654,0.23662546708945467,0.6323582235975256,0.10221428416817899,0.0011428571428571427,0.0
