Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unmatched_applicants,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0,3875.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1897.4018691588785,1498.4018691588785,1403.0093457943926,1503.2242990654206,1603.4392523364486
reviews_per_program,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1891.0934579439252,1464.4859813084113,1403.0093457943926,1503.2242990654206,1603.4392523364486
reviews_per_program,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1878.3551401869158,1455.9532710280373,1403.0093457943926,1503.2242990654206,1603.4392523364486
reviews_per_program,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1897.728971962617,1482.056074766355,1403.0093457943926,1503.2242990654206,1603.4392523364486
reviews_per_program,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1897.8130841121495,1473.3831775700935,1403.0093457943926,1503.2242990654206,1603.4392523364486
reviews_per_program,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1904.0841121495328,1890.588785046729,1471.7196261682243,1403.0093457943926,1503.2242990654206,1603.4392523364486
