Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
unmatched_applicants,1929.0,1435.0,1447.0,1439.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1446.0,1514.0,1480.0,1527.0,1621.0,1689.0,1706.0
unmatched_applicants,1921.0,1445.0,1460.0,1432.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1441.0,1454.0,1507.0,1505.0,1628.0,1667.0,1726.0
unmatched_applicants,1927.0,1453.0,1467.0,1432.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1468.0,1481.0,1514.0,1610.0,1688.0,1737.0
unmatched_applicants,1906.0,1433.0,1465.0,1433.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1432.0,1460.0,1474.0,1517.0,1605.0,1674.0,1703.0
unmatched_applicants,1889.0,1444.0,1458.0,1432.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1453.0,1473.0,1521.0,1615.0,1672.0,1717.0
unmatched_applicants,1905.0,1440.0,1459.0,1435.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1433.0,1477.0,1474.0,1558.0,1605.0,1686.0,1699.0
unmatched_applicants,1879.0,1453.0,1454.0,1435.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1462.0,1501.0,1523.0,1617.0,1680.0,1725.0
unmatched_applicants,1924.0,1450.0,1443.0,1438.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1476.0,1479.0,1557.0,1581.0,1660.0,1708.0
unmatched_applicants,1900.0,1440.0,1452.0,1439.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1466.0,1489.0,1531.0,1615.0,1670.0,1704.0
unmatched_applicants,1937.0,1445.0,1441.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1467.0,1487.0,1558.0,1609.0,1675.0,1722.0
unmatched_applicants,1921.0,1440.0,1453.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1480.0,1456.0,1542.0,1617.0,1687.0,1773.0
