Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
unmatched_applicants,11341.0,9332.0,9332.0,9332.0,9332.0,9332.0,9340.0,9375.0,9374.0,9464.0,9560.0,9634.0,9668.0,9709.0,9775.0,9821.0,9920.0,9941.0,9955.0,10008.0,10177.0,10176.0,10213.0,10237.0,10501.0,10464.0,10480.0,10490.0,10779.0,10831.0,10817.0,10874.0,11057.0,11077.0,11086.0
unmatched_applicants,11344.0,9332.0,9332.0,9332.0,9332.0,9332.0,9334.0,9382.0,9378.0,9503.0,9567.0,9626.0,9638.0,9705.0,9778.0,9812.0,9923.0,9935.0,9968.0,9988.0,10188.0,10172.0,10205.0,10213.0,10495.0,10486.0,10453.0,10527.0,10769.0,10785.0,10809.0,10761.0,11085.0,11112.0,11093.0
unmatched_applicants,11326.0,9332.0,9332.0,9332.0,9332.0,9332.0,9342.0,9396.0,9374.0,9479.0,9529.0,9642.0,9641.0,9718.0,9776.0,9829.0,9957.0,9977.0,9986.0,10031.0,10167.0,10184.0,10208.0,10231.0,10429.0,10452.0,10495.0,10463.0,10768.0,10790.0,10817.0,10799.0,11089.0,11099.0,11066.0
unmatched_applicants,11370.0,9332.0,9332.0,9332.0,9332.0,9332.0,9341.0,9405.0,9392.0,9479.0,9560.0,9639.0,9634.0,9724.0,9782.0,9819.0,9939.0,9959.0,9974.0,9991.0,10188.0,10151.0,10184.0,10168.0,10489.0,10482.0,10471.0,10525.0,10788.0,10790.0,10774.0,10813.0,11091.0,11075.0,11077.0
unmatched_applicants,11373.0,9332.0,9332.0,9332.0,9332.0,9332.0,9338.0,9394.0,9383.0,9476.0,9548.0,9641.0,9683.0,9711.0,9785.0,9838.0,9950.0,9935.0,9950.0,9975.0,10190.0,10188.0,10196.0,10204.0,10469.0,10484.0,10456.0,10494.0,10705.0,10726.0,10793.0,10839.0,11127.0,11089.0,11102.0
unmatched_applicants,11358.0,9332.0,9332.0,9332.0,9332.0,9332.0,9347.0,9391.0,9399.0,9472.0,9566.0,9645.0,9672.0,9715.0,9780.0,9827.0,9914.0,9974.0,9973.0,10015.0,10175.0,10210.0,10209.0,10227.0,10497.0,10487.0,10428.0,10487.0,10794.0,10802.0,10779.0,10819.0,11049.0,11099.0,11053.0
unmatched_applicants,11343.0,9332.0,9332.0,9332.0,9332.0,9332.0,9339.0,9376.0,9386.0,9473.0,9539.0,9658.0,9654.0,9706.0,9794.0,9840.0,9926.0,9953.0,9948.0,9994.0,10187.0,10184.0,10218.0,10215.0,10482.0,10469.0,10460.0,10470.0,10781.0,10829.0,10800.0,10832.0,11124.0,11087.0,11023.0
unmatched_applicants,11300.0,9332.0,9332.0,9332.0,9332.0,9332.0,9335.0,9385.0,9387.0,9471.0,9577.0,9651.0,9649.0,9732.0,9770.0,9814.0,9914.0,9894.0,9963.0,10005.0,10192.0,10209.0,10223.0,10180.0,10488.0,10492.0,10528.0,10457.0,10777.0,10786.0,10819.0,10806.0,11054.0,11103.0,11059.0
unmatched_applicants,11335.0,9332.0,9332.0,9332.0,9332.0,9332.0,9341.0,9392.0,9395.0,9504.0,9557.0,9659.0,9641.0,9719.0,9765.0,9831.0,9939.0,9964.0,9966.0,9974.0,10209.0,10182.0,10233.0,10164.0,10491.0,10451.0,10434.0,10488.0,10788.0,10778.0,10818.0,10808.0,11088.0,11084.0,11079.0
unmatched_applicants,11333.0,9332.0,9332.0,9332.0,9332.0,9332.0,9332.0,9370.0,9395.0,9466.0,9566.0,9645.0,9630.0,9730.0,9776.0,9809.0,9894.0,9962.0,9969.0,9984.0,10179.0,10197.0,10195.0,10179.0,10461.0,10470.0,10459.0,10493.0,10830.0,10771.0,10804.0,10785.0,11085.0,11083.0,11154.0
unmatched_applicants,11330.0,9332.0,9332.0,9332.0,9332.0,9332.0,9348.0,9368.0,9375.0,9498.0,9569.0,9663.0,9651.0,9704.0,9782.0,9821.0,9910.0,9945.0,9982.0,9983.0,10188.0,10175.0,10191.0,10242.0,10491.0,10438.0,10504.0,10491.0,10810.0,10803.0,10787.0,10835.0,11059.0,11038.0,11091.0
unmatched_applicants,11323.0,9332.0,9332.0,9332.0,9332.0,9332.0,9337.0,9398.0,9372.0,9467.0,9589.0,9650.0,9669.0,9726.0,9768.0,9837.0,9906.0,9940.0,10001.0,9992.0,10188.0,10184.0,10199.0,10196.0,10470.0,10477.0,10491.0,10478.0,10775.0,10796.0,10772.0,10801.0,11108.0,11118.0,11107.0
unmatched_applicants,11302.0,9332.0,9332.0,9332.0,9332.0,9332.0,9343.0,9384.0,9385.0,9460.0,9562.0,9636.0,9616.0,9724.0,9789.0,9833.0,9904.0,9944.0,9956.0,9995.0,10181.0,10174.0,10201.0,10212.0,10434.0,10498.0,10428.0,10476.0,10780.0,10802.0,10800.0,10814.0,11092.0,11095.0,11084.0
unmatched_applicants,11300.0,9332.0,9332.0,9332.0,9332.0,9332.0,9335.0,9391.0,9391.0,9459.0,9560.0,9664.0,9637.0,9730.0,9763.0,9814.0,9937.0,9963.0,9945.0,10000.0,10170.0,10185.0,10188.0,10214.0,10463.0,10519.0,10437.0,10496.0,10791.0,10834.0,10825.0,10819.0,11088.0,11109.0,11141.0
unmatched_applicants,11320.0,9332.0,9332.0,9332.0,9332.0,9332.0,9344.0,9396.0,9393.0,9486.0,9573.0,9642.0,9651.0,9712.0,9775.0,9807.0,9932.0,9941.0,9965.0,10014.0,10151.0,10209.0,10193.0,10212.0,10492.0,10483.0,10509.0,10465.0,10823.0,10820.0,10780.0,10795.0,11091.0,11111.0,11099.0
unmatched_applicants,11367.0,9332.0,9332.0,9332.0,9332.0,9332.0,9332.0,9375.0,9387.0,9478.0,9594.0,9662.0,9637.0,9711.0,9788.0,9823.0,9939.0,9944.0,9988.0,9984.0,10182.0,10198.0,10190.0,10214.0,10472.0,10474.0,10497.0,10493.0,10787.0,10803.0,10762.0,10804.0,11081.0,11108.0,11070.0
unmatched_applicants,11361.0,9332.0,9332.0,9332.0,9332.0,9332.0,9332.0,9372.0,9421.0,9451.0,9587.0,9649.0,9673.0,9699.0,9763.0,9821.0,9952.0,9970.0,9962.0,9994.0,10172.0,10197.0,10192.0,10227.0,10462.0,10493.0,10449.0,10493.0,10818.0,10823.0,10790.0,10782.0,11116.0,11085.0,11077.0
unmatched_applicants,11345.0,9332.0,9332.0,9332.0,9332.0,9332.0,9345.0,9377.0,9393.0,9473.0,9548.0,9649.0,9624.0,9712.0,9798.0,9827.0,9950.0,9920.0,9952.0,9980.0,10129.0,10183.0,10182.0,10167.0,10501.0,10486.0,10451.0,10490.0,10789.0,10803.0,10825.0,10783.0,11116.0,11064.0,11110.0
unmatched_applicants,11387.0,9332.0,9332.0,9332.0,9332.0,9332.0,9338.0,9370.0,9365.0,9455.0,9584.0,9651.0,9657.0,9703.0,9795.0,9825.0,9936.0,9949.0,9971.0,9994.0,10168.0,10213.0,10194.0,10231.0,10444.0,10492.0,10456.0,10470.0,10757.0,10786.0,10777.0,10751.0,11070.0,11122.0,11064.0
unmatched_applicants,11389.0,9332.0,9332.0,9332.0,9332.0,9332.0,9339.0,9383.0,9411.0,9461.0,9577.0,9644.0,9650.0,9721.0,9758.0,9824.0,9919.0,9950.0,9978.0,9988.0,10169.0,10172.0,10169.0,10207.0,10504.0,10516.0,10449.0,10431.0,10758.0,10779.0,10787.0,10792.0,11118.0,11085.0,11106.0
unfilled_spots,2009.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,42.0,132.0,228.0,302.0,336.0,377.0,443.0,489.0,588.0,609.0,623.0,676.0,845.0,844.0,881.0,905.0,1169.0,1132.0,1148.0,1158.0,1447.0,1499.0,1485.0,1542.0,1725.0,1745.0,1754.0
unfilled_spots,2012.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,46.0,171.0,235.0,294.0,306.0,373.0,446.0,480.0,591.0,603.0,636.0,656.0,856.0,840.0,873.0,881.0,1163.0,1154.0,1121.0,1195.0,1437.0,1453.0,1477.0,1429.0,1753.0,1780.0,1761.0
unfilled_spots,1994.0,0.0,0.0,0.0,0.0,0.0,10.0,64.0,42.0,147.0,197.0,310.0,309.0,386.0,444.0,497.0,625.0,645.0,654.0,699.0,835.0,852.0,876.0,899.0,1097.0,1120.0,1163.0,1131.0,1436.0,1458.0,1485.0,1467.0,1757.0,1767.0,1734.0
unfilled_spots,2038.0,0.0,0.0,0.0,0.0,0.0,9.0,73.0,60.0,147.0,228.0,307.0,302.0,392.0,450.0,487.0,607.0,627.0,642.0,659.0,856.0,819.0,852.0,836.0,1157.0,1150.0,1139.0,1193.0,1456.0,1458.0,1442.0,1481.0,1759.0,1743.0,1745.0
unfilled_spots,2041.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,51.0,144.0,216.0,309.0,351.0,379.0,453.0,506.0,618.0,603.0,618.0,643.0,858.0,856.0,864.0,872.0,1137.0,1152.0,1124.0,1162.0,1373.0,1394.0,1461.0,1507.0,1795.0,1757.0,1770.0
unfilled_spots,2026.0,0.0,0.0,0.0,0.0,0.0,15.0,59.0,67.0,140.0,234.0,313.0,340.0,383.0,448.0,495.0,582.0,642.0,641.0,683.0,843.0,878.0,877.0,895.0,1165.0,1155.0,1096.0,1155.0,1462.0,1470.0,1447.0,1487.0,1717.0,1767.0,1721.0
unfilled_spots,2011.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,54.0,141.0,207.0,326.0,322.0,374.0,462.0,508.0,594.0,621.0,616.0,662.0,855.0,852.0,886.0,883.0,1150.0,1137.0,1128.0,1138.0,1449.0,1497.0,1468.0,1500.0,1792.0,1755.0,1691.0
unfilled_spots,1968.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,55.0,139.0,245.0,319.0,317.0,400.0,438.0,482.0,582.0,562.0,631.0,673.0,860.0,877.0,891.0,848.0,1156.0,1160.0,1196.0,1125.0,1445.0,1454.0,1487.0,1474.0,1722.0,1771.0,1727.0
unfilled_spots,2003.0,0.0,0.0,0.0,0.0,0.0,9.0,60.0,63.0,172.0,225.0,327.0,309.0,387.0,433.0,499.0,607.0,632.0,634.0,642.0,877.0,850.0,901.0,832.0,1159.0,1119.0,1102.0,1156.0,1456.0,1446.0,1486.0,1476.0,1756.0,1752.0,1747.0
unfilled_spots,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,63.0,134.0,234.0,313.0,298.0,398.0,444.0,477.0,562.0,630.0,637.0,652.0,847.0,865.0,863.0,847.0,1129.0,1138.0,1127.0,1161.0,1498.0,1439.0,1472.0,1453.0,1753.0,1751.0,1822.0
unfilled_spots,1998.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,43.0,166.0,237.0,331.0,319.0,372.0,450.0,489.0,578.0,613.0,650.0,651.0,856.0,843.0,859.0,910.0,1159.0,1106.0,1172.0,1159.0,1478.0,1471.0,1455.0,1503.0,1727.0,1706.0,1759.0
unfilled_spots,1991.0,0.0,0.0,0.0,0.0,0.0,5.0,66.0,40.0,135.0,257.0,318.0,337.0,394.0,436.0,505.0,574.0,608.0,669.0,660.0,856.0,852.0,867.0,864.0,1138.0,1145.0,1159.0,1146.0,1443.0,1464.0,1440.0,1469.0,1776.0,1786.0,1775.0
unfilled_spots,1970.0,0.0,0.0,0.0,0.0,0.0,11.0,52.0,53.0,128.0,230.0,304.0,284.0,392.0,457.0,501.0,572.0,612.0,624.0,663.0,849.0,842.0,869.0,880.0,1102.0,1166.0,1096.0,1144.0,1448.0,1470.0,1468.0,1482.0,1760.0,1763.0,1752.0
unfilled_spots,1968.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,59.0,127.0,228.0,332.0,305.0,398.0,431.0,482.0,605.0,631.0,613.0,668.0,838.0,853.0,856.0,882.0,1131.0,1187.0,1105.0,1164.0,1459.0,1502.0,1493.0,1487.0,1756.0,1777.0,1809.0
unfilled_spots,1988.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,61.0,154.0,241.0,310.0,319.0,380.0,443.0,475.0,600.0,609.0,633.0,682.0,819.0,877.0,861.0,880.0,1160.0,1151.0,1177.0,1133.0,1491.0,1488.0,1448.0,1463.0,1759.0,1779.0,1767.0
unfilled_spots,2035.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,55.0,146.0,262.0,330.0,305.0,379.0,456.0,491.0,607.0,612.0,656.0,652.0,850.0,866.0,858.0,882.0,1140.0,1142.0,1165.0,1161.0,1455.0,1471.0,1430.0,1472.0,1749.0,1776.0,1738.0
unfilled_spots,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,89.0,119.0,255.0,317.0,341.0,367.0,431.0,489.0,620.0,638.0,630.0,662.0,840.0,865.0,860.0,895.0,1130.0,1161.0,1117.0,1161.0,1486.0,1491.0,1458.0,1450.0,1784.0,1753.0,1745.0
