Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,8645.0,8186.0,8186.0,8186.0,8186.0,8186.0,8187.0,8189.0,8197.0,8206.0,8242.0,8269.0,8277.0,8299.0,8318.0,8344.0,8366.0,8380.0,8401.0,8401.0,8451.0,8487.0,8470.0,8479.0,8526.0,8567.0,8555.0,8553.0
unmatched_applicants,8653.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8195.0,8196.0,8210.0,8224.0,8266.0,8275.0,8284.0,8323.0,8344.0,8358.0,8376.0,8401.0,8401.0,8469.0,8474.0,8478.0,8475.0,8551.0,8554.0,8548.0,8563.0
unmatched_applicants,8654.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8191.0,8190.0,8198.0,8243.0,8275.0,8264.0,8301.0,8303.0,8345.0,8370.0,8382.0,8389.0,8405.0,8473.0,8465.0,8474.0,8474.0,8533.0,8547.0,8543.0,8550.0
unmatched_applicants,8631.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8196.0,8188.0,8205.0,8243.0,8267.0,8267.0,8286.0,8311.0,8340.0,8365.0,8378.0,8389.0,8396.0,8476.0,8446.0,8474.0,8482.0,8525.0,8533.0,8559.0,8550.0
unmatched_applicants,8639.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8198.0,8193.0,8208.0,8232.0,8272.0,8260.0,8303.0,8319.0,8337.0,8360.0,8383.0,8384.0,8413.0,8463.0,8462.0,8463.0,8470.0,8547.0,8552.0,8573.0,8564.0
unmatched_applicants,8656.0,8186.0,8186.0,8186.0,8186.0,8186.0,8188.0,8189.0,8193.0,8204.0,8242.0,8264.0,8270.0,8295.0,8312.0,8338.0,8367.0,8387.0,8394.0,8396.0,8471.0,8458.0,8459.0,8483.0,8550.0,8552.0,8550.0,8578.0
unmatched_applicants,8658.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8195.0,8193.0,8205.0,8235.0,8260.0,8278.0,8299.0,8319.0,8341.0,8362.0,8377.0,8385.0,8406.0,8477.0,8462.0,8465.0,8480.0,8544.0,8556.0,8542.0,8554.0
unmatched_applicants,8649.0,8186.0,8186.0,8186.0,8186.0,8186.0,8188.0,8193.0,8188.0,8217.0,8241.0,8276.0,8263.0,8308.0,8330.0,8338.0,8370.0,8374.0,8395.0,8401.0,8462.0,8449.0,8469.0,8477.0,8558.0,8538.0,8561.0,8540.0
unmatched_applicants,8655.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8196.0,8194.0,8202.0,8230.0,8265.0,8256.0,8279.0,8323.0,8326.0,8350.0,8371.0,8395.0,8404.0,8465.0,8475.0,8472.0,8483.0,8541.0,8551.0,8546.0,8564.0
unmatched_applicants,8661.0,8186.0,8186.0,8186.0,8186.0,8186.0,8186.0,8193.0,8196.0,8199.0,8227.0,8252.0,8267.0,8292.0,8322.0,8348.0,8369.0,8391.0,8400.0,8418.0,8463.0,8460.0,8485.0,8468.0,8540.0,8548.0,8533.0,8551.0
