Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,10045.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9957.0,9964.0,9958.0,9966.0,9966.0,9976.0,9972.0,9975.0,9982.0,9985.0,9992.0,9988.0,9994.0,9997.0,10004.0,10013.0,10014.0,10018.0,10021.0,10025.0
unmatched_applicants,10039.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9958.0,9958.0,9959.0,9964.0,9970.0,9970.0,9970.0,9978.0,9978.0,9988.0,9990.0,9989.0,9993.0,9996.0,10005.0,10005.0,10009.0,10011.0,10017.0,10020.0
unmatched_applicants,10029.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9963.0,9962.0,9963.0,9970.0,9968.0,9970.0,9978.0,9981.0,9986.0,9992.0,9991.0,10000.0,9994.0,10006.0,10010.0,10012.0,10009.0,10024.0,10021.0
unmatched_applicants,10035.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9959.0,9956.0,9961.0,9968.0,9966.0,9968.0,9972.0,9975.0,9979.0,9984.0,9992.0,9989.0,9998.0,10004.0,10010.0,10005.0,10009.0,10014.0,10017.0,10027.0
unmatched_applicants,10049.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9956.0,9959.0,9959.0,9959.0,9964.0,9972.0,9970.0,9976.0,9978.0,9980.0,9995.0,9996.0,9993.0,9996.0,9998.0,10013.0,10010.0,10009.0,10022.0,10024.0
unmatched_applicants,10042.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9958.0,9957.0,9960.0,9964.0,9963.0,9967.0,9974.0,9964.0,9976.0,9979.0,9994.0,9990.0,9992.0,9995.0,10000.0,10007.0,10008.0,10011.0,10008.0,10024.0,10024.0
unmatched_applicants,10038.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9958.0,9959.0,9956.0,9959.0,9964.0,9968.0,9969.0,9977.0,9979.0,9984.0,9984.0,9992.0,9985.0,9993.0,10000.0,10005.0,10005.0,10008.0,10018.0,10020.0,10022.0
unmatched_applicants,10036.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9955.0,9957.0,9959.0,9960.0,9962.0,9968.0,9970.0,9976.0,9978.0,9987.0,9980.0,9992.0,9991.0,9999.0,10003.0,10009.0,10016.0,10009.0,10014.0,10019.0,10024.0
unmatched_applicants,10040.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9957.0,9958.0,9960.0,9961.0,9964.0,9964.0,9966.0,9967.0,9972.0,9977.0,9990.0,9995.0,9998.0,9993.0,9999.0,10007.0,10007.0,10010.0,10023.0,10021.0,10024.0
unmatched_applicants,10042.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9960.0,9959.0,9964.0,9968.0,9971.0,9973.0,9977.0,9978.0,9985.0,9982.0,9990.0,10001.0,10000.0,9998.0,10013.0,10013.0,10015.0,10027.0,10028.0
unmatched_applicants,10035.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9958.0,9958.0,9956.0,9963.0,9966.0,9969.0,9966.0,9976.0,9979.0,9988.0,9989.0,9989.0,9995.0,10001.0,10004.0,10009.0,10011.0,10010.0,10027.0,10023.0
unmatched_applicants,10036.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9956.0,9958.0,9964.0,9966.0,9961.0,9974.0,9974.0,9975.0,9980.0,9985.0,9984.0,9994.0,9996.0,9998.0,10004.0,10009.0,10009.0,10018.0,10022.0,10029.0
unmatched_applicants,10038.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9959.0,9959.0,9958.0,9966.0,9966.0,9969.0,9968.0,9976.0,9979.0,9985.0,9994.0,9993.0,9997.0,9999.0,10003.0,10004.0,10009.0,10015.0,10022.0,10024.0
