Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,8005.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7854.0,7871.0,7864.0,7876.0,7896.0,7893.0,7897.0,7902.0,7934.0,7945.0,7945.0,7950.0,7957.0,7978.0
unmatched_applicants,7995.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7850.0,7859.0,7865.0,7867.0,7879.0,7894.0,7895.0,7910.0,7915.0,7921.0,7932.0,7951.0,7955.0,7963.0,7968.0
unmatched_applicants,7999.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7850.0,7850.0,7854.0,7860.0,7866.0,7870.0,7893.0,7904.0,7908.0,7919.0,7932.0,7938.0,7937.0,7952.0,7956.0,7977.0
unmatched_applicants,8005.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7853.0,7868.0,7872.0,7890.0,7893.0,7903.0,7902.0,7917.0,7932.0,7933.0,7950.0,7949.0,7958.0,7973.0
unmatched_applicants,7996.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7862.0,7867.0,7860.0,7868.0,7886.0,7909.0,7909.0,7910.0,7935.0,7939.0,7944.0,7949.0,7961.0,7977.0
unmatched_applicants,7997.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7851.0,7850.0,7861.0,7866.0,7888.0,7887.0,7895.0,7893.0,7922.0,7910.0,7938.0,7941.0,7952.0,7963.0,7978.0
unmatched_applicants,8006.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7860.0,7857.0,7870.0,7886.0,7905.0,7904.0,7914.0,7926.0,7938.0,7947.0,7950.0,7962.0,7980.0
unmatched_applicants,7993.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7855.0,7871.0,7861.0,7875.0,7890.0,7903.0,7896.0,7904.0,7918.0,7944.0,7940.0,7951.0,7965.0,7977.0
unmatched_applicants,8003.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7851.0,7860.0,7865.0,7870.0,7871.0,7890.0,7900.0,7898.0,7912.0,7922.0,7946.0,7926.0,7953.0,7965.0,7988.0
unmatched_applicants,7994.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7859.0,7863.0,7881.0,7887.0,7900.0,7898.0,7927.0,7932.0,7941.0,7938.0,7952.0,7962.0,7976.0
unmatched_applicants,7998.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7856.0,7850.0,7850.0,7861.0,7868.0,7860.0,7875.0,7887.0,7894.0,7911.0,7911.0,7931.0,7949.0,7941.0,7940.0,7968.0,7965.0
unmatched_applicants,8004.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7855.0,7850.0,7856.0,7855.0,7869.0,7863.0,7876.0,7889.0,7900.0,7902.0,7927.0,7924.0,7936.0,7945.0,7955.0,7961.0,7983.0
unmatched_applicants,7998.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7856.0,7866.0,7865.0,7881.0,7903.0,7899.0,7916.0,7929.0,7944.0,7930.0,7952.0,7952.0,7974.0
unmatched_applicants,7987.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7855.0,7858.0,7865.0,7862.0,7885.0,7889.0,7887.0,7920.0,7930.0,7932.0,7926.0,7960.0,7978.0,7971.0
unmatched_applicants,7997.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7859.0,7855.0,7860.0,7862.0,7878.0,7894.0,7902.0,7902.0,7909.0,7919.0,7944.0,7933.0,7946.0,7964.0,7976.0
