Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
unmatched_applicants,6414.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6241.0,6256.0,6369.0
unmatched_applicants,6422.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6231.0,6215.0,6221.0,6306.0
unmatched_applicants,6415.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6261.0,6325.0
unmatched_applicants,6400.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6218.0,6234.0,6269.0,6343.0
unmatched_applicants,6424.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6228.0,6226.0,6287.0,6329.0
unmatched_applicants,6429.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6227.0,6225.0,6218.0,6256.0,6342.0
unmatched_applicants,6433.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6236.0,6218.0,6278.0,6377.0
unmatched_applicants,6416.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6237.0,6213.0,6270.0,6331.0
unmatched_applicants,6421.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6225.0,6220.0,6215.0,6275.0,6332.0
unmatched_applicants,6421.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6228.0,6223.0,6228.0,6311.0
unmatched_applicants,6444.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6215.0,6228.0,6275.0,6348.0
unmatched_applicants,6380.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6260.0,6323.0
unmatched_applicants,6438.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6237.0,6258.0,6336.0
unmatched_applicants,6413.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6216.0,6214.0,6267.0,6348.0
unmatched_applicants,6425.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6260.0,6218.0,6264.0,6344.0
unmatched_applicants,6450.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6234.0,6266.0,6356.0
unmatched_applicants,6389.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6223.0,6241.0,6267.0,6323.0
unmatched_applicants,6417.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6226.0,6224.0,6247.0,6341.0
unmatched_applicants,6403.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6217.0,6222.0,6230.0,6392.0
unmatched_applicants,6387.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6213.0,6223.0,6227.0,6296.0,6295.0
unfilled_spots,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,43.0,156.0
unfilled_spots,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,8.0,93.0
unfilled_spots,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,112.0
unfilled_spots,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,56.0,130.0
unfilled_spots,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,74.0,116.0
unfilled_spots,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,5.0,43.0,129.0
unfilled_spots,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,65.0,164.0
unfilled_spots,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,57.0,118.0
unfilled_spots,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,62.0,119.0
unfilled_spots,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,15.0,98.0
unfilled_spots,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,62.0,135.0
unfilled_spots,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,110.0
unfilled_spots,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,45.0,123.0
unfilled_spots,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,54.0,135.0
unfilled_spots,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,51.0,131.0
unfilled_spots,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,53.0,143.0
unfilled_spots,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,54.0,110.0
unfilled_spots,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,34.0,128.0
unfilled_spots,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,17.0,179.0
unfilled_spots,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,83.0,82.0
