Parameter,0,1,2,3,4,5,6,7,8
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unmatched_applicants,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8225806451613,293.89247311827955
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8682795698925,294.4489247311828
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8709677419355,293.7903225806452
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.61290322580646,293.33870967741933
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.85483870967744,294.5833333333333
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8225806451613,293.98118279569894
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.86021505376345,292.86559139784947
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8198924731183,293.3790322580645
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.0752688172043,294.002688172043
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.6263440860215,293.2795698924731
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8333333333333,293.56720430107526
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,294.59139784946234
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.86290322580646,294.4623655913978
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.5241935483871,294.758064516129
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8252688172043,294.2741935483871
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.66129032258067,293.63709677419354
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.64247311827955,292.9166666666667
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.6693548387097,294.758064516129
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.8494623655914,293.8763440860215
reviews_per_program,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,305.008064516129,304.18279569892474,293.6989247311828
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999320105610262,0.9861683985087649
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999966005280513,0.9866145792020307
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999773368536754,0.9880522725469977
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999433421341885,0.9859800111049417
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999546737073508,0.9863567859125882
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999886684268377,0.9847009597842469
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998753526952147,0.9868922027445071
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999206789878639,0.9871995716665345
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997733685367539,0.9865055128103435
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999433421341885,0.9867038153406837
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996487212319687,0.9867633060997858
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9883893868485761
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999966005280513,0.9872293170460855
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998980158415393,0.9892520028555565
