Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,3829.0,1338.0,1376.0,1219.0,1000.0,1000.0,1004.0,1113.0,1211.0,1464.0,1601.0,1747.0,1936.0,2009.0,2109.0,2217.0,2401.0,2448.0,2477.0,2513.0,2748.0,2729.0,2766.0,2781.0,3189.0,3226.0,3189.0,3148.0,3811.0,3799.0,3829.0
unmatched_applicants,3836.0,1263.0,1385.0,1252.0,1000.0,1000.0,1006.0,1093.0,1229.0,1437.0,1585.0,1729.0,1977.0,2025.0,2122.0,2197.0,2389.0,2460.0,2460.0,2513.0,2716.0,2753.0,2776.0,2767.0,3140.0,3196.0,3198.0,3180.0,3788.0,3816.0,3783.0
unmatched_applicants,3870.0,1298.0,1409.0,1206.0,1000.0,1000.0,1019.0,1133.0,1243.0,1409.0,1622.0,1758.0,1906.0,2026.0,2097.0,2232.0,2413.0,2449.0,2461.0,2520.0,2725.0,2723.0,2782.0,2775.0,3254.0,3246.0,3201.0,3229.0,3786.0,3762.0,3779.0
unmatched_applicants,3838.0,1284.0,1379.0,1241.0,1000.0,1000.0,1012.0,1083.0,1214.0,1423.0,1635.0,1776.0,1971.0,2046.0,2165.0,2218.0,2402.0,2439.0,2485.0,2549.0,2736.0,2759.0,2766.0,2775.0,3195.0,3193.0,3165.0,3240.0,3793.0,3763.0,3859.0
unmatched_applicants,3780.0,1249.0,1376.0,1224.0,1000.0,1000.0,1004.0,1105.0,1208.0,1421.0,1618.0,1792.0,1937.0,2050.0,2159.0,2214.0,2436.0,2438.0,2494.0,2506.0,2749.0,2760.0,2761.0,2756.0,3221.0,3204.0,3200.0,3219.0,3756.0,3834.0,3852.0
unmatched_applicants,3820.0,1280.0,1375.0,1210.0,1000.0,1000.0,1007.0,1136.0,1204.0,1444.0,1613.0,1739.0,1944.0,2044.0,2115.0,2204.0,2426.0,2425.0,2495.0,2530.0,2737.0,2754.0,2760.0,2799.0,3195.0,3111.0,3171.0,3233.0,3771.0,3829.0,3825.0
unmatched_applicants,3850.0,1261.0,1363.0,1266.0,1000.0,1000.0,1000.0,1114.0,1229.0,1412.0,1588.0,1769.0,1930.0,2012.0,2142.0,2184.0,2407.0,2434.0,2478.0,2514.0,2717.0,2735.0,2750.0,2768.0,3219.0,3169.0,3170.0,3192.0,3843.0,3839.0,3798.0
unmatched_applicants,3847.0,1244.0,1400.0,1265.0,1000.0,1000.0,1006.0,1102.0,1231.0,1430.0,1629.0,1780.0,1958.0,2017.0,2123.0,2214.0,2396.0,2448.0,2474.0,2498.0,2747.0,2745.0,2760.0,2743.0,3195.0,3203.0,3214.0,3188.0,3822.0,3775.0,3821.0
unmatched_applicants,3818.0,1286.0,1368.0,1199.0,1000.0,1000.0,1010.0,1141.0,1255.0,1424.0,1601.0,1734.0,1980.0,2075.0,2166.0,2232.0,2379.0,2429.0,2472.0,2533.0,2739.0,2738.0,2785.0,2760.0,3211.0,3191.0,3194.0,3123.0,3761.0,3807.0,3908.0
unmatched_applicants,3781.0,1250.0,1408.0,1220.0,1000.0,1000.0,1009.0,1139.0,1238.0,1433.0,1617.0,1725.0,1931.0,2031.0,2094.0,2211.0,2391.0,2458.0,2459.0,2503.0,2745.0,2720.0,2778.0,2770.0,3186.0,3193.0,3258.0,3219.0,3820.0,3762.0,3858.0
unmatched_applicants,3810.0,1291.0,1338.0,1253.0,1000.0,1000.0,1016.0,1083.0,1221.0,1414.0,1579.0,1761.0,1932.0,2016.0,2165.0,2245.0,2448.0,2437.0,2488.0,2519.0,2734.0,2706.0,2806.0,2780.0,3219.0,3177.0,3213.0,3188.0,3817.0,3843.0,3774.0
unmatched_applicants,3825.0,1237.0,1393.0,1248.0,1000.0,1000.0,1023.0,1127.0,1194.0,1399.0,1612.0,1765.0,1935.0,2046.0,2122.0,2243.0,2404.0,2451.0,2462.0,2518.0,2748.0,2753.0,2774.0,2777.0,3170.0,3252.0,3183.0,3201.0,3807.0,3826.0,3733.0
unmatched_applicants,3777.0,1275.0,1404.0,1265.0,1000.0,1000.0,1014.0,1145.0,1231.0,1405.0,1593.0,1732.0,1940.0,2060.0,2126.0,2213.0,2401.0,2488.0,2493.0,2524.0,2740.0,2751.0,2755.0,2803.0,3154.0,3210.0,3240.0,3216.0,3799.0,3777.0,3854.0
unmatched_applicants,3778.0,1276.0,1395.0,1250.0,1000.0,1000.0,1020.0,1112.0,1185.0,1413.0,1635.0,1733.0,1930.0,2076.0,2151.0,2226.0,2393.0,2461.0,2484.0,2514.0,2743.0,2767.0,2777.0,2756.0,3177.0,3157.0,3210.0,3157.0,3808.0,3777.0,3766.0
unmatched_applicants,3821.0,1285.0,1443.0,1267.0,1000.0,1000.0,1003.0,1132.0,1230.0,1389.0,1621.0,1721.0,1920.0,2043.0,2172.0,2218.0,2417.0,2431.0,2476.0,2553.0,2740.0,2754.0,2770.0,2749.0,3168.0,3264.0,3189.0,3229.0,3775.0,3824.0,3825.0
unmatched_applicants,3828.0,1276.0,1407.0,1229.0,1000.0,1000.0,1017.0,1115.0,1231.0,1411.0,1575.0,1758.0,1950.0,2024.0,2143.0,2217.0,2384.0,2458.0,2460.0,2535.0,2707.0,2755.0,2743.0,2761.0,3212.0,3216.0,3155.0,3156.0,3770.0,3801.0,3826.0
