Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unmatched_applicants,766.0,124.0,163.0,129.0,19.0,16.0,3.0,12.0,9.0,6.0,6.0,3.0,3.0,14.0,91.0,183.0,250.0,346.0,390.0,485.0,560.0,651.0
unmatched_applicants,771.0,133.0,189.0,150.0,28.0,24.0,12.0,13.0,11.0,10.0,5.0,4.0,2.0,17.0,72.0,156.0,243.0,334.0,417.0,478.0,552.0,594.0
unmatched_applicants,758.0,136.0,153.0,154.0,31.0,24.0,18.0,7.0,6.0,8.0,1.0,1.0,9.0,19.0,57.0,140.0,265.0,339.0,425.0,464.0,575.0,603.0
unmatched_applicants,770.0,122.0,157.0,141.0,25.0,29.0,15.0,6.0,6.0,8.0,4.0,1.0,3.0,25.0,73.0,161.0,259.0,361.0,420.0,472.0,567.0,617.0
unmatched_applicants,747.0,122.0,138.0,140.0,34.0,29.0,9.0,5.0,3.0,7.0,2.0,2.0,7.0,25.0,63.0,141.0,267.0,321.0,424.0,463.0,566.0,572.0
unmatched_applicants,744.0,112.0,167.0,154.0,29.0,20.0,12.0,8.0,8.0,9.0,3.0,3.0,3.0,24.0,94.0,141.0,275.0,376.0,433.0,471.0,582.0,614.0
unmatched_applicants,753.0,112.0,155.0,152.0,24.0,23.0,17.0,10.0,19.0,6.0,2.0,3.0,2.0,7.0,85.0,173.0,260.0,380.0,431.0,481.0,546.0,609.0
unmatched_applicants,747.0,111.0,164.0,145.0,29.0,24.0,11.0,14.0,8.0,6.0,8.0,1.0,7.0,13.0,82.0,167.0,240.0,323.0,424.0,480.0,561.0,631.0
unmatched_applicants,762.0,104.0,187.0,147.0,36.0,16.0,12.0,9.0,17.0,8.0,7.0,3.0,2.0,10.0,79.0,160.0,262.0,356.0,415.0,474.0,533.0,623.0
unmatched_applicants,771.0,135.0,178.0,134.0,43.0,18.0,12.0,10.0,16.0,4.0,5.0,3.0,3.0,9.0,57.0,183.0,238.0,331.0,413.0,455.0,578.0,631.0
