Parameter,0,1,2,3,4,5
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unmatched_applicants,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
reviews_per_program,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957,206.19589977220957
