Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unmatched_applicants,5875.0,4081.0,4076.0,4076.0,4076.0,4076.0,4076.0,4082.0,4076.0,4093.0,4145.0,4191.0,4227.0,4317.0,4424.0,4492.0,4480.0,4556.0,4612.0,4682.0,4728.0,4775.0,4791.0,4829.0,4993.0,5020.0,5046.0,5056.0,5268.0,5237.0,5264.0,5266.0,5524.0,5579.0,5536.0,5561.0,5885.0
unmatched_applicants,5855.0,4080.0,4077.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4094.0,4158.0,4227.0,4201.0,4307.0,4417.0,4493.0,4500.0,4558.0,4615.0,4667.0,4745.0,4764.0,4822.0,4853.0,5042.0,5005.0,5052.0,5076.0,5288.0,5264.0,5260.0,5258.0,5526.0,5541.0,5531.0,5569.0,5859.0
unmatched_applicants,5874.0,4078.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4081.0,4138.0,4227.0,4219.0,4317.0,4381.0,4493.0,4531.0,4558.0,4605.0,4661.0,4733.0,4780.0,4837.0,4847.0,5000.0,5019.0,5038.0,5027.0,5236.0,5262.0,5303.0,5244.0,5499.0,5530.0,5535.0,5530.0,5875.0
unmatched_applicants,5846.0,4087.0,4076.0,4076.0,4076.0,4076.0,4076.0,4077.0,4076.0,4106.0,4130.0,4227.0,4231.0,4325.0,4382.0,4444.0,4512.0,4546.0,4602.0,4670.0,4775.0,4772.0,4829.0,4860.0,5009.0,5010.0,5070.0,5052.0,5260.0,5273.0,5265.0,5266.0,5524.0,5536.0,5567.0,5580.0,5863.0
unmatched_applicants,5887.0,4080.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4078.0,4137.0,4216.0,4212.0,4321.0,4408.0,4490.0,4501.0,4551.0,4620.0,4667.0,4746.0,4773.0,4813.0,4848.0,5018.0,5035.0,5022.0,5051.0,5252.0,5275.0,5234.0,5260.0,5553.0,5557.0,5579.0,5598.0,5825.0
unmatched_applicants,5863.0,4078.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4078.0,4096.0,4151.0,4212.0,4262.0,4309.0,4400.0,4487.0,4480.0,4569.0,4597.0,4677.0,4757.0,4809.0,4804.0,4817.0,5010.0,5042.0,5035.0,5034.0,5282.0,5257.0,5266.0,5254.0,5517.0,5557.0,5550.0,5544.0,5873.0
unmatched_applicants,5828.0,4080.0,4077.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4089.0,4128.0,4223.0,4196.0,4312.0,4438.0,4470.0,4464.0,4559.0,4608.0,4650.0,4713.0,4782.0,4809.0,4827.0,5025.0,5046.0,5006.0,5035.0,5238.0,5253.0,5268.0,5272.0,5589.0,5515.0,5580.0,5535.0,5892.0
unmatched_applicants,5860.0,4079.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4082.0,4119.0,4232.0,4227.0,4305.0,4391.0,4475.0,4485.0,4557.0,4600.0,4676.0,4723.0,4798.0,4805.0,4876.0,5004.0,5041.0,5025.0,5040.0,5261.0,5295.0,5311.0,5267.0,5529.0,5570.0,5589.0,5536.0,5842.0
unmatched_applicants,5882.0,4077.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4081.0,4159.0,4223.0,4230.0,4269.0,4412.0,4478.0,4493.0,4555.0,4618.0,4650.0,4779.0,4772.0,4785.0,4829.0,4993.0,5023.0,5021.0,5063.0,5257.0,5290.0,5280.0,5281.0,5502.0,5551.0,5562.0,5587.0,5876.0
unmatched_applicants,5891.0,4087.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4100.0,4152.0,4258.0,4205.0,4310.0,4368.0,4452.0,4487.0,4538.0,4601.0,4659.0,4758.0,4749.0,4798.0,4823.0,5017.0,5017.0,5058.0,5058.0,5276.0,5272.0,5254.0,5297.0,5539.0,5568.0,5546.0,5596.0,5801.0
unmatched_applicants,5859.0,4082.0,4079.0,4076.0,4076.0,4076.0,4076.0,4077.0,4077.0,4086.0,4135.0,4212.0,4236.0,4303.0,4391.0,4428.0,4473.0,4543.0,4609.0,4669.0,4756.0,4790.0,4776.0,4869.0,5029.0,5063.0,5041.0,5069.0,5299.0,5235.0,5248.0,5295.0,5565.0,5537.0,5577.0,5495.0,5828.0
unmatched_applicants,5871.0,4084.0,4076.0,4076.0,4076.0,4076.0,4076.0,4083.0,4078.0,4095.0,4128.0,4198.0,4246.0,4318.0,4399.0,4474.0,4477.0,4554.0,4618.0,4668.0,4757.0,4787.0,4796.0,4847.0,5017.0,5036.0,5027.0,5039.0,5254.0,5234.0,5254.0,5275.0,5539.0,5523.0,5547.0,5521.0,5871.0
unmatched_applicants,5861.0,4081.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4093.0,4123.0,4215.0,4207.0,4329.0,4390.0,4476.0,4476.0,4557.0,4614.0,4658.0,4754.0,4761.0,4810.0,4842.0,4985.0,5009.0,4999.0,5030.0,5249.0,5258.0,5265.0,5292.0,5525.0,5518.0,5508.0,5544.0,5862.0
unmatched_applicants,5861.0,4088.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4083.0,4126.0,4228.0,4192.0,4328.0,4396.0,4472.0,4488.0,4544.0,4600.0,4631.0,4757.0,4774.0,4805.0,4846.0,4976.0,5020.0,5043.0,5048.0,5238.0,5279.0,5259.0,5277.0,5538.0,5549.0,5526.0,5592.0,5851.0
