Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,8894.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7145.0,7194.0,7182.0,7229.0,7341.0,7369.0,7412.0,7446.0,7509.0,7541.0,7560.0,7635.0,7656.0,7694.0,7749.0,7765.0,7791.0,7829.0,7918.0,7918.0,7963.0,7981.0,8116.0,8130.0,8113.0,8127.0,8265.0
unmatched_applicants,8880.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7157.0,7187.0,7192.0,7215.0,7339.0,7393.0,7388.0,7430.0,7474.0,7566.0,7557.0,7630.0,7645.0,7717.0,7733.0,7774.0,7814.0,7829.0,7920.0,7967.0,7972.0,7961.0,8082.0,8118.0,8117.0,8135.0,8266.0
unmatched_applicants,8863.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7153.0,7189.0,7204.0,7253.0,7343.0,7384.0,7381.0,7435.0,7506.0,7545.0,7575.0,7603.0,7667.0,7704.0,7782.0,7782.0,7774.0,7822.0,7955.0,7903.0,7957.0,7982.0,8136.0,8115.0,8122.0,8103.0,8255.0
unmatched_applicants,8861.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7148.0,7169.0,7204.0,7188.0,7249.0,7301.0,7396.0,7381.0,7435.0,7476.0,7554.0,7545.0,7615.0,7668.0,7712.0,7749.0,7762.0,7801.0,7829.0,7909.0,7952.0,7950.0,7963.0,8110.0,8112.0,8121.0,8166.0,8261.0
unmatched_applicants,8802.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7150.0,7150.0,7198.0,7191.0,7268.0,7346.0,7397.0,7395.0,7445.0,7503.0,7566.0,7552.0,7619.0,7671.0,7715.0,7742.0,7771.0,7792.0,7812.0,7935.0,7954.0,7937.0,7975.0,8099.0,8094.0,8099.0,8107.0,8236.0
unmatched_applicants,8851.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7166.0,7173.0,7199.0,7263.0,7284.0,7378.0,7394.0,7417.0,7481.0,7565.0,7594.0,7610.0,7679.0,7682.0,7728.0,7770.0,7825.0,7842.0,7922.0,7928.0,7935.0,7972.0,8122.0,8093.0,8110.0,8147.0,8272.0
unmatched_applicants,8823.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7146.0,7157.0,7204.0,7187.0,7253.0,7303.0,7398.0,7370.0,7449.0,7510.0,7537.0,7577.0,7610.0,7676.0,7709.0,7717.0,7760.0,7785.0,7835.0,7923.0,7965.0,7942.0,7998.0,8092.0,8065.0,8111.0,8101.0,8259.0
unmatched_applicants,8869.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7143.0,7152.0,7199.0,7171.0,7246.0,7336.0,7391.0,7392.0,7437.0,7503.0,7528.0,7590.0,7608.0,7651.0,7679.0,7752.0,7753.0,7805.0,7836.0,7936.0,7968.0,7969.0,7979.0,8127.0,8125.0,8117.0,8143.0,8267.0
unmatched_applicants,8874.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7146.0,7146.0,7201.0,7224.0,7245.0,7311.0,7398.0,7382.0,7448.0,7499.0,7554.0,7554.0,7603.0,7643.0,7694.0,7724.0,7786.0,7819.0,7824.0,7928.0,7943.0,7952.0,7978.0,8140.0,8122.0,8130.0,8140.0,8271.0
unmatched_applicants,8909.0,7143.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7142.0,7155.0,7214.0,7187.0,7240.0,7305.0,7365.0,7375.0,7439.0,7509.0,7564.0,7572.0,7609.0,7658.0,7704.0,7748.0,7785.0,7816.0,7808.0,7894.0,7922.0,7951.0,7981.0,8082.0,8127.0,8088.0,8104.0,8273.0
