Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
unmatched_applicants,3482.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3485.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3477.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3477.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3479.0
unmatched_applicants,3476.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3480.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3477.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3476.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3478.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3476.0
unmatched_applicants,3476.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
unmatched_applicants,3478.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
