Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,15855.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15839.0,15841.0
unmatched_applicants,15849.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15841.0,15841.0,15844.0
unmatched_applicants,15855.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15841.0,15843.0,15839.0
unmatched_applicants,15859.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15840.0,15851.0
unmatched_applicants,15856.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15839.0,15838.0,15846.0
unmatched_applicants,15858.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15845.0
unmatched_applicants,15846.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15841.0,15841.0,15847.0
unmatched_applicants,15854.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15840.0
unmatched_applicants,15854.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15840.0,15841.0,15849.0
unmatched_applicants,15852.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15841.0,15845.0
unmatched_applicants,15851.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15840.0,15839.0
unmatched_applicants,15848.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15838.0,15842.0
unmatched_applicants,15858.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15843.0,15838.0,15846.0
unmatched_applicants,15851.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15840.0,15840.0,15845.0
unmatched_applicants,15853.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15840.0,15839.0
unmatched_applicants,15858.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15841.0,15843.0,15841.0
unmatched_applicants,15855.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15847.0
unmatched_applicants,15850.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15840.0,15838.0,15838.0
unmatched_applicants,15845.0,15838.0,15838.0,15838.0,15838.0,15838.0,15839.0,15842.0,15840.0,15841.0
unmatched_applicants,15847.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15838.0,15841.0,15840.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,9.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0
unfilled_spots,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
unfilled_spots,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
reviews_per_program,331.63568773234203,191.90148698884758,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,187.8011152416357,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,183.60223048327137,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,187.33271375464685,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,191.79739776951672,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,191.3996282527881,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,186.47583643122675,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,189.72118959107806,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,193.37918215613382,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,182.6375464684015,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,187.29182156133828,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,183.33828996282529,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,183.32899628252787,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,186.00371747211895,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,184.04646840148698,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,184.50743494423793,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,188.07806691449815,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,191.48698884758363,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,188.39405204460965,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
reviews_per_program,331.63568773234203,189.26022304832713,66.3271375464684,99.4907063197026,132.6542750929368,165.81784386617102,198.9814126394052,232.1449814126394,265.3085501858736,298.47211895910783
pct_interview_given_signal,0.0,0.9192915592422374,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9194597018271494,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9191794641856295,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9166012778836453,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9199641295818854,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9206927474498374,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9234390763367335,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9223741732989575,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9173298957515974,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9221499831857415,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9196278444120615,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9219818406008295,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9222060307140455,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9191794641856295,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9217576504876135,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9229906961103015,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9204685573366215,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9211971752045734,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9241676942046856,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_signal,0.0,0.9188992265441094,0.5054366102454881,0.33695774016365876,0.25271830512274407,0.20217464409819527,0.16847887008182938,0.14441046007013947,0.12635915256137203,0.1123192467212196
pct_interview_given_nosignal,0.10108732204909764,0.01017574013874877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.010157057629314103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.010188195145038548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.010474660289703445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.010020052560126542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.009714904906026977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.00983322746577987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.010393702748819887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.10108732204909764,0.009858137478359426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
