Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,321.0,99.0,66.0,66.0,22.0,20.0,11.0,9.0,4.0,7.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,6.0,6.0,12.0,47.0,72.0,93.0,99.0,135.0,143.0,184.0,190.0,200.0,216.0,229.0,239.0,244.0,271.0,278.0,285.0
unmatched_applicants,320.0,99.0,80.0,75.0,24.0,22.0,14.0,10.0,10.0,5.0,6.0,4.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,8.0,15.0,34.0,38.0,70.0,85.0,115.0,133.0,155.0,162.0,188.0,204.0,210.0,215.0,246.0,254.0,264.0,274.0,280.0
unmatched_applicants,323.0,105.0,71.0,61.0,26.0,7.0,16.0,15.0,9.0,5.0,5.0,6.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,1.0,4.0,4.0,20.0,30.0,53.0,71.0,95.0,112.0,135.0,158.0,171.0,183.0,204.0,202.0,223.0,243.0,247.0,262.0,286.0,282.0
unmatched_applicants,326.0,93.0,74.0,61.0,27.0,22.0,16.0,17.0,12.0,6.0,7.0,1.0,6.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,6.0,13.0,27.0,51.0,67.0,93.0,102.0,127.0,141.0,174.0,179.0,194.0,210.0,219.0,233.0,256.0,271.0,279.0,287.0
unmatched_applicants,323.0,89.0,66.0,65.0,27.0,17.0,12.0,12.0,8.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,7.0,10.0,23.0,55.0,72.0,96.0,118.0,135.0,144.0,170.0,191.0,193.0,218.0,220.0,245.0,269.0,263.0,275.0,288.0
unmatched_applicants,323.0,105.0,66.0,69.0,41.0,28.0,13.0,14.0,14.0,7.0,3.0,6.0,2.0,3.0,0.0,3.0,5.0,3.0,2.0,1.0,3.0,5.0,14.0,29.0,48.0,81.0,81.0,123.0,136.0,141.0,162.0,175.0,204.0,221.0,235.0,243.0,263.0,272.0,279.0,278.0
unmatched_applicants,321.0,90.0,69.0,63.0,31.0,21.0,15.0,13.0,12.0,7.0,7.0,4.0,1.0,3.0,0.0,1.0,4.0,3.0,0.0,2.0,3.0,3.0,12.0,31.0,49.0,71.0,98.0,112.0,137.0,146.0,173.0,176.0,202.0,206.0,234.0,240.0,257.0,261.0,277.0,272.0
unmatched_applicants,308.0,94.0,70.0,72.0,32.0,18.0,11.0,14.0,8.0,7.0,9.0,5.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,6.0,15.0,26.0,48.0,78.0,88.0,125.0,136.0,157.0,172.0,193.0,199.0,216.0,232.0,233.0,259.0,261.0,271.0,276.0
unmatched_applicants,311.0,90.0,79.0,59.0,25.0,16.0,15.0,13.0,11.0,7.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,7.0,37.0,51.0,67.0,98.0,114.0,136.0,157.0,167.0,179.0,197.0,233.0,230.0,245.0,281.0,266.0,283.0,290.0
unmatched_applicants,321.0,94.0,72.0,55.0,22.0,17.0,18.0,9.0,6.0,7.0,3.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,13.0,29.0,41.0,71.0,90.0,112.0,124.0,153.0,164.0,194.0,208.0,212.0,226.0,248.0,252.0,271.0,284.0,280.0
