Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6248.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6247.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6246.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unmatched_applicants,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
