Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
unmatched_applicants,953.0,735.0,730.0,719.0,719.0,717.0,718.0,717.0,717.0,720.0,723.0,741.0,734.0,745.0,765.0,780.0,789.0,796.0,814.0,833.0,852.0,845.0,860.0,861.0,896.0,899.0,905.0,925.0,943.0
unmatched_applicants,950.0,734.0,726.0,728.0,717.0,717.0,717.0,717.0,717.0,720.0,722.0,735.0,738.0,754.0,759.0,765.0,796.0,792.0,813.0,812.0,841.0,842.0,860.0,873.0,890.0,886.0,906.0,909.0,931.0
unmatched_applicants,938.0,741.0,730.0,720.0,717.0,717.0,717.0,717.0,721.0,722.0,730.0,730.0,732.0,748.0,755.0,780.0,793.0,803.0,811.0,829.0,854.0,848.0,850.0,870.0,896.0,893.0,905.0,908.0,942.0
unmatched_applicants,958.0,746.0,729.0,728.0,717.0,717.0,717.0,718.0,719.0,725.0,724.0,737.0,747.0,757.0,769.0,778.0,800.0,799.0,807.0,827.0,835.0,847.0,856.0,854.0,887.0,896.0,915.0,902.0,938.0
unmatched_applicants,946.0,753.0,732.0,726.0,717.0,717.0,717.0,718.0,719.0,720.0,734.0,738.0,741.0,749.0,769.0,780.0,790.0,809.0,805.0,807.0,847.0,853.0,856.0,853.0,896.0,898.0,896.0,906.0,947.0
unmatched_applicants,940.0,743.0,731.0,721.0,717.0,717.0,717.0,718.0,717.0,719.0,730.0,739.0,737.0,744.0,764.0,776.0,793.0,797.0,808.0,818.0,848.0,838.0,846.0,868.0,901.0,898.0,900.0,901.0,930.0
unmatched_applicants,951.0,744.0,728.0,724.0,718.0,717.0,717.0,718.0,719.0,722.0,724.0,739.0,750.0,753.0,767.0,783.0,794.0,800.0,817.0,814.0,837.0,851.0,863.0,873.0,901.0,905.0,912.0,915.0,938.0
unmatched_applicants,942.0,748.0,724.0,730.0,718.0,717.0,717.0,719.0,717.0,719.0,724.0,738.0,738.0,743.0,760.0,775.0,787.0,787.0,812.0,825.0,837.0,854.0,867.0,863.0,892.0,898.0,898.0,912.0,943.0
unmatched_applicants,952.0,748.0,733.0,722.0,718.0,717.0,717.0,718.0,718.0,719.0,731.0,733.0,741.0,746.0,758.0,786.0,783.0,808.0,816.0,815.0,842.0,851.0,861.0,864.0,884.0,897.0,907.0,911.0,948.0
unmatched_applicants,936.0,742.0,728.0,725.0,717.0,717.0,717.0,717.0,717.0,718.0,722.0,732.0,736.0,750.0,765.0,776.0,787.0,804.0,815.0,827.0,837.0,841.0,848.0,862.0,889.0,902.0,913.0,897.0,947.0
unmatched_applicants,952.0,736.0,732.0,724.0,718.0,717.0,717.0,717.0,719.0,719.0,731.0,731.0,740.0,749.0,774.0,776.0,792.0,800.0,805.0,830.0,861.0,849.0,857.0,879.0,887.0,903.0,898.0,908.0,953.0
unmatched_applicants,946.0,753.0,735.0,722.0,717.0,717.0,718.0,719.0,719.0,719.0,725.0,737.0,736.0,757.0,775.0,763.0,789.0,800.0,824.0,823.0,836.0,840.0,865.0,861.0,887.0,893.0,908.0,913.0,926.0
unmatched_applicants,941.0,737.0,731.0,724.0,718.0,717.0,717.0,717.0,718.0,719.0,722.0,729.0,740.0,749.0,764.0,779.0,792.0,805.0,812.0,819.0,843.0,849.0,862.0,868.0,903.0,898.0,907.0,915.0,931.0
unmatched_applicants,941.0,739.0,725.0,727.0,717.0,717.0,717.0,717.0,719.0,718.0,730.0,735.0,740.0,758.0,770.0,771.0,779.0,781.0,815.0,815.0,848.0,855.0,869.0,864.0,900.0,908.0,907.0,909.0,945.0
unmatched_applicants,948.0,744.0,730.0,723.0,718.0,717.0,717.0,718.0,717.0,720.0,724.0,731.0,734.0,754.0,759.0,768.0,800.0,803.0,808.0,815.0,840.0,847.0,861.0,865.0,887.0,890.0,919.0,915.0,935.0
unmatched_applicants,939.0,749.0,732.0,722.0,717.0,717.0,717.0,717.0,717.0,717.0,723.0,723.0,742.0,747.0,762.0,776.0,790.0,803.0,806.0,820.0,848.0,848.0,859.0,867.0,897.0,892.0,902.0,906.0,940.0
unmatched_applicants,953.0,740.0,731.0,726.0,717.0,717.0,717.0,719.0,717.0,721.0,721.0,734.0,751.0,751.0,769.0,770.0,792.0,802.0,809.0,816.0,849.0,853.0,854.0,850.0,885.0,896.0,915.0,911.0,933.0
unmatched_applicants,949.0,740.0,732.0,728.0,719.0,717.0,717.0,717.0,717.0,717.0,723.0,733.0,738.0,758.0,767.0,781.0,798.0,804.0,819.0,821.0,842.0,851.0,863.0,860.0,890.0,905.0,893.0,906.0,947.0
unmatched_applicants,942.0,747.0,727.0,724.0,717.0,717.0,717.0,718.0,718.0,718.0,729.0,732.0,740.0,746.0,756.0,771.0,783.0,796.0,815.0,832.0,834.0,836.0,853.0,861.0,897.0,894.0,897.0,912.0,938.0
