Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
unmatched_applicants,10389.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10026.0,10025.0,10030.0,10048.0,10060.0,10064.0,10080.0,10105.0,10114.0,10133.0,10147.0,10157.0,10167.0,10207.0,10198.0,10208.0,10221.0,10260.0,10286.0,10287.0,10277.0,10325.0,10346.0,10343.0,10336.0
unmatched_applicants,10412.0,10021.0,10021.0,10021.0,10021.0,10021.0,10025.0,10023.0,10025.0,10033.0,10050.0,10061.0,10064.0,10077.0,10101.0,10115.0,10138.0,10145.0,10166.0,10167.0,10209.0,10194.0,10214.0,10223.0,10270.0,10282.0,10270.0,10279.0,10339.0,10330.0,10346.0,10344.0
unmatched_applicants,10395.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10027.0,10024.0,10033.0,10045.0,10060.0,10058.0,10082.0,10103.0,10102.0,10137.0,10157.0,10163.0,10159.0,10192.0,10211.0,10218.0,10223.0,10264.0,10278.0,10265.0,10285.0,10326.0,10346.0,10336.0,10334.0
unmatched_applicants,10399.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10026.0,10025.0,10036.0,10055.0,10065.0,10073.0,10092.0,10105.0,10110.0,10142.0,10146.0,10154.0,10161.0,10205.0,10203.0,10219.0,10222.0,10271.0,10264.0,10278.0,10279.0,10338.0,10340.0,10331.0,10340.0
unmatched_applicants,10396.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10026.0,10028.0,10032.0,10045.0,10053.0,10059.0,10080.0,10092.0,10118.0,10140.0,10138.0,10162.0,10160.0,10198.0,10217.0,10220.0,10222.0,10272.0,10261.0,10278.0,10272.0,10350.0,10349.0,10346.0,10344.0
unmatched_applicants,10399.0,10021.0,10021.0,10021.0,10021.0,10021.0,10023.0,10022.0,10025.0,10036.0,10043.0,10059.0,10072.0,10083.0,10098.0,10115.0,10143.0,10142.0,10149.0,10164.0,10205.0,10209.0,10217.0,10226.0,10271.0,10265.0,10281.0,10278.0,10338.0,10343.0,10338.0,10351.0
unmatched_applicants,10411.0,10021.0,10021.0,10021.0,10021.0,10021.0,10021.0,10024.0,10026.0,10038.0,10051.0,10064.0,10069.0,10068.0,10098.0,10107.0,10121.0,10152.0,10157.0,10164.0,10188.0,10211.0,10212.0,10228.0,10261.0,10270.0,10274.0,10277.0,10330.0,10342.0,10348.0,10332.0
unmatched_applicants,10401.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10022.0,10025.0,10034.0,10045.0,10058.0,10072.0,10088.0,10092.0,10122.0,10112.0,10140.0,10151.0,10173.0,10209.0,10212.0,10214.0,10227.0,10279.0,10269.0,10267.0,10281.0,10343.0,10348.0,10348.0,10330.0
unmatched_applicants,10403.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10027.0,10026.0,10036.0,10044.0,10063.0,10073.0,10085.0,10097.0,10116.0,10129.0,10146.0,10156.0,10175.0,10218.0,10224.0,10206.0,10220.0,10267.0,10281.0,10289.0,10283.0,10323.0,10346.0,10340.0,10337.0
unmatched_applicants,10417.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10022.0,10023.0,10029.0,10047.0,10060.0,10076.0,10082.0,10110.0,10115.0,10143.0,10150.0,10159.0,10160.0,10197.0,10212.0,10215.0,10212.0,10274.0,10271.0,10276.0,10270.0,10322.0,10336.0,10338.0,10343.0
unmatched_applicants,10402.0,10021.0,10021.0,10021.0,10021.0,10021.0,10022.0,10029.0,10027.0,10028.0,10038.0,10065.0,10060.0,10070.0,10098.0,10116.0,10138.0,10144.0,10159.0,10161.0,10206.0,10210.0,10214.0,10213.0,10273.0,10272.0,10278.0,10293.0,10336.0,10336.0,10338.0,10344.0
unmatched_applicants,10410.0,10021.0,10021.0,10021.0,10021.0,10023.0,10021.0,10025.0,10022.0,10034.0,10058.0,10062.0,10073.0,10080.0,10098.0,10111.0,10127.0,10144.0,10146.0,10172.0,10200.0,10198.0,10224.0,10228.0,10268.0,10268.0,10285.0,10290.0,10327.0,10336.0,10358.0,10348.0
unmatched_applicants,10403.0,10021.0,10021.0,10021.0,10021.0,10022.0,10023.0,10025.0,10024.0,10038.0,10046.0,10060.0,10064.0,10082.0,10098.0,10110.0,10131.0,10143.0,10151.0,10162.0,10200.0,10210.0,10221.0,10225.0,10263.0,10275.0,10279.0,10285.0,10321.0,10332.0,10323.0,10351.0
