Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1557.0,1317.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1320.0,1321.0,1320.0,1329.0,1339.0,1336.0,1341.0,1358.0,1383.0,1367.0,1383.0,1392.0,1407.0,1406.0,1425.0,1424.0,1443.0,1438.0
unmatched_applicants,1561.0,1320.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1319.0,1316.0,1316.0,1326.0,1337.0,1333.0,1352.0,1361.0,1373.0,1377.0,1388.0,1395.0,1417.0,1412.0,1424.0,1435.0,1440.0,1446.0
unmatched_applicants,1567.0,1317.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1323.0,1346.0,1333.0,1357.0,1369.0,1380.0,1376.0,1389.0,1396.0,1410.0,1405.0,1427.0,1431.0,1447.0,1432.0
unmatched_applicants,1576.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1323.0,1321.0,1337.0,1331.0,1345.0,1365.0,1376.0,1371.0,1387.0,1394.0,1407.0,1406.0,1422.0,1436.0,1437.0,1440.0
unmatched_applicants,1554.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1323.0,1335.0,1331.0,1339.0,1362.0,1381.0,1369.0,1381.0,1389.0,1411.0,1404.0,1421.0,1431.0,1438.0,1437.0
unmatched_applicants,1558.0,1319.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1317.0,1316.0,1320.0,1320.0,1325.0,1339.0,1349.0,1353.0,1368.0,1366.0,1366.0,1402.0,1404.0,1418.0,1428.0,1425.0,1446.0,1439.0
unmatched_applicants,1564.0,1317.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1323.0,1321.0,1349.0,1333.0,1348.0,1356.0,1371.0,1380.0,1380.0,1396.0,1412.0,1403.0,1418.0,1431.0,1438.0,1441.0
unmatched_applicants,1555.0,1320.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1317.0,1316.0,1328.0,1344.0,1335.0,1339.0,1354.0,1373.0,1376.0,1388.0,1398.0,1418.0,1412.0,1430.0,1432.0,1434.0,1438.0
unmatched_applicants,1560.0,1317.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1330.0,1327.0,1339.0,1345.0,1355.0,1379.0,1377.0,1391.0,1405.0,1400.0,1411.0,1417.0,1433.0,1442.0,1446.0
unmatched_applicants,1573.0,1319.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1332.0,1332.0,1341.0,1358.0,1368.0,1369.0,1379.0,1382.0,1400.0,1410.0,1408.0,1416.0,1420.0,1442.0,1444.0
