Parameter,0,1,2,3,4
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unmatched_applicants,1316.0,1316.0,1316.0,1316.0,1316.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.68253968253968
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
reviews_per_program,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481,79.81481481481481
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_nosignal,0.9939675174013921,0.9890619821014253,0.9864103413987405,0.9784554192906861,0.9506131919124958
pct_interview_given_nosignal,0.9942989724892277,0.9918793503480279,0.9918241078333886,0.9922108054358635,0.9648657606894265
pct_interview_given_nosignal,0.995558501823003,0.9915478952601923,0.9939233233896807,0.9850845210473981,0.9575737487570434
pct_interview_given_nosignal,0.9944978455419291,0.9925422605236991,0.9891724671307038,0.9870732515744116,0.9787868743785217
pct_interview_given_nosignal,0.9944978455419291,0.9912164401723567,0.9930394431554525,0.9802784222737819,0.9718263175339742
pct_interview_given_nosignal,0.991117003646006,0.9896420285051376,0.9895039222185393,0.9835929731521379,0.9840901557838913
pct_interview_given_nosignal,0.9935697712959894,0.9905535299966854,0.9853054911059551,0.9811070599933709,0.959562479284057
pct_interview_given_nosignal,0.9952933377527345,0.9922936692078224,0.9886200419843111,0.9874047066622472,0.9582366589327146
pct_interview_given_nosignal,0.9934371892608551,0.9888962545575074,0.9898353773063749,0.9811070599933709,0.967848856479947
pct_interview_given_nosignal,0.9951607557176003,0.9934537620152469,0.9932604132140095,0.9806098773616175,0.9602253894597282
pct_interview_given_application,0.9939675174013921,0.9912495856811402,0.9918462048392442,0.9913821677162744,0.9901226383824991
pct_interview_given_application,0.9942989724892277,0.9935034802784223,0.9950944647000332,0.9968843221743454,0.9929731521378853
pct_interview_given_application,0.995558501823003,0.9932383162081538,0.9963539940338084,0.9940338084189593,0.9915147497514086
pct_interview_given_application,0.9944978455419291,0.9940338084189593,0.9935034802784223,0.9948293006297647,0.9957573748757044
pct_interview_given_application,0.9944978455419291,0.9929731521378853,0.9958236658932714,0.9921113689095128,0.9943652635067949
pct_interview_given_application,0.991117003646006,0.99171362280411,0.9937023533311237,0.9934371892608551,0.9968180311567783
pct_interview_given_application,0.9935697712959894,0.9924428239973484,0.9911832946635731,0.9924428239973484,0.9919124958568114
pct_interview_given_application,0.9952933377527345,0.9938349353662579,0.9931720251905867,0.9949618826648989,0.991647331786543
pct_interview_given_application,0.9934371892608551,0.991117003646006,0.9939012263838249,0.9924428239973484,0.9935697712959894
pct_interview_given_application,0.9951607557176003,0.9947630096121975,0.9959562479284056,0.992243950944647,0.9920450778919456
pct_of_app_match_via_signal_given_matched,0.0,0.9964726631393298,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.993533215755438,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9970605526161082,0.9988242210464433,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9923574368018813,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9970605526161082,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9941211052322163,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9958847736625515,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9952968841857731,0.9994121105232217,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9982363315696648,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9911816578483245,1.0,1.0,1.0
