Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unmatched_applicants,149.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,130.0,130.0,131.0,132.0,135.0,135.0,134.0,138.0,137.0,138.0,140.0,140.0,143.0
unmatched_applicants,150.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,130.0,131.0,130.0,130.0,132.0,133.0,135.0,139.0,137.0,137.0,140.0,143.0,145.0
unmatched_applicants,149.0,131.0,131.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,133.0,134.0,131.0,134.0,134.0,136.0,137.0,137.0,140.0,142.0,144.0
unmatched_applicants,150.0,131.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,131.0,132.0,132.0,135.0,135.0,137.0,139.0,140.0,143.0,143.0
unmatched_applicants,151.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,132.0,134.0,135.0,134.0,135.0,134.0,137.0,137.0,138.0,143.0,143.0
unmatched_applicants,149.0,133.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,133.0,134.0,132.0,135.0,139.0,137.0,139.0,140.0,143.0,144.0
unmatched_applicants,150.0,130.0,131.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,132.0,131.0,136.0,135.0,138.0,140.0,141.0,142.0,143.0
unmatched_applicants,150.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,134.0,133.0,132.0,136.0,135.0,139.0,139.0,140.0,142.0,143.0
unmatched_applicants,149.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,130.0,130.0,133.0,134.0,136.0,138.0,138.0,140.0,140.0,143.0,143.0
unmatched_applicants,147.0,131.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,134.0,131.0,132.0,136.0,138.0,138.0,142.0,142.0,144.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,5.0,4.0,8.0,7.0,8.0,10.0,10.0,13.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,9.0,7.0,7.0,10.0,13.0,15.0
unfilled_spots,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,4.0,4.0,6.0,7.0,7.0,10.0,12.0,14.0
unfilled_spots,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,5.0,7.0,9.0,10.0,13.0,13.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,7.0,7.0,8.0,13.0,13.0
unfilled_spots,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,9.0,7.0,9.0,10.0,13.0,14.0
unfilled_spots,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,5.0,8.0,10.0,11.0,12.0,13.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,6.0,5.0,9.0,9.0,10.0,12.0,13.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,6.0,8.0,8.0,10.0,10.0,13.0,13.0
unfilled_spots,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,6.0,8.0,8.0,12.0,12.0,14.0
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,92.67948717948718,80.17948717948718,57.42307692307692,41.57692307692308,31.23076923076923,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,93.28205128205128,81.64102564102564,57.73076923076923,44.06410256410256,33.93589743589744,33.87179487179487,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,92.48717948717949,78.67948717948718,56.26923076923077,35.256410256410255,32.05128205128205,33.91025641025641,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,93.2051282051282,80.35897435897436,56.12820512820513,36.17948717948718,32.26923076923077,33.93589743589744,37.52564102564103,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,91.17948717948718,77.5,62.782051282051285,43.80769230769231,34.97435897435897,34.8974358974359,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,93.47435897435898,79.1923076923077,55.87179487179487,38.06410256410256,35.51282051282051,33.0,37.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,94.51282051282051,92.47435897435898,82.76923076923077,58.67948717948718,41.205128205128204,34.756410256410255,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,91.52564102564102,79.38461538461539,58.782051282051285,39.08974358974359,33.98717948717949,33.0,37.61538461538461,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,94.44871794871794,93.3974358974359,82.37179487179488,61.256410256410255,40.52564102564103,32.23076923076923,33.0,37.41025641025641,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
reviews_per_program,95.33333333333333,95.33333333333333,95.33333333333333,95.33333333333333,93.25641025641026,82.92307692307692,54.43589743589744,37.48717948717949,33.833333333333336,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9947552447552448,0.9776223776223776,0.9166666666666666,0.8321678321678322,0.7465034965034965,0.6666666666666666,0.6,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9991258741258742,0.9846153846153847,0.9300699300699301,0.8326673326673326,0.7447552447552448,0.6662781662781663,0.6,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9734265734265735,0.905011655011655,0.8411588411588412,0.7482517482517482,0.6655011655011654,0.6,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9776223776223776,0.9230769230769231,0.8401598401598401,0.7473776223776224,0.6658896658896659,0.5996503496503497,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9982517482517482,0.9839160839160839,0.9102564102564102,0.8296703296703297,0.7443181818181818,0.6647241647241647,0.6,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9956293706293706,0.9769230769230769,0.916083916083916,0.8416583416583416,0.7447552447552448,0.6666666666666666,0.5982517482517482,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9956293706293706,0.9769230769230769,0.9294871794871795,0.8401598401598401,0.7438811188811189,0.6666666666666666,0.6,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9973776223776224,0.9783216783216783,0.9155011655011654,0.8436563436563437,0.7425699300699301,0.6666666666666666,0.5996503496503497,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9991258741258742,0.9804195804195804,0.912004662004662,0.8301698301698301,0.7469405594405595,0.6666666666666666,0.5996503496503497,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9991258741258742,0.9811188811188811,0.9242424242424242,0.8336663336663337,0.7469405594405595,0.6666666666666666,0.6,0.5454545454545454,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.3,0.2857142857142857,0.2727272727272727,0.2608695652173913
pct_interview_given_nosignal,0.23076923076923078,0.2,0.16666666666666666,0.13043478260869565,0.09186268277177369,0.052947052947052944,0.025,0.009201324990798674,0.001554001554001554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23076923076923078,0.2,0.16666666666666666,0.13043478260869565,0.0910680228862047,0.05128205128205128,0.02097902097902098,0.0090172984909827,0.002331002331002331,0.00020567667626491157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23076923076923078,0.2,0.16666666666666666,0.13043478260869565,0.09090909090909091,0.053946053946053944,0.028496503496503497,0.005888847994111152,0.000777000777000777,0.0006170300287947347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23076923076923078,0.2,0.16666666666666666,0.13043478260869565,0.09090909090909091,0.052947052947052944,0.023076923076923078,0.006256900993743099,0.0011655011655011655,0.00041135335252982314,0.00021853146853146853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23076923076923078,0.2,0.16666666666666666,0.13043478260869565,0.0912269548633185,0.05144855144855145,0.026923076923076925,0.010121457489878543,0.0025252525252525255,0.0010283833813245578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23076923076923078,0.2,0.16666666666666666,0.13043478260869565,0.09170375079465988,0.05311355311355311,0.025174825174825177,0.005704821494295178,0.002331002331002331,0.0,0.0010926573426573427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
