Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12
unmatched_applicants,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,271.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,271.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,270.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unmatched_applicants,270.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,277.64285714285717,187.07142857142858,62.07142857142857,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,151.21428571428572,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,170.57142857142858,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,206.71428571428572,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,133.85714285714286,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,148.21428571428572,62.0,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,169.14285714285714,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,170.42857142857142,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,170.71428571428572,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
reviews_per_program,277.64285714285717,153.71428571428572,42.714285714285715,64.07142857142857,85.42857142857143,106.78571428571429,128.14285714285714,149.5,170.85714285714286,192.21428571428572,213.57142857142858,234.92857142857142,256.2857142857143
pct_interview_given_signal,0.0,0.959866220735786,0.5434782608695652,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.8996655518394648,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9431438127090301,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9431438127090301,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9364548494983278,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9130434782608695,0.5451505016722408,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9531772575250836,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9230769230769231,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9230769230769231,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_signal,0.0,0.9331103678929766,0.5518394648829431,0.36789297658862874,0.27591973244147155,0.22073578595317725,0.18394648829431437,0.15766841853798375,0.13795986622073578,0.12263099219620958,0.11036789297658862,0.10033444816053512,0.09197324414715718
pct_interview_given_nosignal,0.08489837921276049,0.011984392419175028,0.0015202189115232593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08489837921276049,0.017001114827201784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08489837921276049,0.013377926421404682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
