Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unmatched_applicants,1052.0,718.0,704.0,691.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,688.0,698.0,696.0,702.0,737.0,738.0,772.0,788.0,810.0,832.0,852.0,864.0,914.0,922.0,947.0,961.0,969.0,1009.0,1019.0,1029.0
unmatched_applicants,1053.0,714.0,695.0,689.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,688.0,687.0,685.0,719.0,724.0,740.0,767.0,803.0,810.0,828.0,844.0,918.0,908.0,913.0,956.0,968.0,951.0,1002.0,1011.0,1051.0
unmatched_applicants,1046.0,705.0,709.0,687.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,695.0,685.0,692.0,714.0,716.0,745.0,774.0,801.0,824.0,837.0,854.0,887.0,895.0,922.0,957.0,949.0,989.0,1004.0,1013.0,1017.0
unmatched_applicants,1027.0,716.0,716.0,687.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,687.0,694.0,720.0,726.0,737.0,764.0,802.0,814.0,830.0,850.0,887.0,903.0,951.0,937.0,939.0,973.0,1013.0,1021.0,1025.0
unmatched_applicants,1040.0,715.0,699.0,693.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,694.0,694.0,701.0,741.0,733.0,759.0,785.0,814.0,821.0,851.0,885.0,900.0,928.0,944.0,961.0,987.0,1020.0,1020.0,1029.0
unmatched_applicants,1037.0,708.0,697.0,694.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,697.0,685.0,702.0,721.0,725.0,748.0,747.0,797.0,818.0,851.0,869.0,893.0,932.0,933.0,942.0,954.0,998.0,986.0,1013.0,1030.0
unmatched_applicants,1027.0,729.0,702.0,702.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,696.0,723.0,737.0,736.0,772.0,789.0,816.0,823.0,873.0,890.0,898.0,931.0,934.0,936.0,978.0,994.0,1037.0,1041.0
unmatched_applicants,1054.0,710.0,692.0,696.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,688.0,691.0,687.0,709.0,737.0,720.0,782.0,790.0,813.0,820.0,848.0,919.0,909.0,921.0,927.0,962.0,997.0,997.0,1005.0,1025.0
unmatched_applicants,1035.0,705.0,716.0,697.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,687.0,697.0,708.0,742.0,739.0,766.0,791.0,812.0,830.0,862.0,869.0,902.0,915.0,938.0,968.0,975.0,989.0,1011.0,1011.0
unmatched_applicants,1030.0,709.0,706.0,689.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,687.0,687.0,693.0,724.0,730.0,725.0,751.0,795.0,814.0,864.0,847.0,877.0,886.0,939.0,928.0,959.0,976.0,997.0,1000.0,1029.0
unfilled_spots,367.0,33.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,11.0,17.0,52.0,53.0,87.0,103.0,125.0,147.0,167.0,179.0,229.0,237.0,262.0,276.0,284.0,324.0,334.0,344.0
unfilled_spots,368.0,29.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,34.0,39.0,55.0,82.0,118.0,125.0,143.0,159.0,233.0,223.0,228.0,271.0,283.0,266.0,317.0,326.0,366.0
unfilled_spots,361.0,20.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,29.0,31.0,60.0,89.0,116.0,139.0,152.0,169.0,202.0,210.0,237.0,272.0,264.0,304.0,319.0,328.0,332.0
unfilled_spots,342.0,31.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,35.0,41.0,52.0,79.0,117.0,129.0,145.0,165.0,202.0,218.0,266.0,252.0,254.0,288.0,328.0,336.0,340.0
unfilled_spots,355.0,30.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,16.0,56.0,48.0,74.0,100.0,129.0,136.0,166.0,200.0,215.0,243.0,259.0,276.0,302.0,335.0,335.0,344.0
unfilled_spots,352.0,23.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,17.0,36.0,40.0,63.0,62.0,112.0,133.0,166.0,184.0,208.0,247.0,248.0,257.0,269.0,313.0,301.0,328.0,345.0
unfilled_spots,342.0,44.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,38.0,52.0,51.0,87.0,104.0,131.0,138.0,188.0,205.0,213.0,246.0,249.0,251.0,293.0,309.0,352.0,356.0
unfilled_spots,369.0,25.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,24.0,52.0,35.0,97.0,105.0,128.0,135.0,163.0,234.0,224.0,236.0,242.0,277.0,312.0,312.0,320.0,340.0
