Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,2416.0,1994.0,1991.0,1984.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1990.0,2000.0,1997.0,2012.0,2018.0,2075.0,2069.0,2118.0,2134.0,2154.0,2197.0,2205.0,2237.0,2275.0,2288.0,2318.0,2344.0,2362.0
unmatched_applicants,2423.0,2001.0,1986.0,1984.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1990.0,1998.0,1994.0,2012.0,2038.0,2070.0,2035.0,2095.0,2116.0,2177.0,2189.0,2232.0,2239.0,2253.0,2296.0,2334.0,2333.0,2371.0
unmatched_applicants,2368.0,2002.0,1988.0,1986.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1983.0,1980.0,1980.0,1981.0,1985.0,1987.0,1994.0,2013.0,2028.0,2054.0,2072.0,2103.0,2116.0,2176.0,2173.0,2220.0,2230.0,2250.0,2274.0,2307.0,2343.0,2374.0
unmatched_applicants,2388.0,2007.0,1991.0,1983.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1993.0,2008.0,1991.0,2000.0,2021.0,2071.0,2057.0,2110.0,2130.0,2157.0,2171.0,2178.0,2214.0,2273.0,2284.0,2312.0,2326.0,2385.0
unmatched_applicants,2403.0,2004.0,1989.0,1981.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1983.0,1994.0,1990.0,2003.0,2000.0,2018.0,2060.0,2086.0,2105.0,2109.0,2155.0,2160.0,2206.0,2219.0,2286.0,2278.0,2337.0,2340.0,2407.0
unmatched_applicants,2426.0,2011.0,1988.0,1982.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1986.0,1990.0,1992.0,1997.0,2020.0,2053.0,2062.0,2090.0,2092.0,2123.0,2165.0,2193.0,2209.0,2222.0,2252.0,2290.0,2302.0,2336.0,2371.0
unmatched_applicants,2382.0,2007.0,1983.0,1985.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1984.0,1985.0,1993.0,2026.0,2031.0,2025.0,2056.0,2109.0,2113.0,2173.0,2176.0,2203.0,2224.0,2262.0,2304.0,2313.0,2339.0,2354.0
unmatched_applicants,2392.0,2009.0,1987.0,1984.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1983.0,1983.0,1993.0,2001.0,2018.0,2017.0,2054.0,2054.0,2088.0,2114.0,2164.0,2167.0,2225.0,2249.0,2262.0,2287.0,2337.0,2346.0,2377.0
unmatched_applicants,2419.0,1997.0,1986.0,1981.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1984.0,1997.0,2003.0,1999.0,2033.0,2046.0,2059.0,2089.0,2119.0,2172.0,2165.0,2199.0,2230.0,2282.0,2285.0,2316.0,2340.0,2352.0
unmatched_applicants,2419.0,2002.0,1990.0,1983.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1992.0,2003.0,1997.0,2010.0,2037.0,2076.0,2097.0,2077.0,2141.0,2159.0,2176.0,2223.0,2250.0,2264.0,2293.0,2346.0,2346.0,2370.0
