Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,3656.0,2482.0,2443.0,2436.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2436.0,2460.0,2496.0,2539.0,2546.0,2606.0,2647.0,2692.0,2718.0,2748.0,2779.0,2827.0,2895.0,2893.0,2917.0,2967.0,3006.0,3035.0,3054.0,3094.0,3152.0,3177.0,3177.0,3204.0,3330.0,3328.0,3355.0,3316.0,3448.0
unmatched_applicants,3627.0,2480.0,2448.0,2443.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2436.0,2454.0,2486.0,2539.0,2551.0,2590.0,2621.0,2691.0,2726.0,2755.0,2793.0,2833.0,2880.0,2891.0,2929.0,2933.0,3008.0,3030.0,3063.0,3075.0,3159.0,3160.0,3188.0,3188.0,3342.0,3316.0,3320.0,3327.0,3485.0
unmatched_applicants,3634.0,2483.0,2448.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2438.0,2439.0,2449.0,2494.0,2533.0,2554.0,2584.0,2636.0,2702.0,2706.0,2764.0,2793.0,2847.0,2869.0,2896.0,2926.0,2936.0,3012.0,3031.0,3056.0,3074.0,3165.0,3177.0,3195.0,3191.0,3324.0,3342.0,3298.0,3324.0,3476.0
unmatched_applicants,3640.0,2485.0,2456.0,2438.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2445.0,2436.0,2455.0,2476.0,2545.0,2545.0,2580.0,2626.0,2698.0,2719.0,2751.0,2787.0,2833.0,2854.0,2902.0,2935.0,2936.0,3012.0,3031.0,3048.0,3078.0,3182.0,3191.0,3206.0,3177.0,3337.0,3302.0,3356.0,3361.0,3435.0
unmatched_applicants,3624.0,2483.0,2457.0,2437.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2436.0,2441.0,2456.0,2493.0,2536.0,2525.0,2575.0,2645.0,2676.0,2718.0,2760.0,2799.0,2836.0,2867.0,2901.0,2942.0,2961.0,3009.0,3022.0,3065.0,3063.0,3172.0,3171.0,3181.0,3231.0,3322.0,3322.0,3335.0,3314.0,3479.0
unmatched_applicants,3670.0,2478.0,2451.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2440.0,2440.0,2465.0,2481.0,2525.0,2538.0,2561.0,2643.0,2708.0,2693.0,2762.0,2802.0,2818.0,2876.0,2920.0,2935.0,2951.0,3038.0,3033.0,3050.0,3084.0,3163.0,3140.0,3187.0,3215.0,3328.0,3322.0,3320.0,3350.0,3469.0
unmatched_applicants,3637.0,2484.0,2449.0,2441.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2438.0,2442.0,2445.0,2458.0,2478.0,2540.0,2540.0,2606.0,2632.0,2685.0,2700.0,2769.0,2786.0,2812.0,2864.0,2897.0,2940.0,2967.0,2992.0,3017.0,3036.0,3076.0,3162.0,3173.0,3181.0,3192.0,3306.0,3310.0,3320.0,3334.0,3468.0
unmatched_applicants,3631.0,2471.0,2441.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2437.0,2453.0,2480.0,2527.0,2538.0,2587.0,2649.0,2687.0,2718.0,2762.0,2792.0,2829.0,2897.0,2891.0,2931.0,2962.0,3004.0,3031.0,3046.0,3078.0,3184.0,3172.0,3180.0,3195.0,3322.0,3332.0,3316.0,3322.0,3462.0
unmatched_applicants,3629.0,2483.0,2451.0,2437.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2444.0,2439.0,2450.0,2482.0,2527.0,2543.0,2593.0,2646.0,2699.0,2727.0,2777.0,2785.0,2823.0,2891.0,2899.0,2920.0,2944.0,3024.0,3053.0,3065.0,3090.0,3149.0,3179.0,3201.0,3191.0,3320.0,3325.0,3316.0,3319.0,3458.0
unmatched_applicants,3656.0,2473.0,2440.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2447.0,2446.0,2484.0,2527.0,2541.0,2598.0,2646.0,2704.0,2722.0,2754.0,2800.0,2827.0,2885.0,2906.0,2936.0,2962.0,3017.0,3030.0,3080.0,3060.0,3164.0,3197.0,3198.0,3201.0,3333.0,3326.0,3332.0,3370.0,3490.0
unfilled_spots,1221.0,47.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,61.0,104.0,111.0,171.0,212.0,257.0,283.0,313.0,344.0,392.0,460.0,458.0,482.0,532.0,571.0,600.0,619.0,659.0,717.0,742.0,742.0,769.0,895.0,893.0,920.0,881.0,1013.0
unfilled_spots,1192.0,45.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,51.0,104.0,116.0,155.0,186.0,256.0,291.0,320.0,358.0,398.0,445.0,456.0,494.0,498.0,573.0,595.0,628.0,640.0,724.0,725.0,753.0,753.0,907.0,881.0,885.0,892.0,1050.0
unfilled_spots,1199.0,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,14.0,59.0,98.0,119.0,149.0,201.0,267.0,271.0,329.0,358.0,412.0,434.0,461.0,491.0,501.0,577.0,596.0,621.0,639.0,730.0,742.0,760.0,756.0,889.0,907.0,863.0,889.0,1041.0
unfilled_spots,1205.0,50.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,20.0,41.0,110.0,110.0,145.0,191.0,263.0,284.0,316.0,352.0,398.0,419.0,467.0,500.0,501.0,577.0,596.0,613.0,643.0,747.0,756.0,771.0,742.0,902.0,867.0,921.0,926.0,1000.0
unfilled_spots,1189.0,48.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,21.0,58.0,101.0,90.0,140.0,210.0,241.0,283.0,325.0,364.0,401.0,432.0,466.0,507.0,526.0,574.0,587.0,630.0,628.0,737.0,736.0,746.0,796.0,887.0,887.0,900.0,879.0,1044.0
unfilled_spots,1235.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,30.0,46.0,90.0,103.0,126.0,208.0,273.0,258.0,327.0,367.0,383.0,441.0,485.0,500.0,516.0,603.0,598.0,615.0,649.0,728.0,705.0,752.0,780.0,893.0,887.0,885.0,915.0,1034.0
unfilled_spots,1202.0,49.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,23.0,43.0,105.0,105.0,171.0,197.0,250.0,265.0,334.0,351.0,377.0,429.0,462.0,505.0,532.0,557.0,582.0,601.0,641.0,727.0,738.0,746.0,757.0,871.0,875.0,885.0,899.0,1033.0
unfilled_spots,1196.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.0,45.0,92.0,103.0,152.0,214.0,252.0,283.0,327.0,357.0,394.0,462.0,456.0,496.0,527.0,569.0,596.0,611.0,643.0,749.0,737.0,745.0,760.0,887.0,897.0,881.0,887.0,1027.0
unfilled_spots,1194.0,48.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,15.0,47.0,92.0,108.0,158.0,211.0,264.0,292.0,342.0,350.0,388.0,456.0,464.0,485.0,509.0,589.0,618.0,630.0,655.0,714.0,744.0,766.0,756.0,885.0,890.0,881.0,884.0,1023.0
unfilled_spots,1221.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,11.0,49.0,92.0,106.0,163.0,211.0,269.0,287.0,319.0,365.0,392.0,450.0,471.0,501.0,527.0,582.0,595.0,645.0,625.0,729.0,762.0,763.0,766.0,898.0,891.0,897.0,935.0,1055.0
reviews_per_program,413.09914320685436,413.09914320685436,413.09914320685436,413.09914320685436,413.09914320685436,412.63035495716036,389.1334149326805,289.4871481028152,150.68421052631578,90.19706242350061,90.18482252141983,99.17992656058752,107.76499388004896,116.7454100367197,125.72582619339045,134.7062423500612,143.68665850673196,152.6670746634027,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,413.09914320685436,413.09914320685436,413.09914320685436,413.09914320685436,413.09914320685436,412.1823745410037,388.66829865361075,281.2864137086903,144.2545899632803,95.47735618115055,90.1640146878825,99.16646266829865,107.76499388004896,116.7454100367197,125.72582619339045,134.7062423500612,143.68665850673196,152.6670746634027,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
