Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,7285.0,6194.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6203.0,6269.0,6441.0,6449.0,6616.0,6789.0,6948.0,6984.0,7073.0,7269.0
unmatched_applicants,7272.0,6198.0,6192.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6213.0,6334.0,6440.0,6448.0,6636.0,6807.0,6927.0,6975.0,7111.0,7167.0
unmatched_applicants,7291.0,6199.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6193.0,6225.0,6315.0,6477.0,6487.0,6625.0,6806.0,6949.0,6983.0,7091.0,7177.0
unmatched_applicants,7293.0,6193.0,6200.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6201.0,6288.0,6467.0,6466.0,6603.0,6797.0,6945.0,6952.0,7110.0,7210.0
unmatched_applicants,7283.0,6195.0,6195.0,6190.0,6190.0,6190.0,6190.0,6195.0,6190.0,6205.0,6324.0,6488.0,6489.0,6624.0,6818.0,6921.0,7020.0,7119.0,7192.0
unmatched_applicants,7306.0,6194.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6192.0,6208.0,6291.0,6472.0,6432.0,6624.0,6772.0,6929.0,6996.0,7098.0,7239.0
unmatched_applicants,7274.0,6203.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6198.0,6210.0,6334.0,6474.0,6479.0,6664.0,6791.0,6946.0,7003.0,7110.0,7199.0
unmatched_applicants,7297.0,6201.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6204.0,6299.0,6416.0,6444.0,6654.0,6798.0,6935.0,6981.0,7110.0,7191.0
unmatched_applicants,7316.0,6195.0,6191.0,6190.0,6190.0,6190.0,6190.0,6191.0,6190.0,6201.0,6335.0,6476.0,6484.0,6639.0,6827.0,6950.0,7014.0,7083.0,7190.0
unmatched_applicants,7299.0,6203.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6197.0,6297.0,6465.0,6441.0,6598.0,6802.0,6945.0,7031.0,7118.0,7185.0
unfilled_spots,1095.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,79.0,251.0,259.0,426.0,599.0,758.0,794.0,883.0,1079.0
unfilled_spots,1082.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,144.0,250.0,258.0,446.0,617.0,737.0,785.0,921.0,977.0
unfilled_spots,1101.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,125.0,287.0,297.0,435.0,616.0,759.0,793.0,901.0,987.0
unfilled_spots,1103.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,98.0,277.0,276.0,413.0,607.0,755.0,762.0,920.0,1020.0
unfilled_spots,1093.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,134.0,298.0,299.0,434.0,628.0,731.0,830.0,929.0,1002.0
unfilled_spots,1116.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,101.0,282.0,242.0,434.0,582.0,739.0,806.0,908.0,1049.0
unfilled_spots,1084.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,144.0,284.0,289.0,474.0,601.0,756.0,813.0,920.0,1009.0
unfilled_spots,1107.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,109.0,226.0,254.0,464.0,608.0,745.0,791.0,920.0,1001.0
unfilled_spots,1126.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,145.0,286.0,294.0,449.0,637.0,760.0,824.0,893.0,1000.0
unfilled_spots,1109.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,107.0,275.0,251.0,408.0,612.0,755.0,841.0,928.0,995.0
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,427.27836411609496,298.67018469656995,148.36015831134566,158.55013192612137,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,427.12137203166225,294.7981530343008,148.43403693931398,158.5963060686016,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,425.5065963060686,296.23614775725594,148.71635883905014,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,427.6055408970976,298.16358839050133,145.81530343007915,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,425.29947229551453,285.9353562005277,146.38126649076517,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,425.41424802110816,285.6306068601583,151.06728232189974,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,427.6200527704485,289.7862796833773,149.1121372031662,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
