Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.67088607594937,101.9493670886076,98.60759493670886,99.82278481012658
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.78481012658227,105.46835443037975,102.12658227848101,98.60759493670886,100.16455696202532
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.44303797468355,102.72151898734177,97.55696202531645,99.68354430379746
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,104.86075949367088,102.07594936708861,97.87341772151899,100.16455696202532
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.67088607594937,104.54430379746836,102.83544303797468,98.12658227848101,99.89873417721519
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,104.70886075949367,101.18987341772151,98.20253164556962,99.84810126582279
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.69620253164557,105.70886075949367,101.68354430379746,98.86075949367088,99.75949367088607
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.11392405063292,99.9746835443038,98.29113924050633,100.37974683544304
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,104.37974683544304,102.0506329113924,98.63291139240506,99.68354430379746
reviews_per_program,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,106.15189873417721,105.87341772151899,104.58227848101266,102.17721518987342,97.69620253164557,100.25316455696202
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9896797693124905,0.9604897050639956,0.9081803005008348
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984974958263773,0.9902868417058734,0.9641068447412354,0.9065108514190318
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989983305509182,0.9928668993777507,0.9567334446299388,0.911390779504302
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974958263772955,0.9878585521323417,0.9571508069003896,0.9058687556183382
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996290113151549,0.9976627712854758,0.9939292760661709,0.9590984974958264,0.9061255939386157
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979966611018364,0.9896797693124905,0.9617417918753478,0.9104918453833312
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992580226303098,0.9994991652754591,0.9861891030505388,0.9627156371730662,0.909336072942083
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986644407345576,0.9854302625588102,0.9584028937117418,0.9094644921022217
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978297161936561,0.9908939140992563,0.9629938786867001,0.9142160010273532
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998145056575775,0.9978297161936561,0.9922598269843679,0.9616026711185309,0.9077950430204187
pct_interview_given_nosignal,0.8516575244455045,0.8388339540259406,0.828881469115192,0.8104416451661861,0.7934891485809683,0.7681320719718049,0.739983305509182,0.7076079179585023,0.6530328324986088,0.584974958263773,0.4766277128547579,0.3511407902058987,0.21619365609348914,0.12020033388981637
pct_interview_given_nosignal,0.8532077271643215,0.8428149479902401,0.8248469671675014,0.8134770071331007,0.7901502504173623,0.7683175663142274,0.7372704507512521,0.7061769616026711,0.6558152476349471,0.5846410684474124,0.4828881469115192,0.34223706176961605,0.18363939899833054,0.12353923205342238
pct_interview_given_nosignal,0.8517767708084903,0.8430717863105175,0.8297161936560935,0.8104416451661861,0.7903171953255426,0.772212947505101,0.7391485809682805,0.70474600524684,0.6535893155258765,0.5879799666110184,0.4828881469115192,0.3394546466332777,0.22036727879799667,0.09181969949916527
pct_interview_given_nosignal,0.8522537562604341,0.8421728521895466,0.8269337785197551,0.8140840795264835,0.7933222036727879,0.7712854757929883,0.7391485809682805,0.7049844979728118,0.6563717306622148,0.5853088480801335,0.4904006677796327,0.34390651085141904,0.22203672787979967,0.11352253756260434
pct_interview_given_nosignal,0.8529692344383496,0.8417875947091306,0.8292988313856428,0.811048717559569,0.7926544240400668,0.7705434984232981,0.7376878130217028,0.701407107083234,0.6513633834168058,0.5853088480801335,0.47454090150250416,0.3344462993878687,0.20701168614357263,0.11519198664440734
pct_interview_given_nosignal,0.8520152635344622,0.841659175548992,0.8297161936560935,0.809379268477766,0.7928213689482471,0.7703580040808755,0.7429048414023373,0.7059384688766993,0.656093489148581,0.5826377295492488,0.48330550918196996,0.3516972732331664,0.2003338898163606,0.09015025041736227
pct_interview_given_nosignal,0.8511805389935607,0.8406318222678824,0.8259599332220368,0.8098345727728031,0.7934891485809683,0.766833611574847,0.7404006677796328,0.7045075125208681,0.6538675570395103,0.5863105175292154,0.4741235392320534,0.3600445186421814,0.19365609348914858,0.1001669449081803
pct_interview_given_nosignal,0.8512997853565466,0.8429433671503789,0.8286032276015581,0.8130217028380634,0.7938230383973289,0.7696160267111853,0.7410267111853088,0.7056999761507274,0.6583194212576516,0.5823038397328881,0.4845575959933222,0.35392320534223703,0.22203672787979967,0.10851419031719532
pct_interview_given_nosignal,0.85237300262342,0.8379350199049698,0.827212020033389,0.8118075580512976,0.7933222036727879,0.7686885549990725,0.7412353923205343,0.7064154543286429,0.6491374513077351,0.5876460767946577,0.4904006677796327,0.3500278241513634,0.1994991652754591,0.06343906510851419
pct_interview_given_nosignal,0.8521345098974481,0.8414023372287145,0.8283249860879243,0.8136287752314464,0.7956594323873122,0.7655351511778891,0.7431135225375626,0.7002146434533747,0.6499721758486366,0.5869782971619366,0.4862270450751252,0.3411240957150807,0.19282136894824708,0.12353923205342238
pct_interview_given_application,0.8516575244455045,0.8503458144526592,0.8533269735273075,0.8510612926305747,0.852492248986406,0.8509420462675888,0.8514190317195326,0.8538039589792511,0.8512997853565466,0.8517767708084903,0.8504650608156451,0.8528499880753637,0.854161698068209,0.8518960171714762
pct_interview_given_application,0.8532077271643215,0.854042451705223,0.8498688290007155,0.8534462198902933,0.8501073217266873,0.8510612926305747,0.8498688290007155,0.8530884808013356,0.852492248986406,0.8516575244455045,0.8511805389935607,0.8514190317195326,0.8526114953493918,0.8505843071786311
pct_interview_given_application,0.8517767708084903,0.8542809444311948,0.854042451705223,0.8510612926305747,0.8502265680896732,0.8535654662532792,0.8509420462675888,0.85237300262342,0.8515382780825185,0.8528499880753637,0.8515382780825185,0.8528499880753637,0.8515382780825185,0.8528499880753637
pct_interview_given_application,0.8522537562604341,0.8534462198902933,0.8516575244455045,0.8539232053422371,0.85237300262342,0.8529692344383496,0.8509420462675888,0.852492248986406,0.8527307417123777,0.8518960171714762,0.8526114953493918,0.8498688290007155,0.8521345098974481,0.8492725971857858
