Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,4660.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4368.0,4364.0,4369.0,4364.0,4370.0,4376.0,4396.0,4403.0,4392.0,4406.0,4425.0,4436.0,4436.0,4448.0,4455.0,4471.0,4465.0,4474.0,4483.0,4498.0,4505.0,4507.0,4504.0,4531.0,4561.0
unmatched_applicants,4648.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4365.0,4364.0,4367.0,4367.0,4366.0,4366.0,4376.0,4381.0,4396.0,4403.0,4410.0,4423.0,4440.0,4442.0,4461.0,4452.0,4463.0,4467.0,4482.0,4495.0,4504.0,4508.0,4520.0,4519.0,4534.0,4537.0
unmatched_applicants,4642.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4366.0,4368.0,4370.0,4380.0,4382.0,4390.0,4383.0,4400.0,4411.0,4420.0,4430.0,4439.0,4441.0,4457.0,4466.0,4476.0,4498.0,4499.0,4493.0,4521.0,4508.0,4524.0,4519.0,4549.0
unmatched_applicants,4657.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4367.0,4364.0,4364.0,4364.0,4364.0,4371.0,4368.0,4383.0,4387.0,4397.0,4405.0,4407.0,4420.0,4433.0,4429.0,4449.0,4453.0,4465.0,4465.0,4475.0,4494.0,4504.0,4495.0,4515.0,4527.0,4529.0,4551.0
unmatched_applicants,4639.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4369.0,4368.0,4370.0,4388.0,4383.0,4393.0,4402.0,4410.0,4437.0,4431.0,4438.0,4448.0,4467.0,4452.0,4477.0,4483.0,4496.0,4492.0,4513.0,4527.0,4524.0,4531.0,4547.0
unmatched_applicants,4650.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4367.0,4368.0,4368.0,4377.0,4377.0,4385.0,4402.0,4406.0,4421.0,4423.0,4430.0,4439.0,4449.0,4458.0,4471.0,4471.0,4485.0,4481.0,4507.0,4511.0,4514.0,4525.0,4528.0,4537.0
unmatched_applicants,4648.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4368.0,4371.0,4371.0,4380.0,4391.0,4399.0,4395.0,4412.0,4420.0,4427.0,4432.0,4451.0,4460.0,4463.0,4460.0,4478.0,4492.0,4504.0,4520.0,4511.0,4519.0,4522.0,4541.0
unmatched_applicants,4652.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4372.0,4376.0,4373.0,4393.0,4400.0,4390.0,4420.0,4421.0,4437.0,4436.0,4447.0,4450.0,4465.0,4456.0,4489.0,4481.0,4501.0,4513.0,4513.0,4520.0,4525.0,4552.0
unmatched_applicants,4646.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4368.0,4364.0,4366.0,4372.0,4379.0,4392.0,4395.0,4395.0,4420.0,4419.0,4432.0,4436.0,4441.0,4460.0,4473.0,4468.0,4477.0,4482.0,4501.0,4512.0,4519.0,4508.0,4518.0,4548.0
unmatched_applicants,4645.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4369.0,4364.0,4367.0,4381.0,4364.0,4376.0,4383.0,4392.0,4406.0,4406.0,4419.0,4435.0,4436.0,4440.0,4459.0,4473.0,4477.0,4479.0,4494.0,4480.0,4516.0,4516.0,4532.0,4529.0,4537.0
