Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,1742.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1727.0,1731.0,1733.0
unmatched_applicants,1742.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1728.0,1733.0,1736.0
unmatched_applicants,1739.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1730.0,1734.0
unmatched_applicants,1745.0,1723.0,1723.0,1723.0,1723.0,1725.0,1723.0,1732.0,1735.0,1735.0
unmatched_applicants,1735.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1733.0,1728.0,1732.0
unmatched_applicants,1745.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1729.0,1739.0
unmatched_applicants,1740.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1727.0,1728.0,1730.0
unmatched_applicants,1734.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1731.0,1731.0,1731.0
unmatched_applicants,1743.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1732.0,1725.0,1729.0
unmatched_applicants,1738.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1731.0,1727.0,1731.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,10.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,13.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0
unfilled_spots,22.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,12.0,12.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,9.0
unfilled_spots,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,16.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,7.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,8.0
reviews_per_program,234.5054945054945,169.04395604395606,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
reviews_per_program,234.5054945054945,170.30769230769232,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
reviews_per_program,234.5054945054945,169.98901098901098,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
reviews_per_program,234.5054945054945,170.23076923076923,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
reviews_per_program,234.5054945054945,170.04395604395606,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
reviews_per_program,234.5054945054945,175.71428571428572,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
reviews_per_program,234.5054945054945,167.13186813186815,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505
