Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1826.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1728.0,1723.0,1727.0,1723.0,1723.0,1743.0,1735.0,1741.0,1737.0,1742.0,1742.0,1753.0,1758.0,1777.0,1772.0,1782.0,1794.0,1798.0,1807.0
unmatched_applicants,1822.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1727.0,1731.0,1731.0,1731.0,1731.0,1732.0,1735.0,1738.0,1739.0,1748.0,1754.0,1765.0,1772.0,1778.0,1787.0,1790.0,1804.0,1809.0
unmatched_applicants,1825.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1727.0,1725.0,1727.0,1727.0,1732.0,1740.0,1735.0,1736.0,1741.0,1742.0,1754.0,1758.0,1763.0,1771.0,1779.0,1786.0,1795.0,1796.0,1801.0
unmatched_applicants,1825.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1723.0,1723.0,1736.0,1737.0,1730.0,1739.0,1739.0,1737.0,1748.0,1750.0,1746.0,1756.0,1772.0,1778.0,1786.0,1788.0,1798.0,1806.0
unmatched_applicants,1822.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1727.0,1723.0,1731.0,1727.0,1724.0,1734.0,1739.0,1733.0,1736.0,1737.0,1743.0,1741.0,1751.0,1764.0,1772.0,1776.0,1782.0,1785.0,1795.0,1804.0
unmatched_applicants,1823.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1727.0,1727.0,1726.0,1730.0,1723.0,1730.0,1736.0,1731.0,1732.0,1743.0,1746.0,1740.0,1756.0,1756.0,1768.0,1773.0,1777.0,1787.0,1799.0,1806.0
unmatched_applicants,1820.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1726.0,1724.0,1723.0,1723.0,1727.0,1739.0,1731.0,1728.0,1731.0,1732.0,1740.0,1739.0,1755.0,1760.0,1770.0,1773.0,1790.0,1794.0,1800.0,1803.0
unmatched_applicants,1822.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1723.0,1727.0,1723.0,1733.0,1733.0,1739.0,1735.0,1739.0,1735.0,1737.0,1739.0,1750.0,1767.0,1773.0,1769.0,1784.0,1793.0,1799.0,1808.0
unmatched_applicants,1824.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1729.0,1727.0,1734.0,1727.0,1730.0,1734.0,1731.0,1739.0,1734.0,1744.0,1744.0,1761.0,1764.0,1779.0,1787.0,1791.0,1803.0,1800.0
unmatched_applicants,1822.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1727.0,1727.0,1728.0,1727.0,1734.0,1727.0,1732.0,1739.0,1733.0,1737.0,1745.0,1751.0,1756.0,1767.0,1772.0,1781.0,1790.0,1798.0,1811.0
unfilled_spots,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,20.0,12.0,18.0,14.0,19.0,19.0,30.0,35.0,54.0,49.0,59.0,71.0,75.0,84.0
unfilled_spots,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,8.0,8.0,8.0,9.0,12.0,15.0,16.0,25.0,31.0,42.0,49.0,55.0,64.0,67.0,81.0,86.0
unfilled_spots,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,4.0,9.0,17.0,12.0,13.0,18.0,19.0,31.0,35.0,40.0,48.0,56.0,63.0,72.0,73.0,78.0
unfilled_spots,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,14.0,7.0,16.0,16.0,14.0,25.0,27.0,23.0,33.0,49.0,55.0,63.0,65.0,75.0,83.0
unfilled_spots,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.0,4.0,1.0,11.0,16.0,10.0,13.0,14.0,20.0,18.0,28.0,41.0,49.0,53.0,59.0,62.0,72.0,81.0
unfilled_spots,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,7.0,0.0,7.0,13.0,8.0,9.0,20.0,23.0,17.0,33.0,33.0,45.0,50.0,54.0,64.0,76.0,83.0
unfilled_spots,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,16.0,8.0,5.0,8.0,9.0,17.0,16.0,32.0,37.0,47.0,50.0,67.0,71.0,77.0,80.0
unfilled_spots,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,10.0,10.0,16.0,12.0,16.0,12.0,14.0,16.0,27.0,44.0,50.0,46.0,61.0,70.0,76.0,85.0
unfilled_spots,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,4.0,7.0,11.0,8.0,16.0,11.0,21.0,21.0,38.0,41.0,56.0,64.0,68.0,80.0,77.0
unfilled_spots,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,4.0,11.0,4.0,9.0,16.0,10.0,14.0,22.0,28.0,33.0,44.0,49.0,58.0,67.0,75.0,88.0
reviews_per_program,1008.3736263736264,1008.3736263736264,1008.3736263736264,811.4615384615385,220.36263736263737,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373,562.8131868131868,586.2637362637363,609.7142857142857,633.1648351648352,656.6153846153846,680.065934065934,703.5164835164835,726.967032967033,750.4175824175824,773.8681318681319,797.3186813186813,820.7692307692307,844.2197802197802,867.6703296703297,891.1208791208791,914.5714285714286,938.021978021978
reviews_per_program,1008.3736263736264,1008.3736263736264,1008.3736263736264,833.7912087912088,275.0,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373,562.8131868131868,586.2637362637363,609.7142857142857,633.1648351648352,656.6153846153846,680.065934065934,703.5164835164835,726.967032967033,750.4175824175824,773.8681318681319,797.3186813186813,820.7692307692307,844.2197802197802,867.6703296703297,891.1208791208791,914.5714285714286,938.021978021978
