Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unmatched_applicants,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,184.83516483516485,127.97802197802197,117.25274725274726,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,183.84615384615384,131.47252747252747,119.58241758241758,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,181.23076923076923,136.2967032967033,120.21978021978022,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,180.92307692307693,132.28571428571428,118.81318681318682,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,179.8901098901099,133.84615384615384,117.25274725274726,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,182.23076923076923,135.04395604395606,119.82417582417582,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,181.26373626373626,135.06593406593407,120.0,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,179.21978021978023,130.3186813186813,119.01098901098901,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,182.82417582417582,136.58241758241758,119.52747252747253,140.7032967032967,164.15384615384616
reviews_per_program,187.6043956043956,187.6043956043956,187.6043956043956,177.78021978021977,130.41758241758242,118.92307692307692,140.7032967032967,164.15384615384616
pct_interview_given_signal,0.0,1.0,1.0,0.9993751952514839,0.9227975632614808,0.7703842549203374,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9987503905029679,0.9243205248359887,0.7684161199625117,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9975007810059356,0.9169400187441424,0.7678537956888473,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9956263667603874,0.9158856607310215,0.7693533270852858,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9975007810059356,0.9144798500468604,0.7703842549203374,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9984379881287098,0.9189315838800375,0.7689784442361762,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9990627928772259,0.9178772258669166,0.7690721649484537,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9967197750702905,0.9182286785379569,0.7688847235238988,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9985941893158388,0.9157685098406748,0.7694470477975632,0.6419868791002812,0.550274467800241
pct_interview_given_signal,0.0,1.0,1.0,0.9960949703217744,0.9218603561387066,0.7697282099343955,0.6419868791002812,0.550274467800241
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17075913776944704,0.040182755388940956,0.0,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.1711340206185567,0.03865979381443299,0.0032802249297094657,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.171883786316776,0.04604029990627929,0.004217432052483599,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17300843486410497,0.047094657919400186,0.001718213058419244,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.171883786316776,0.048500468603561386,0.0,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17132146204311152,0.044048734770384255,0.0023430178069353325,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17094657919400189,0.045103092783505154,0.0021868166198063107,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17235238987816306,0.04475164011246485,0.002499218994064355,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17122774133083413,0.04721180880974695,0.001562011871290222,0.0,0.0
pct_interview_given_nosignal,0.4814901593252109,0.4074173249430981,0.3086535457669478,0.17272727272727273,0.04111996251171509,0.0010934083099031554,0.0,0.0
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_interview_given_application,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109,0.4814901593252109
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
