Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,214.0,208.0,208.0,210.0,208.0,210.0,208.0,210.0,208.0,214.0
unmatched_applicants,216.0,210.0,208.0,208.0,208.0,208.0,210.0,211.0,208.0,211.0
unmatched_applicants,215.0,209.0,208.0,208.0,208.0,208.0,209.0,212.0,212.0,212.0
unmatched_applicants,219.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,210.0,214.0
unmatched_applicants,216.0,209.0,208.0,208.0,208.0,208.0,210.0,212.0,209.0,213.0
unmatched_applicants,218.0,209.0,208.0,208.0,208.0,208.0,208.0,213.0,211.0,213.0
unmatched_applicants,220.0,208.0,208.0,208.0,208.0,208.0,210.0,209.0,214.0,213.0
unmatched_applicants,218.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,213.0,214.0
unmatched_applicants,219.0,208.0,208.0,208.0,208.0,208.0,208.0,212.0,212.0,211.0
unmatched_applicants,217.0,209.0,208.0,208.0,208.0,208.0,208.0,209.0,209.0,214.0
unfilled_spots,6.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0
unfilled_spots,8.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0
unfilled_spots,7.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0
unfilled_spots,8.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0
unfilled_spots,10.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0
unfilled_spots,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
reviews_per_program,39.33884297520661,39.33884297520661,38.611570247933884,32.446280991735534,25.31404958677686,23.74380165289256,24.446280991735538,27.537190082644628,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,38.570247933884296,34.14049586776859,24.96694214876033,23.66115702479339,24.619834710743802,27.66115702479339,31.47107438016529,35.45454545454545
reviews_per_program,39.33884297520661,39.33884297520661,39.33884297520661,31.421487603305785,25.58677685950413,22.96694214876033,24.983471074380166,27.537190082644628,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,38.6198347107438,33.86776859504132,26.1900826446281,22.867768595041323,24.99173553719008,27.801652892561982,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,38.752066115702476,32.68595041322314,25.628099173553718,23.702479338842974,24.40495867768595,27.776859504132233,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,38.289256198347104,32.586776859504134,26.56198347107438,24.0,24.644628099173552,27.628099173553718,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,39.049586776859506,33.578512396694215,25.28099173553719,22.322314049586776,24.570247933884296,27.867768595041323,31.47107438016529,35.429752066115704
reviews_per_program,39.33884297520661,39.33884297520661,38.40495867768595,33.81818181818182,26.0,22.58677685950413,24.363636363636363,27.628099173553718,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,38.66942148760331,33.429752066115704,25.859504132231404,23.305785123966942,24.462809917355372,27.537190082644628,31.47107438016529,35.40495867768595
reviews_per_program,39.33884297520661,39.33884297520661,38.40495867768595,32.40495867768595,27.198347107438018,23.49586776859504,24.677685950413224,27.834710743801654,31.47107438016529,35.40495867768595
pct_interview_given_signal,0.0,1.0,0.9968487394957983,0.9789915966386554,0.8797268907563025,0.7554621848739496,0.6530112044817927,0.5630252100840336,0.49264705882352944,0.43790849673202614
pct_interview_given_signal,0.0,1.0,0.990546218487395,0.9796918767507002,0.8723739495798319,0.7579831932773109,0.6477591036414566,0.5624249699879952,0.49264705882352944,0.4376750700280112
pct_interview_given_signal,0.0,1.0,1.0,0.9726890756302521,0.8566176470588235,0.7546218487394958,0.6432072829131653,0.5630252100840336,0.49264705882352944,0.43790849673202614
pct_interview_given_signal,0.0,1.0,1.0,0.961484593837535,0.8744747899159664,0.761344537815126,0.6453081232492998,0.5603241296518607,0.49264705882352944,0.43790849673202614
pct_interview_given_signal,0.0,1.0,1.0,0.9607843137254902,0.8676470588235294,0.7600840336134453,0.6516106442577031,0.5618247298919568,0.49264705882352944,0.43790849673202614
pct_interview_given_signal,0.0,1.0,1.0,0.9810924369747899,0.8734243697478992,0.7487394957983193,0.6488095238095238,0.5624249699879952,0.49264705882352944,0.43790849673202614
pct_interview_given_signal,0.0,1.0,1.0,0.9642857142857143,0.8734243697478992,0.7630252100840336,0.6495098039215687,0.5612244897959183,0.49264705882352944,0.4376750700280112
pct_interview_given_signal,0.0,1.0,0.9978991596638656,0.976890756302521,0.8671218487394958,0.7630252100840336,0.6519607843137255,0.562124849939976,0.49264705882352944,0.43790849673202614
