Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unmatched_applicants,252.0,212.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,208.0,212.0,210.0,212.0,218.0,219.0,219.0,222.0,225.0,227.0,227.0,232.0,228.0,230.0,238.0,236.0,233.0,239.0,247.0,243.0,243.0,247.0,250.0,255.0,252.0
unmatched_applicants,250.0,208.0,209.0,209.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,208.0,208.0,208.0,216.0,211.0,210.0,215.0,218.0,217.0,220.0,224.0,225.0,225.0,227.0,231.0,234.0,234.0,240.0,233.0,240.0,244.0,245.0,246.0,247.0,247.0,259.0,252.0
unmatched_applicants,253.0,211.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,212.0,214.0,215.0,214.0,215.0,218.0,219.0,220.0,224.0,226.0,229.0,229.0,229.0,237.0,235.0,232.0,237.0,242.0,240.0,243.0,245.0,245.0,254.0,245.0,251.0
unmatched_applicants,250.0,209.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,208.0,209.0,210.0,210.0,210.0,213.0,215.0,219.0,222.0,219.0,226.0,225.0,222.0,228.0,227.0,229.0,236.0,236.0,234.0,236.0,246.0,246.0,244.0,245.0,249.0,253.0,251.0
unmatched_applicants,254.0,210.0,209.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,211.0,212.0,210.0,213.0,216.0,217.0,216.0,221.0,222.0,221.0,223.0,226.0,228.0,232.0,232.0,235.0,234.0,239.0,238.0,245.0,252.0,248.0,250.0,250.0,249.0,252.0
unmatched_applicants,256.0,210.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,211.0,210.0,212.0,218.0,214.0,221.0,220.0,222.0,224.0,223.0,232.0,229.0,232.0,231.0,238.0,234.0,238.0,238.0,253.0,237.0,243.0,245.0,253.0,253.0,254.0
unmatched_applicants,252.0,210.0,210.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,211.0,213.0,212.0,213.0,210.0,216.0,220.0,221.0,224.0,229.0,226.0,229.0,232.0,232.0,231.0,234.0,234.0,239.0,239.0,242.0,245.0,245.0,243.0,250.0,249.0,251.0
unmatched_applicants,244.0,210.0,209.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,213.0,211.0,210.0,212.0,219.0,222.0,219.0,220.0,223.0,229.0,225.0,229.0,231.0,240.0,236.0,238.0,240.0,235.0,243.0,240.0,244.0,248.0,254.0,248.0,246.0
unmatched_applicants,258.0,211.0,210.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,208.0,209.0,208.0,209.0,212.0,210.0,219.0,213.0,221.0,222.0,222.0,223.0,225.0,225.0,229.0,228.0,230.0,232.0,239.0,240.0,236.0,241.0,247.0,238.0,245.0,251.0,250.0,255.0
unmatched_applicants,252.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,210.0,212.0,209.0,213.0,211.0,215.0,214.0,214.0,216.0,222.0,227.0,225.0,227.0,232.0,234.0,225.0,236.0,238.0,235.0,235.0,241.0,243.0,248.0,245.0,251.0,251.0,253.0
