Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,334.0,237.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,238.0,235.0,238.0,239.0,241.0,244.0,241.0,248.0,247.0,254.0,251.0,256.0,258.0,261.0,260.0,264.0,262.0,271.0,269.0,274.0,268.0,276.0,277.0,280.0,277.0,286.0,282.0,285.0,288.0,299.0
unmatched_applicants,336.0,238.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,235.0,237.0,235.0,242.0,244.0,245.0,247.0,249.0,251.0,254.0,257.0,256.0,260.0,262.0,263.0,265.0,273.0,267.0,271.0,275.0,276.0,280.0,275.0,282.0,284.0,287.0,282.0,289.0,292.0
unmatched_applicants,334.0,243.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,235.0,236.0,236.0,239.0,240.0,243.0,244.0,249.0,250.0,249.0,255.0,258.0,255.0,260.0,260.0,260.0,265.0,272.0,271.0,265.0,272.0,276.0,275.0,283.0,279.0,284.0,283.0,284.0,290.0,289.0
unmatched_applicants,337.0,241.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,237.0,236.0,235.0,238.0,238.0,241.0,245.0,247.0,247.0,249.0,252.0,255.0,254.0,258.0,264.0,264.0,265.0,268.0,272.0,270.0,268.0,282.0,278.0,277.0,278.0,283.0,289.0,290.0,284.0,292.0
unmatched_applicants,335.0,238.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,236.0,238.0,237.0,239.0,243.0,246.0,247.0,252.0,249.0,253.0,258.0,257.0,258.0,261.0,260.0,263.0,266.0,268.0,273.0,273.0,280.0,279.0,278.0,280.0,287.0,283.0,285.0,285.0,288.0
unmatched_applicants,332.0,237.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,237.0,236.0,240.0,241.0,242.0,244.0,247.0,251.0,251.0,252.0,254.0,257.0,258.0,260.0,262.0,261.0,272.0,271.0,274.0,273.0,277.0,271.0,279.0,278.0,284.0,286.0,284.0,283.0,295.0
unmatched_applicants,336.0,238.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,238.0,237.0,238.0,240.0,242.0,244.0,248.0,248.0,252.0,253.0,254.0,253.0,264.0,263.0,263.0,264.0,271.0,270.0,272.0,272.0,274.0,278.0,280.0,281.0,282.0,288.0,284.0,288.0,294.0
unmatched_applicants,335.0,238.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,234.0,236.0,241.0,241.0,240.0,246.0,248.0,246.0,252.0,254.0,255.0,257.0,263.0,263.0,263.0,260.0,266.0,271.0,271.0,271.0,275.0,278.0,276.0,282.0,286.0,285.0,287.0,291.0,292.0
unmatched_applicants,338.0,239.0,234.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,240.0,240.0,243.0,246.0,247.0,250.0,252.0,255.0,255.0,258.0,263.0,262.0,263.0,264.0,268.0,268.0,268.0,272.0,275.0,275.0,279.0,276.0,291.0,285.0,289.0,287.0,296.0
unmatched_applicants,333.0,245.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,235.0,235.0,236.0,234.0,237.0,237.0,244.0,239.0,252.0,244.0,249.0,251.0,252.0,254.0,259.0,263.0,261.0,262.0,264.0,272.0,267.0,270.0,273.0,281.0,278.0,279.0,277.0,282.0,284.0,289.0,283.0,299.0
