Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
unmatched_applicants,1183.0,981.0,981.0,981.0,981.0,981.0,981.0,990.0,984.0,993.0,1004.0,1009.0,1016.0,1026.0,1041.0,1050.0,1063.0,1065.0,1059.0,1075.0,1100.0,1098.0,1102.0,1104.0,1123.0,1141.0
unmatched_applicants,1185.0,981.0,981.0,981.0,981.0,981.0,981.0,984.0,990.0,991.0,1008.0,1021.0,1013.0,1030.0,1034.0,1049.0,1052.0,1063.0,1069.0,1071.0,1104.0,1099.0,1104.0,1102.0,1141.0,1132.0
unmatched_applicants,1186.0,981.0,981.0,981.0,981.0,981.0,981.0,983.0,981.0,993.0,1002.0,1010.0,1018.0,1034.0,1033.0,1042.0,1051.0,1064.0,1071.0,1076.0,1093.0,1099.0,1104.0,1108.0,1138.0,1139.0
unmatched_applicants,1165.0,981.0,981.0,981.0,981.0,981.0,981.0,989.0,981.0,988.0,996.0,1013.0,1018.0,1032.0,1038.0,1051.0,1056.0,1074.0,1069.0,1068.0,1090.0,1098.0,1099.0,1106.0,1143.0,1146.0
unmatched_applicants,1166.0,981.0,981.0,981.0,981.0,981.0,981.0,987.0,987.0,989.0,1010.0,1017.0,1018.0,1029.0,1041.0,1046.0,1051.0,1064.0,1066.0,1072.0,1091.0,1096.0,1093.0,1109.0,1134.0,1125.0
unmatched_applicants,1170.0,981.0,981.0,981.0,981.0,981.0,982.0,982.0,984.0,989.0,1004.0,1012.0,1022.0,1034.0,1042.0,1042.0,1056.0,1063.0,1070.0,1067.0,1087.0,1098.0,1105.0,1106.0,1125.0,1134.0
unmatched_applicants,1181.0,982.0,981.0,981.0,981.0,981.0,981.0,982.0,983.0,993.0,1003.0,1011.0,1014.0,1026.0,1031.0,1042.0,1062.0,1057.0,1063.0,1076.0,1101.0,1101.0,1104.0,1111.0,1136.0,1139.0
unmatched_applicants,1179.0,983.0,981.0,981.0,981.0,981.0,981.0,983.0,989.0,996.0,1001.0,1017.0,1013.0,1031.0,1031.0,1041.0,1050.0,1059.0,1067.0,1076.0,1098.0,1098.0,1095.0,1102.0,1130.0,1137.0
unmatched_applicants,1176.0,981.0,981.0,981.0,981.0,981.0,981.0,984.0,982.0,989.0,1005.0,1013.0,1019.0,1029.0,1036.0,1045.0,1047.0,1070.0,1067.0,1075.0,1094.0,1104.0,1101.0,1106.0,1132.0,1136.0
unmatched_applicants,1170.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,988.0,991.0,1010.0,1009.0,1013.0,1027.0,1030.0,1052.0,1062.0,1057.0,1071.0,1079.0,1100.0,1102.0,1111.0,1102.0,1146.0,1142.0
unfilled_spots,202.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,12.0,23.0,28.0,35.0,45.0,60.0,69.0,82.0,84.0,78.0,94.0,119.0,117.0,121.0,123.0,142.0,160.0
unfilled_spots,204.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,10.0,27.0,40.0,32.0,49.0,53.0,68.0,71.0,82.0,88.0,90.0,123.0,118.0,123.0,121.0,160.0,151.0
unfilled_spots,205.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,21.0,29.0,37.0,53.0,52.0,61.0,70.0,83.0,90.0,95.0,112.0,118.0,123.0,127.0,157.0,158.0
unfilled_spots,184.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,15.0,32.0,37.0,51.0,57.0,70.0,75.0,93.0,88.0,87.0,109.0,117.0,118.0,125.0,162.0,165.0
unfilled_spots,185.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,29.0,36.0,37.0,48.0,60.0,65.0,70.0,83.0,85.0,91.0,110.0,115.0,112.0,128.0,153.0,144.0
unfilled_spots,189.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,23.0,31.0,41.0,53.0,61.0,61.0,75.0,82.0,89.0,86.0,106.0,117.0,124.0,125.0,144.0,153.0
unfilled_spots,200.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,22.0,30.0,33.0,45.0,50.0,61.0,81.0,76.0,82.0,95.0,120.0,120.0,123.0,130.0,155.0,158.0
unfilled_spots,198.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,20.0,36.0,32.0,50.0,50.0,60.0,69.0,78.0,86.0,95.0,117.0,117.0,114.0,121.0,149.0,156.0
unfilled_spots,195.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,24.0,32.0,38.0,48.0,55.0,64.0,66.0,89.0,86.0,94.0,113.0,123.0,120.0,125.0,151.0,155.0
unfilled_spots,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,29.0,28.0,32.0,46.0,49.0,71.0,81.0,76.0,90.0,98.0,119.0,121.0,130.0,121.0,165.0,161.0
reviews_per_program,312.75471698113205,312.75471698113205,310.9685534591195,192.47169811320754,53.25157232704402,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,309.1949685534591,190.8679245283019,58.41509433962264,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,307.1509433962264,202.73584905660377,60.490566037735846,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
