Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,1217.0,848.0,844.0,844.0,844.0,844.0,844.0,845.0,847.0,854.0,869.0,877.0,893.0,909.0,917.0,924.0,939.0,946.0,948.0,956.0,972.0,986.0,992.0,991.0,1023.0,1019.0,1023.0,1033.0,1073.0,1075.0,1070.0,1067.0,1115.0,1122.0,1128.0,1142.0,1192.0,1174.0,1181.0,1179.0
unmatched_applicants,1225.0,848.0,845.0,844.0,844.0,844.0,844.0,844.0,850.0,852.0,862.0,879.0,896.0,899.0,914.0,925.0,949.0,935.0,945.0,963.0,970.0,978.0,991.0,997.0,1033.0,1031.0,1036.0,1025.0,1065.0,1076.0,1082.0,1060.0,1143.0,1116.0,1124.0,1124.0,1178.0,1173.0,1176.0,1170.0
unmatched_applicants,1225.0,846.0,844.0,844.0,844.0,844.0,845.0,846.0,844.0,860.0,862.0,883.0,877.0,901.0,904.0,932.0,945.0,937.0,947.0,949.0,983.0,986.0,993.0,1002.0,1036.0,1024.0,1033.0,1031.0,1073.0,1063.0,1091.0,1079.0,1126.0,1127.0,1116.0,1121.0,1175.0,1186.0,1180.0,1175.0
unmatched_applicants,1239.0,846.0,844.0,844.0,844.0,844.0,844.0,847.0,844.0,847.0,863.0,882.0,887.0,903.0,917.0,923.0,933.0,939.0,945.0,952.0,983.0,995.0,996.0,999.0,1026.0,1015.0,1029.0,1023.0,1074.0,1070.0,1080.0,1071.0,1131.0,1130.0,1146.0,1142.0,1183.0,1176.0,1185.0,1183.0
unmatched_applicants,1212.0,851.0,844.0,844.0,844.0,844.0,846.0,844.0,844.0,855.0,868.0,884.0,878.0,893.0,912.0,920.0,933.0,940.0,942.0,955.0,989.0,978.0,986.0,993.0,1016.0,1029.0,1022.0,1039.0,1069.0,1089.0,1078.0,1078.0,1122.0,1131.0,1131.0,1127.0,1173.0,1187.0,1177.0,1189.0
unmatched_applicants,1226.0,845.0,844.0,844.0,844.0,844.0,844.0,848.0,853.0,855.0,868.0,876.0,879.0,898.0,916.0,914.0,939.0,943.0,954.0,959.0,982.0,978.0,987.0,990.0,1019.0,1026.0,1020.0,1029.0,1072.0,1079.0,1059.0,1080.0,1135.0,1115.0,1132.0,1130.0,1176.0,1178.0,1174.0,1189.0
unmatched_applicants,1218.0,845.0,844.0,844.0,844.0,844.0,844.0,844.0,849.0,856.0,873.0,876.0,884.0,901.0,914.0,920.0,934.0,941.0,946.0,959.0,958.0,973.0,994.0,988.0,1012.0,1026.0,1023.0,1029.0,1083.0,1066.0,1084.0,1077.0,1132.0,1130.0,1118.0,1124.0,1192.0,1177.0,1179.0,1188.0
unmatched_applicants,1220.0,845.0,844.0,844.0,844.0,844.0,844.0,847.0,844.0,857.0,855.0,881.0,885.0,899.0,916.0,927.0,933.0,941.0,952.0,953.0,976.0,987.0,981.0,998.0,1013.0,1020.0,1033.0,1046.0,1076.0,1083.0,1060.0,1072.0,1120.0,1128.0,1125.0,1120.0,1188.0,1173.0,1188.0,1178.0
unmatched_applicants,1233.0,848.0,844.0,844.0,844.0,844.0,844.0,846.0,853.0,849.0,863.0,880.0,887.0,899.0,916.0,920.0,939.0,939.0,945.0,953.0,972.0,979.0,979.0,985.0,1030.0,1025.0,1022.0,1029.0,1078.0,1058.0,1062.0,1075.0,1140.0,1130.0,1118.0,1124.0,1192.0,1173.0,1171.0,1199.0
unmatched_applicants,1231.0,847.0,844.0,844.0,844.0,844.0,844.0,844.0,845.0,854.0,858.0,880.0,881.0,901.0,910.0,919.0,924.0,948.0,948.0,960.0,964.0,978.0,986.0,980.0,1023.0,1019.0,1041.0,1019.0,1059.0,1081.0,1061.0,1093.0,1111.0,1120.0,1127.0,1128.0,1188.0,1186.0,1166.0,1167.0
unfilled_spots,373.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,25.0,33.0,49.0,65.0,73.0,80.0,95.0,102.0,104.0,112.0,128.0,142.0,148.0,147.0,179.0,175.0,179.0,189.0,229.0,231.0,226.0,223.0,271.0,278.0,284.0,298.0,348.0,330.0,337.0,335.0
unfilled_spots,381.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,18.0,35.0,52.0,55.0,70.0,81.0,105.0,91.0,101.0,119.0,126.0,134.0,147.0,153.0,189.0,187.0,192.0,181.0,221.0,232.0,238.0,216.0,299.0,272.0,280.0,280.0,334.0,329.0,332.0,326.0
unfilled_spots,381.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,18.0,39.0,33.0,57.0,60.0,88.0,101.0,93.0,103.0,105.0,139.0,142.0,149.0,158.0,192.0,180.0,189.0,187.0,229.0,219.0,247.0,235.0,282.0,283.0,272.0,277.0,331.0,342.0,336.0,331.0
unfilled_spots,395.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,19.0,38.0,43.0,59.0,73.0,79.0,89.0,95.0,101.0,108.0,139.0,151.0,152.0,155.0,182.0,171.0,185.0,179.0,230.0,226.0,236.0,227.0,287.0,286.0,302.0,298.0,339.0,332.0,341.0,339.0
unfilled_spots,368.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,24.0,40.0,34.0,49.0,68.0,76.0,89.0,96.0,98.0,111.0,145.0,134.0,142.0,149.0,172.0,185.0,178.0,195.0,225.0,245.0,234.0,234.0,278.0,287.0,287.0,283.0,329.0,343.0,333.0,345.0
unfilled_spots,382.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,11.0,24.0,32.0,35.0,54.0,72.0,70.0,95.0,99.0,110.0,115.0,138.0,134.0,143.0,146.0,175.0,182.0,176.0,185.0,228.0,235.0,215.0,236.0,291.0,271.0,288.0,286.0,332.0,334.0,330.0,345.0
