Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unmatched_applicants,818.0,686.0,680.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,681.0,690.0,692.0,709.0,716.0,740.0,746.0,760.0,780.0
unmatched_applicants,819.0,683.0,679.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,684.0,691.0,685.0,696.0,718.0,731.0,730.0,762.0,781.0
unmatched_applicants,817.0,680.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,686.0,699.0,709.0,725.0,731.0,752.0,765.0,764.0
unmatched_applicants,805.0,690.0,678.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,691.0,683.0,687.0,709.0,722.0,727.0,750.0,756.0,774.0
unmatched_applicants,807.0,688.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,684.0,678.0,694.0,706.0,723.0,721.0,749.0,757.0,776.0
unmatched_applicants,816.0,683.0,681.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,683.0,683.0,694.0,705.0,727.0,742.0,751.0,755.0,770.0
unmatched_applicants,809.0,689.0,684.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,677.0,685.0,696.0,700.0,721.0,731.0,745.0,753.0,774.0
unmatched_applicants,809.0,688.0,677.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,681.0,698.0,712.0,722.0,733.0,741.0,769.0,782.0
unmatched_applicants,811.0,688.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,677.0,680.0,687.0,694.0,712.0,730.0,725.0,741.0,764.0,775.0
unmatched_applicants,820.0,693.0,680.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,685.0,690.0,706.0,718.0,732.0,752.0,754.0,777.0
unfilled_spots,142.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,16.0,33.0,40.0,64.0,70.0,84.0,104.0
unfilled_spots,143.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,9.0,20.0,42.0,55.0,54.0,86.0,105.0
unfilled_spots,141.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,23.0,33.0,49.0,55.0,76.0,89.0,88.0
unfilled_spots,129.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,7.0,11.0,33.0,46.0,51.0,74.0,80.0,98.0
unfilled_spots,131.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,2.0,18.0,30.0,47.0,45.0,73.0,81.0,100.0
unfilled_spots,140.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,18.0,29.0,51.0,66.0,75.0,79.0,94.0
unfilled_spots,133.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,20.0,24.0,45.0,55.0,69.0,77.0,98.0
unfilled_spots,133.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,22.0,36.0,46.0,57.0,65.0,93.0,106.0
unfilled_spots,135.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,18.0,36.0,54.0,49.0,65.0,88.0,99.0
unfilled_spots,144.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,30.0,42.0,56.0,76.0,78.0,101.0
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.0,157.49830508474577,138.8,95.37288135593221,71.87796610169491,67.8,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.99322033898306,138.20677966101695,95.87118644067796,68.45423728813559,66.24745762711865,73.22033898305085,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,158.8135593220339,140.46101694915254,96.9728813559322,70.01016949152542,66.71525423728814,73.23728813559322,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,159.12881355932203,137.47457627118644,94.56271186440678,67.34915254237288,67.63389830508474,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,159.60338983050846,139.70508474576272,96.88135593220339,69.0,67.60338983050848,73.22033898305085,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.88474576271187,139.91525423728814,100.23728813559322,71.35932203389831,66.23389830508475,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,158.76610169491525,138.18983050847459,99.06101694915255,68.56271186440678,66.57627118644068,73.22033898305085,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.4813559322034,140.19322033898305,99.25084745762712,68.50169491525423,66.91186440677966,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
