Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
unmatched_applicants,915.0,699.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,687.0,692.0,699.0,706.0,717.0,743.0,731.0,751.0,768.0,779.0,791.0,795.0,804.0,810.0,827.0,821.0,839.0,844.0,867.0,870.0,875.0
unmatched_applicants,904.0,684.0,678.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,683.0,691.0,693.0,701.0,719.0,731.0,743.0,749.0,770.0,778.0,787.0,798.0,803.0,813.0,830.0,829.0,842.0,841.0,857.0,866.0,884.0
unmatched_applicants,910.0,689.0,680.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,676.0,676.0,686.0,693.0,691.0,704.0,723.0,734.0,750.0,759.0,754.0,774.0,787.0,781.0,799.0,814.0,837.0,839.0,836.0,843.0,871.0,870.0,880.0
unmatched_applicants,902.0,696.0,680.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,695.0,693.0,701.0,719.0,724.0,743.0,753.0,765.0,770.0,793.0,791.0,803.0,819.0,831.0,840.0,848.0,843.0,862.0,866.0,875.0
unmatched_applicants,911.0,692.0,681.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,677.0,682.0,682.0,686.0,708.0,729.0,727.0,742.0,752.0,766.0,772.0,798.0,795.0,808.0,813.0,828.0,839.0,833.0,844.0,856.0,868.0,873.0
unmatched_applicants,894.0,685.0,683.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,692.0,694.0,701.0,721.0,732.0,744.0,748.0,766.0,769.0,786.0,794.0,808.0,821.0,825.0,833.0,837.0,842.0,867.0,878.0,876.0
unmatched_applicants,900.0,682.0,682.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,688.0,689.0,700.0,714.0,728.0,745.0,749.0,757.0,778.0,782.0,804.0,801.0,818.0,836.0,824.0,844.0,841.0,858.0,864.0,877.0
unmatched_applicants,911.0,691.0,681.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,676.0,680.0,686.0,681.0,693.0,708.0,713.0,733.0,732.0,746.0,765.0,785.0,784.0,789.0,812.0,821.0,826.0,831.0,833.0,843.0,858.0,869.0,876.0
unmatched_applicants,914.0,685.0,682.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,678.0,691.0,693.0,708.0,726.0,730.0,738.0,754.0,766.0,770.0,790.0,811.0,811.0,808.0,825.0,837.0,834.0,849.0,857.0,883.0,874.0
unmatched_applicants,911.0,698.0,680.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,678.0,681.0,682.0,705.0,719.0,736.0,749.0,752.0,758.0,777.0,788.0,791.0,818.0,809.0,835.0,822.0,848.0,845.0,863.0,863.0,868.0
unfilled_spots,239.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0,23.0,30.0,41.0,67.0,55.0,75.0,92.0,103.0,115.0,119.0,128.0,134.0,151.0,145.0,163.0,168.0,191.0,194.0,199.0
unfilled_spots,228.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,17.0,25.0,43.0,55.0,67.0,73.0,94.0,102.0,111.0,122.0,127.0,137.0,154.0,153.0,166.0,165.0,181.0,190.0,208.0
unfilled_spots,234.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,17.0,15.0,28.0,47.0,58.0,74.0,83.0,78.0,98.0,111.0,105.0,123.0,138.0,161.0,163.0,160.0,167.0,195.0,194.0,204.0
unfilled_spots,226.0,20.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,17.0,25.0,43.0,48.0,67.0,77.0,89.0,94.0,117.0,115.0,127.0,143.0,155.0,164.0,172.0,167.0,186.0,190.0,199.0
unfilled_spots,235.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,10.0,32.0,53.0,51.0,66.0,76.0,90.0,96.0,122.0,119.0,132.0,137.0,152.0,163.0,157.0,168.0,180.0,192.0,197.0
unfilled_spots,218.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,18.0,25.0,45.0,56.0,68.0,72.0,90.0,93.0,110.0,118.0,132.0,145.0,149.0,157.0,161.0,166.0,191.0,202.0,200.0
unfilled_spots,224.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,13.0,24.0,38.0,52.0,69.0,73.0,81.0,102.0,106.0,128.0,125.0,142.0,160.0,148.0,168.0,165.0,182.0,188.0,201.0
unfilled_spots,235.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,5.0,17.0,32.0,37.0,57.0,56.0,70.0,89.0,109.0,108.0,113.0,136.0,145.0,150.0,155.0,157.0,167.0,182.0,193.0,200.0
unfilled_spots,238.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,17.0,32.0,50.0,54.0,62.0,78.0,90.0,94.0,114.0,135.0,135.0,132.0,149.0,161.0,158.0,173.0,181.0,207.0,198.0
unfilled_spots,235.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,6.0,29.0,43.0,60.0,73.0,76.0,82.0,101.0,112.0,115.0,142.0,133.0,159.0,146.0,172.0,169.0,187.0,187.0,192.0
reviews_per_program,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,266.135593220339,245.42033898305084,180.7728813559322,108.57627118644068,85.23728813559322,82.8542372881356,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746,145.83050847457628,153.1220338983051,160.4135593220339,167.70508474576272,174.99661016949153,182.28813559322035,189.57966101694916,196.87118644067797,204.1627118644068,211.4542372881356,218.74576271186442,226.03728813559323,233.32881355932204,240.62033898305086,247.91186440677967
reviews_per_program,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,247.92881355932204,180.0135593220339,119.11525423728814,82.52203389830508,81.63050847457627,88.16610169491526,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746,145.83050847457628,153.1220338983051,160.4135593220339,167.70508474576272,174.99661016949153,182.28813559322035,189.57966101694916,196.87118644067797,204.1627118644068,211.4542372881356,218.74576271186442,226.03728813559323,233.32881355932204,240.62033898305086,247.91186440677967
reviews_per_program,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.03050847457627,246.46101694915254,178.59661016949153,99.28813559322033,84.48135593220339,80.87457627118644,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746,145.83050847457628,153.1220338983051,160.4135593220339,167.70508474576272,174.99661016949153,182.28813559322035,189.57966101694916,196.87118644067797,204.1627118644068,211.4542372881356,218.74576271186442,226.03728813559323,233.32881355932204,240.62033898305086,247.91186440677967
reviews_per_program,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,266.80677966101695,240.6813559322034,182.30847457627118,112.98305084745763,84.40677966101696,80.8135593220339,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746,145.83050847457628,153.1220338983051,160.4135593220339,167.70508474576272,174.99661016949153,182.28813559322035,189.57966101694916,196.87118644067797,204.1627118644068,211.4542372881356,218.74576271186442,226.03728813559323,233.32881355932204,240.62033898305086,247.91186440677967
reviews_per_program,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,269.7864406779661,268.271186440678,249.33559322033898,180.0406779661017,109.55593220338983,81.94237288135594,81.49491525423728,88.09491525423729,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746,145.83050847457628,153.1220338983051,160.4135593220339,167.70508474576272,174.99661016949153,182.28813559322035,189.57966101694916,196.87118644067797,204.1627118644068,211.4542372881356,218.74576271186442,226.03728813559323,233.32881355932204,240.62033898305086,247.91186440677967
