Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,963.0,603.0,572.0,566.0,564.0,564.0,564.0,564.0,564.0,564.0,565.0,575.0,567.0,594.0,601.0,618.0,624.0,641.0,660.0,665.0,696.0,717.0,705.0,725.0,749.0,764.0,766.0,759.0,795.0,786.0,798.0,815.0,843.0,850.0,838.0,834.0,888.0,885.0,876.0,896.0,951.0
unmatched_applicants,985.0,595.0,573.0,574.0,564.0,564.0,564.0,564.0,564.0,567.0,564.0,566.0,574.0,594.0,603.0,615.0,625.0,646.0,659.0,672.0,702.0,696.0,709.0,724.0,752.0,759.0,767.0,752.0,788.0,782.0,800.0,794.0,848.0,844.0,834.0,840.0,884.0,904.0,878.0,892.0,966.0
unmatched_applicants,957.0,590.0,588.0,569.0,564.0,564.0,564.0,564.0,564.0,564.0,565.0,576.0,572.0,584.0,594.0,624.0,632.0,648.0,663.0,680.0,680.0,708.0,712.0,736.0,738.0,751.0,763.0,753.0,801.0,804.0,794.0,794.0,843.0,844.0,832.0,855.0,905.0,905.0,887.0,889.0,947.0
unmatched_applicants,956.0,600.0,576.0,570.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,571.0,573.0,580.0,598.0,609.0,638.0,646.0,662.0,663.0,704.0,702.0,711.0,721.0,744.0,745.0,767.0,766.0,792.0,798.0,790.0,797.0,844.0,834.0,840.0,841.0,885.0,909.0,898.0,879.0,950.0
unmatched_applicants,955.0,587.0,580.0,567.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,577.0,580.0,592.0,606.0,618.0,622.0,664.0,668.0,678.0,695.0,701.0,702.0,727.0,745.0,743.0,756.0,765.0,795.0,791.0,792.0,798.0,844.0,855.0,831.0,841.0,886.0,906.0,901.0,906.0,937.0
unmatched_applicants,946.0,595.0,579.0,567.0,564.0,564.0,564.0,564.0,564.0,564.0,569.0,583.0,578.0,590.0,602.0,613.0,629.0,649.0,653.0,677.0,716.0,717.0,705.0,726.0,747.0,752.0,753.0,757.0,793.0,786.0,794.0,792.0,834.0,850.0,845.0,851.0,912.0,894.0,914.0,897.0,958.0
unmatched_applicants,958.0,587.0,570.0,569.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,568.0,570.0,587.0,605.0,614.0,623.0,669.0,669.0,670.0,678.0,708.0,713.0,717.0,749.0,748.0,756.0,766.0,808.0,806.0,800.0,796.0,831.0,837.0,840.0,837.0,878.0,883.0,904.0,877.0,964.0
unmatched_applicants,936.0,590.0,573.0,572.0,564.0,564.0,564.0,564.0,564.0,564.0,566.0,567.0,576.0,594.0,597.0,608.0,631.0,660.0,669.0,666.0,691.0,704.0,716.0,720.0,752.0,760.0,768.0,755.0,795.0,789.0,791.0,800.0,851.0,826.0,831.0,848.0,906.0,880.0,895.0,906.0,936.0
unmatched_applicants,946.0,598.0,571.0,571.0,564.0,564.0,564.0,564.0,564.0,564.0,574.0,569.0,575.0,582.0,595.0,625.0,633.0,652.0,659.0,677.0,697.0,696.0,720.0,717.0,751.0,737.0,758.0,757.0,784.0,790.0,805.0,809.0,828.0,860.0,851.0,856.0,891.0,907.0,912.0,906.0,941.0
unmatched_applicants,955.0,588.0,572.0,566.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,575.0,568.0,596.0,612.0,624.0,630.0,642.0,666.0,675.0,696.0,701.0,717.0,720.0,745.0,746.0,767.0,757.0,798.0,790.0,792.0,808.0,847.0,835.0,846.0,834.0,872.0,891.0,887.0,902.0,940.0
unfilled_spots,399.0,39.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,30.0,37.0,54.0,60.0,77.0,96.0,101.0,132.0,153.0,141.0,161.0,185.0,200.0,202.0,195.0,231.0,222.0,234.0,251.0,279.0,286.0,274.0,270.0,324.0,321.0,312.0,332.0,387.0
unfilled_spots,421.0,31.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,30.0,39.0,51.0,61.0,82.0,95.0,108.0,138.0,132.0,145.0,160.0,188.0,195.0,203.0,188.0,224.0,218.0,236.0,230.0,284.0,280.0,270.0,276.0,320.0,340.0,314.0,328.0,402.0
unfilled_spots,393.0,26.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,8.0,20.0,30.0,60.0,68.0,84.0,99.0,116.0,116.0,144.0,148.0,172.0,174.0,187.0,199.0,189.0,237.0,240.0,230.0,230.0,279.0,280.0,268.0,291.0,341.0,341.0,323.0,325.0,383.0
unfilled_spots,392.0,36.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,16.0,34.0,45.0,74.0,82.0,98.0,99.0,140.0,138.0,147.0,157.0,180.0,181.0,203.0,202.0,228.0,234.0,226.0,233.0,280.0,270.0,276.0,277.0,321.0,345.0,334.0,315.0,386.0
unfilled_spots,391.0,23.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,28.0,42.0,54.0,58.0,100.0,104.0,114.0,131.0,137.0,138.0,163.0,181.0,179.0,192.0,201.0,231.0,227.0,228.0,234.0,280.0,291.0,267.0,277.0,322.0,342.0,337.0,342.0,373.0
unfilled_spots,382.0,31.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,14.0,26.0,38.0,49.0,65.0,85.0,89.0,113.0,152.0,153.0,141.0,162.0,183.0,188.0,189.0,193.0,229.0,222.0,230.0,228.0,270.0,286.0,281.0,287.0,348.0,330.0,350.0,333.0,394.0
unfilled_spots,394.0,23.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,23.0,41.0,50.0,59.0,105.0,105.0,106.0,114.0,144.0,149.0,153.0,185.0,184.0,192.0,202.0,244.0,242.0,236.0,232.0,267.0,273.0,276.0,273.0,314.0,319.0,340.0,313.0,400.0
unfilled_spots,372.0,26.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,30.0,33.0,44.0,67.0,96.0,105.0,102.0,127.0,140.0,152.0,156.0,188.0,196.0,204.0,191.0,231.0,225.0,227.0,236.0,287.0,262.0,267.0,284.0,342.0,316.0,331.0,342.0,372.0
unfilled_spots,382.0,34.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,11.0,18.0,31.0,61.0,69.0,88.0,95.0,113.0,133.0,132.0,156.0,153.0,187.0,173.0,194.0,193.0,220.0,226.0,241.0,245.0,264.0,296.0,287.0,292.0,327.0,343.0,348.0,342.0,377.0
unfilled_spots,391.0,24.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,32.0,48.0,60.0,66.0,78.0,102.0,111.0,132.0,137.0,153.0,156.0,181.0,182.0,203.0,193.0,234.0,226.0,228.0,244.0,283.0,271.0,282.0,270.0,308.0,327.0,323.0,338.0,376.0
reviews_per_program,298.95254237288134,298.95254237288134,298.95254237288134,298.95254237288134,298.95254237288134,298.1322033898305,268.2135593220339,201.02033898305083,128.5457627118644,87.48474576271187,75.23728813559322,80.97966101694915,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746,145.83050847457628,153.1220338983051,160.4135593220339,167.70508474576272,174.99661016949153,182.28813559322035,189.57966101694916,196.87118644067797,204.1627118644068,211.4542372881356,218.74576271186442,226.03728813559323,233.32881355932204,240.62033898305086,247.91186440677967,255.20338983050848,262.4949152542373,269.7864406779661,277.0779661016949,284.3694915254237,291.66101694915255
