Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1039.0,678.0,664.0,661.0,661.0,661.0,661.0,671.0,667.0,680.0,691.0,697.0,707.0,721.0,727.0,728.0,755.0,756.0,753.0,770.0,789.0,800.0,808.0,812.0,843.0,863.0,827.0,848.0,899.0,905.0,905.0,899.0,947.0,939.0,943.0,951.0,986.0,994.0,986.0,976.0,1034.0
unmatched_applicants,1037.0,677.0,666.0,661.0,661.0,661.0,661.0,666.0,666.0,678.0,695.0,699.0,709.0,707.0,723.0,730.0,751.0,755.0,776.0,769.0,806.0,801.0,802.0,820.0,839.0,843.0,862.0,857.0,888.0,894.0,904.0,903.0,952.0,915.0,942.0,952.0,987.0,997.0,980.0,1000.0,1016.0
unmatched_applicants,1020.0,676.0,663.0,661.0,661.0,661.0,661.0,663.0,665.0,675.0,685.0,701.0,707.0,710.0,735.0,740.0,743.0,760.0,752.0,777.0,811.0,804.0,807.0,809.0,841.0,841.0,859.0,855.0,892.0,900.0,906.0,890.0,932.0,939.0,922.0,946.0,994.0,998.0,982.0,979.0,1032.0
unmatched_applicants,1024.0,675.0,662.0,661.0,661.0,661.0,661.0,664.0,666.0,678.0,692.0,696.0,708.0,722.0,723.0,741.0,755.0,763.0,765.0,773.0,795.0,819.0,812.0,811.0,843.0,844.0,838.0,849.0,901.0,896.0,889.0,878.0,934.0,946.0,939.0,950.0,992.0,985.0,979.0,990.0,1027.0
unmatched_applicants,1027.0,678.0,662.0,664.0,661.0,661.0,661.0,668.0,665.0,667.0,692.0,701.0,703.0,712.0,732.0,746.0,754.0,747.0,765.0,768.0,800.0,791.0,816.0,806.0,825.0,862.0,854.0,854.0,884.0,901.0,899.0,916.0,953.0,952.0,937.0,940.0,982.0,960.0,979.0,986.0,1036.0
unmatched_applicants,1033.0,679.0,663.0,663.0,661.0,661.0,661.0,672.0,663.0,682.0,693.0,700.0,705.0,720.0,723.0,734.0,749.0,756.0,772.0,769.0,796.0,812.0,812.0,803.0,835.0,851.0,853.0,845.0,889.0,888.0,899.0,906.0,940.0,952.0,945.0,933.0,995.0,1008.0,989.0,977.0,1032.0
unmatched_applicants,1032.0,675.0,662.0,663.0,661.0,661.0,662.0,668.0,669.0,673.0,683.0,694.0,702.0,721.0,731.0,731.0,748.0,750.0,763.0,770.0,800.0,802.0,808.0,813.0,849.0,841.0,849.0,837.0,892.0,888.0,884.0,891.0,943.0,939.0,931.0,938.0,966.0,992.0,994.0,995.0,1030.0
unmatched_applicants,1029.0,669.0,664.0,661.0,661.0,661.0,662.0,664.0,666.0,670.0,694.0,695.0,717.0,710.0,726.0,732.0,753.0,755.0,769.0,772.0,775.0,809.0,811.0,814.0,847.0,836.0,833.0,861.0,877.0,890.0,871.0,884.0,949.0,949.0,937.0,933.0,967.0,990.0,1003.0,987.0,1034.0
unmatched_applicants,1031.0,672.0,662.0,663.0,661.0,661.0,663.0,668.0,674.0,671.0,686.0,696.0,701.0,722.0,725.0,731.0,758.0,757.0,773.0,768.0,794.0,802.0,799.0,808.0,849.0,849.0,849.0,854.0,871.0,885.0,906.0,876.0,952.0,934.0,947.0,962.0,985.0,970.0,976.0,977.0,1041.0
unmatched_applicants,1005.0,672.0,667.0,661.0,661.0,661.0,661.0,668.0,663.0,676.0,681.0,701.0,703.0,710.0,726.0,731.0,747.0,760.0,761.0,765.0,798.0,804.0,805.0,800.0,843.0,849.0,846.0,868.0,886.0,892.0,891.0,911.0,945.0,930.0,936.0,946.0,1012.0,983.0,994.0,996.0,1042.0
unfilled_spots,378.0,17.0,3.0,0.0,0.0,0.0,0.0,10.0,6.0,19.0,30.0,36.0,46.0,60.0,66.0,67.0,94.0,95.0,92.0,109.0,128.0,139.0,147.0,151.0,182.0,202.0,166.0,187.0,238.0,244.0,244.0,238.0,286.0,278.0,282.0,290.0,325.0,333.0,325.0,315.0,373.0
unfilled_spots,376.0,16.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,17.0,34.0,38.0,48.0,46.0,62.0,69.0,90.0,94.0,115.0,108.0,145.0,140.0,141.0,159.0,178.0,182.0,201.0,196.0,227.0,233.0,243.0,242.0,291.0,254.0,281.0,291.0,326.0,336.0,319.0,339.0,355.0
