Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unmatched_applicants,297.0,274.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,274.0,274.0,274.0,275.0,276.0,279.0,283.0,280.0,281.0,283.0,288.0,289.0,288.0,289.0,292.0,293.0,291.0,296.0
unmatched_applicants,298.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,277.0,276.0,278.0,277.0,279.0,282.0,281.0,285.0,285.0,288.0,291.0,290.0,292.0,296.0,293.0,295.0
unmatched_applicants,297.0,275.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,279.0,274.0,278.0,279.0,282.0,284.0,286.0,284.0,288.0,288.0,290.0,290.0,294.0,296.0,295.0
unmatched_applicants,300.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,276.0,276.0,280.0,280.0,279.0,282.0,283.0,284.0,290.0,286.0,288.0,289.0,292.0,294.0,294.0
unmatched_applicants,300.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,274.0,277.0,277.0,277.0,280.0,281.0,281.0,284.0,284.0,285.0,288.0,288.0,290.0,295.0,291.0,297.0
unmatched_applicants,299.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,276.0,275.0,276.0,278.0,281.0,278.0,283.0,284.0,285.0,289.0,287.0,289.0,289.0,291.0,294.0,295.0
unmatched_applicants,297.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,275.0,276.0,278.0,278.0,277.0,282.0,282.0,281.0,285.0,286.0,286.0,288.0,290.0,296.0,290.0,293.0,295.0
unmatched_applicants,301.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,279.0,278.0,275.0,281.0,283.0,283.0,285.0,287.0,287.0,288.0,289.0,291.0,291.0,293.0,294.0
unmatched_applicants,302.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,274.0,275.0,278.0,278.0,280.0,278.0,280.0,281.0,287.0,286.0,288.0,290.0,289.0,288.0,294.0,293.0,296.0
unmatched_applicants,298.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,276.0,279.0,276.0,281.0,281.0,281.0,283.0,286.0,288.0,287.0,292.0,292.0,293.0,291.0,294.0
