Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unmatched_applicants,328.0,275.0,276.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,280.0,275.0,285.0,287.0,287.0,286.0,290.0,291.0,294.0,302.0,304.0,302.0,305.0,310.0,309.0,308.0,312.0,315.0,317.0,313.0,318.0,325.0,323.0,325.0
unmatched_applicants,334.0,277.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,275.0,277.0,280.0,279.0,277.0,283.0,285.0,288.0,287.0,294.0,292.0,295.0,297.0,298.0,301.0,302.0,308.0,308.0,308.0,313.0,317.0,314.0,316.0,317.0,321.0,324.0,321.0
unmatched_applicants,332.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,275.0,279.0,280.0,276.0,285.0,281.0,288.0,292.0,293.0,291.0,294.0,295.0,303.0,301.0,307.0,310.0,313.0,306.0,310.0,316.0,318.0,317.0,314.0,322.0,328.0,326.0
unmatched_applicants,337.0,278.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,277.0,278.0,278.0,283.0,280.0,282.0,288.0,290.0,289.0,290.0,294.0,298.0,300.0,299.0,302.0,309.0,311.0,308.0,312.0,311.0,317.0,319.0,320.0,324.0,323.0,322.0
unmatched_applicants,332.0,276.0,276.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,276.0,277.0,279.0,281.0,282.0,284.0,287.0,290.0,291.0,295.0,296.0,299.0,303.0,302.0,306.0,304.0,311.0,310.0,307.0,311.0,320.0,317.0,312.0,323.0,322.0,331.0
unmatched_applicants,335.0,274.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,276.0,276.0,279.0,279.0,279.0,280.0,284.0,289.0,286.0,292.0,291.0,297.0,304.0,302.0,303.0,305.0,305.0,312.0,310.0,311.0,315.0,316.0,321.0,318.0,328.0,325.0,325.0
unmatched_applicants,332.0,277.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,276.0,282.0,282.0,284.0,287.0,285.0,291.0,294.0,293.0,294.0,295.0,299.0,303.0,307.0,308.0,310.0,306.0,316.0,311.0,319.0,321.0,322.0,321.0,325.0,325.0
unmatched_applicants,335.0,277.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,276.0,280.0,282.0,281.0,284.0,291.0,290.0,289.0,291.0,294.0,297.0,301.0,302.0,306.0,307.0,311.0,307.0,310.0,316.0,316.0,314.0,317.0,325.0,322.0,324.0
unmatched_applicants,335.0,276.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,276.0,274.0,276.0,283.0,279.0,279.0,284.0,288.0,291.0,289.0,293.0,295.0,295.0,301.0,300.0,307.0,305.0,310.0,311.0,308.0,317.0,317.0,320.0,319.0,316.0,321.0,323.0
unmatched_applicants,332.0,276.0,274.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,275.0,274.0,277.0,281.0,277.0,283.0,288.0,289.0,287.0,290.0,290.0,295.0,297.0,298.0,302.0,303.0,307.0,305.0,312.0,306.0,314.0,321.0,315.0,321.0,324.0,325.0,326.0
unfilled_spots,54.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,11.0,13.0,13.0,12.0,16.0,17.0,20.0,28.0,30.0,28.0,31.0,36.0,35.0,34.0,38.0,41.0,43.0,39.0,44.0,51.0,49.0,51.0
