Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
unmatched_applicants,1757.0,1016.0,1012.0,999.0,998.0,998.0,998.0,1004.0,1000.0,1025.0,1087.0,1129.0,1159.0,1218.0,1236.0,1264.0,1341.0,1345.0,1379.0,1394.0,1481.0,1450.0,1472.0,1489.0,1574.0,1592.0,1581.0,1611.0,1741.0
unmatched_applicants,1756.0,1034.0,1015.0,1001.0,998.0,998.0,998.0,999.0,1002.0,1029.0,1071.0,1128.0,1157.0,1210.0,1246.0,1275.0,1337.0,1362.0,1366.0,1379.0,1440.0,1471.0,1467.0,1470.0,1569.0,1594.0,1579.0,1586.0,1770.0
unmatched_applicants,1727.0,1015.0,1021.0,1004.0,998.0,998.0,998.0,1000.0,998.0,1046.0,1079.0,1132.0,1142.0,1212.0,1249.0,1275.0,1325.0,1344.0,1375.0,1393.0,1465.0,1456.0,1468.0,1485.0,1589.0,1624.0,1585.0,1612.0,1737.0
unmatched_applicants,1737.0,1024.0,1027.0,998.0,998.0,998.0,998.0,1002.0,1000.0,1040.0,1084.0,1154.0,1170.0,1220.0,1246.0,1277.0,1334.0,1340.0,1379.0,1391.0,1449.0,1458.0,1470.0,1480.0,1577.0,1588.0,1586.0,1590.0,1772.0
unmatched_applicants,1770.0,1017.0,1037.0,1000.0,998.0,998.0,998.0,1016.0,998.0,1029.0,1085.0,1139.0,1152.0,1206.0,1237.0,1274.0,1345.0,1340.0,1368.0,1396.0,1453.0,1453.0,1474.0,1483.0,1573.0,1600.0,1584.0,1611.0,1772.0
unmatched_applicants,1803.0,1008.0,1007.0,1009.0,998.0,998.0,998.0,1001.0,998.0,1051.0,1058.0,1138.0,1173.0,1211.0,1262.0,1277.0,1330.0,1356.0,1363.0,1404.0,1469.0,1461.0,1470.0,1481.0,1571.0,1587.0,1597.0,1593.0,1730.0
unmatched_applicants,1760.0,1033.0,1018.0,1000.0,998.0,998.0,998.0,1001.0,1004.0,1041.0,1090.0,1152.0,1178.0,1212.0,1259.0,1276.0,1331.0,1360.0,1390.0,1367.0,1457.0,1477.0,1468.0,1479.0,1576.0,1605.0,1582.0,1607.0,1748.0
unmatched_applicants,1792.0,1017.0,1021.0,1004.0,998.0,998.0,998.0,1000.0,1006.0,1033.0,1076.0,1148.0,1163.0,1209.0,1233.0,1271.0,1320.0,1344.0,1378.0,1369.0,1471.0,1449.0,1469.0,1459.0,1580.0,1589.0,1605.0,1572.0,1768.0
unmatched_applicants,1786.0,1018.0,1020.0,1000.0,998.0,998.0,998.0,1000.0,1005.0,1045.0,1072.0,1156.0,1177.0,1192.0,1258.0,1269.0,1331.0,1355.0,1368.0,1401.0,1442.0,1464.0,1492.0,1486.0,1562.0,1582.0,1599.0,1568.0,1752.0
unmatched_applicants,1778.0,1014.0,1020.0,1003.0,998.0,998.0,998.0,999.0,998.0,1036.0,1077.0,1136.0,1163.0,1209.0,1238.0,1256.0,1341.0,1352.0,1373.0,1392.0,1445.0,1453.0,1476.0,1478.0,1573.0,1593.0,1596.0,1620.0,1782.0
unfilled_spots,759.0,18.0,14.0,1.0,0.0,0.0,0.0,6.0,2.0,27.0,89.0,131.0,161.0,220.0,238.0,266.0,343.0,347.0,381.0,396.0,483.0,452.0,474.0,491.0,576.0,594.0,583.0,613.0,743.0
unfilled_spots,758.0,36.0,17.0,3.0,0.0,0.0,0.0,1.0,4.0,31.0,73.0,130.0,159.0,212.0,248.0,277.0,339.0,364.0,368.0,381.0,442.0,473.0,469.0,472.0,571.0,596.0,581.0,588.0,772.0
unfilled_spots,729.0,17.0,23.0,6.0,0.0,0.0,0.0,2.0,0.0,48.0,81.0,134.0,144.0,214.0,251.0,277.0,327.0,346.0,377.0,395.0,467.0,458.0,470.0,487.0,591.0,626.0,587.0,614.0,739.0
unfilled_spots,739.0,26.0,29.0,0.0,0.0,0.0,0.0,4.0,2.0,42.0,86.0,156.0,172.0,222.0,248.0,279.0,336.0,342.0,381.0,393.0,451.0,460.0,472.0,482.0,579.0,590.0,588.0,592.0,774.0
unfilled_spots,772.0,19.0,39.0,2.0,0.0,0.0,0.0,18.0,0.0,31.0,87.0,141.0,154.0,208.0,239.0,276.0,347.0,342.0,370.0,398.0,455.0,455.0,476.0,485.0,575.0,602.0,586.0,613.0,774.0
unfilled_spots,805.0,10.0,9.0,11.0,0.0,0.0,0.0,3.0,0.0,53.0,60.0,140.0,175.0,213.0,264.0,279.0,332.0,358.0,365.0,406.0,471.0,463.0,472.0,483.0,573.0,589.0,599.0,595.0,732.0
unfilled_spots,762.0,35.0,20.0,2.0,0.0,0.0,0.0,3.0,6.0,43.0,92.0,154.0,180.0,214.0,261.0,278.0,333.0,362.0,392.0,369.0,459.0,479.0,470.0,481.0,578.0,607.0,584.0,609.0,750.0
unfilled_spots,794.0,19.0,23.0,6.0,0.0,0.0,0.0,2.0,8.0,35.0,78.0,150.0,165.0,211.0,235.0,273.0,322.0,346.0,380.0,371.0,473.0,451.0,471.0,461.0,582.0,591.0,607.0,574.0,770.0
unfilled_spots,788.0,20.0,22.0,2.0,0.0,0.0,0.0,2.0,7.0,47.0,74.0,158.0,179.0,194.0,260.0,271.0,333.0,357.0,370.0,403.0,444.0,466.0,494.0,488.0,564.0,584.0,601.0,570.0,754.0
