Parameter,0,1,2,3,4,5,6,7,8
unmatched_applicants,545.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,546.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,545.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unmatched_applicants,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,450.75,96.58333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,164.58333333333334,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,50.083333333333336,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,71.41666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,211.33333333333334,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,118.08333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,165.0,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,93.58333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,118.58333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,450.75,71.5,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
pct_interview_given_signal,0.0,0.8652246256239601,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.8585690515806988,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.8685524126455907,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.8668885191347754,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.848585690515807,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.8602329450915142,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.848585690515807,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.8502495840266223,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
pct_interview_given_signal,0.0,0.8502495840266223,0.43427620632279534,0.2895174708818636,0.21713810316139767,0.17371048252911814,0.1447587354409318,0.12407891609222724,0.10856905158069884
