Parameter,0,1,2,3,4,5
unmatched_applicants,547.0,542.0,542.0,542.0,542.0,543.0
unmatched_applicants,545.0,542.0,542.0,545.0,542.0,542.0
unmatched_applicants,546.0,542.0,542.0,542.0,542.0,544.0
unmatched_applicants,546.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,545.0,542.0,542.0,542.0,542.0,544.0
unmatched_applicants,547.0,542.0,542.0,542.0,542.0,544.0
unmatched_applicants,548.0,542.0,542.0,542.0,542.0,543.0
unmatched_applicants,546.0,542.0,542.0,542.0,542.0,546.0
unmatched_applicants,545.0,542.0,542.0,543.0,542.0,543.0
unmatched_applicants,544.0,542.0,542.0,542.0,542.0,544.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,1.0
unfilled_spots,3.0,0.0,0.0,3.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,2.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,2.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,2.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,1.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,4.0
unfilled_spots,3.0,0.0,0.0,1.0,0.0,1.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,2.0
reviews_per_program,85.30909090909091,82.69090909090909,33.472727272727276,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,78.94545454545455,33.70909090909091,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,82.98181818181818,32.89090909090909,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,82.8,35.836363636363636,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,82.85454545454546,34.127272727272725,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,84.10909090909091,33.8,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,82.69090909090909,34.07272727272727,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,79.41818181818182,35.836363636363636,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,82.92727272727272,31.545454545454547,42.654545454545456,56.872727272727275,71.0909090909091
reviews_per_program,85.30909090909091,78.72727272727273,33.345454545454544,42.654545454545456,56.872727272727275,71.0909090909091
pct_interview_given_signal,0.0,0.9974424552429667,0.760230179028133,0.5115089514066496,0.3836317135549872,0.3069053708439898
