Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,197.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,178.0,175.0,179.0,177.0,177.0,179.0,185.0,186.0,187.0,190.0,193.0,199.0,195.0
unmatched_applicants,197.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,175.0,176.0,176.0,179.0,176.0,179.0,179.0,181.0,183.0,179.0,184.0,188.0,187.0,193.0,198.0,200.0
unmatched_applicants,200.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,179.0,180.0,179.0,180.0,184.0,183.0,181.0,185.0,183.0,186.0,197.0,194.0,199.0
unmatched_applicants,202.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,179.0,179.0,180.0,177.0,177.0,181.0,179.0,185.0,183.0,183.0,185.0,189.0,194.0,194.0
unmatched_applicants,203.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,175.0,175.0,181.0,177.0,177.0,180.0,179.0,183.0,183.0,183.0,187.0,190.0,190.0,201.0,197.0
unmatched_applicants,193.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,176.0,177.0,176.0,177.0,178.0,181.0,176.0,186.0,181.0,183.0,193.0,187.0,191.0,198.0
unmatched_applicants,199.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,177.0,179.0,181.0,177.0,181.0,179.0,179.0,183.0,186.0,188.0,185.0,187.0,192.0,200.0
unmatched_applicants,200.0,176.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,178.0,183.0,179.0,179.0,184.0,183.0,180.0,183.0,181.0,187.0,185.0,195.0,187.0,190.0
unmatched_applicants,204.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,178.0,176.0,177.0,177.0,178.0,175.0,177.0,183.0,184.0,185.0,185.0,187.0,189.0,197.0,196.0
unmatched_applicants,195.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,179.0,175.0,176.0,177.0,178.0,181.0,183.0,184.0,184.0,185.0,181.0,188.0,187.0,191.0,193.0,195.0
