Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,256.0,175.0,176.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,176.0,177.0,179.0,179.0,180.0,182.0,185.0,184.0,188.0,190.0,187.0,190.0,192.0,191.0,192.0,199.0,198.0,201.0,204.0,211.0,210.0,219.0,218.0,230.0,225.0,236.0,233.0,238.0
unmatched_applicants,252.0,175.0,176.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,176.0,178.0,175.0,182.0,181.0,182.0,188.0,182.0,185.0,185.0,193.0,189.0,192.0,198.0,190.0,196.0,202.0,208.0,207.0,210.0,219.0,220.0,224.0,227.0,234.0,233.0,235.0
unmatched_applicants,259.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,177.0,178.0,179.0,181.0,182.0,182.0,186.0,183.0,187.0,187.0,184.0,191.0,189.0,195.0,191.0,196.0,196.0,206.0,205.0,208.0,212.0,224.0,230.0,222.0,230.0,228.0,233.0,237.0
unmatched_applicants,251.0,179.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,177.0,175.0,175.0,177.0,180.0,181.0,183.0,182.0,182.0,186.0,187.0,193.0,191.0,194.0,194.0,193.0,192.0,197.0,200.0,207.0,213.0,214.0,213.0,219.0,228.0,231.0,233.0,238.0,241.0
unmatched_applicants,252.0,177.0,175.0,176.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,176.0,179.0,181.0,181.0,184.0,185.0,185.0,185.0,188.0,187.0,193.0,189.0,196.0,191.0,201.0,203.0,205.0,205.0,211.0,216.0,218.0,219.0,225.0,228.0,233.0,233.0,232.0
unmatched_applicants,253.0,177.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,177.0,180.0,182.0,185.0,184.0,185.0,183.0,186.0,186.0,188.0,187.0,192.0,194.0,201.0,197.0,199.0,208.0,210.0,214.0,215.0,223.0,234.0,230.0,235.0,233.0,232.0
unmatched_applicants,251.0,184.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,175.0,178.0,177.0,180.0,178.0,182.0,182.0,185.0,183.0,184.0,192.0,188.0,191.0,194.0,191.0,193.0,196.0,201.0,199.0,202.0,208.0,210.0,216.0,219.0,221.0,228.0,232.0,231.0,241.0
unmatched_applicants,256.0,178.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,177.0,177.0,176.0,178.0,179.0,186.0,182.0,185.0,181.0,187.0,190.0,191.0,188.0,193.0,189.0,198.0,196.0,207.0,204.0,211.0,214.0,219.0,217.0,222.0,224.0,226.0,236.0,235.0
unmatched_applicants,252.0,178.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,180.0,179.0,178.0,181.0,182.0,184.0,180.0,187.0,185.0,188.0,193.0,186.0,195.0,196.0,192.0,197.0,205.0,205.0,207.0,215.0,214.0,222.0,224.0,227.0,233.0,234.0,234.0
unmatched_applicants,254.0,182.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,177.0,176.0,179.0,180.0,182.0,182.0,180.0,187.0,188.0,189.0,190.0,192.0,189.0,191.0,198.0,194.0,197.0,198.0,209.0,201.0,210.0,217.0,220.0,226.0,223.0,230.0,234.0,237.0
