Parameter,0,1,2,3,4,5,6,7,8,9,10,11
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.23267326732673,97.20544554455445,96.81188118811882
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.23019801980197,97.1930693069307,96.85891089108911
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.29207920792079,97.02970297029702,96.84158415841584
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.2871287128713,97.01237623762377,96.82425742574257
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.25990099009901,97.0519801980198,96.71782178217822
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.0519801980198,96.83910891089108
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.31188118811882,97.22277227722772,96.82178217821782
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.30940594059406,97.0569306930693,96.87871287128714
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.04950495049505,96.80445544554455
reviews_per_program,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.36633663366337,97.3069306930693,97.10891089108911,96.68564356435644
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997288319435971,0.9996949359365467,0.9961173664651395
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997627279506475,0.9995118974984747,0.9954517721448777
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990543014032947,0.9962005657551722
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999322079858992,0.9995729103111654,0.9955349714349104
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998983119788489,0.9982001220256254,0.9957013700149758
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999267846247712,0.995756836208331
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999450884685784,0.9976426867824061
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999661039929496,0.9985967053081147,0.9948971102113262
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987187309334961,0.9948693771146486
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998644159717985,0.9990237949969494,0.9953131066614899
pct_interview_given_nosignal,0.9872889973561114,0.9831105441233569,0.9846247712019525,0.978814995593519,0.978111653447224,0.975594874923734,0.9705613178767541,0.9619890176937157,0.9559182428309945,0.9439699003457392,0.9310555216595485,0.87522879804759
pct_interview_given_nosignal,0.9855857230018303,0.9845803982472683,0.9819707138499085,0.9809504440376924,0.9773871262965222,0.977033034080014,0.9742729306487695,0.9684563758389262,0.9618669920683344,0.9486475493186902,0.9243441122635754,0.8746186699206834
pct_interview_given_nosignal,0.986780557250356,0.9836374729602307,0.9802623550945698,0.9833570605382685,0.9792937766931056,0.9739823934454807,0.9701037217815741,0.9607077486272118,0.9604179377669311,0.9400040675208461,0.9241915802318487,0.8868212324588164
pct_interview_given_nosignal,0.9869330892820826,0.9859393199844695,0.9831604636973764,0.9814927801504982,0.9810860280658938,0.9730236206746273,0.9731035184055318,0.9601586333129958,0.9569859670530811,0.9435631482611349,0.9215985356924954,0.8999389871873094
pct_interview_given_nosignal,0.9847467968273338,0.9859115868877919,0.9811165344722391,0.980374211917836,0.977196461256864,0.9773380981434673,0.9735611145007118,0.9622330689444784,0.9465375228798047,0.938071995118975,0.9180902989627822,0.8581452104942038
pct_interview_given_nosignal,0.9866280252186292,0.9838593377336513,0.9837400854179378,0.9807131719883397,0.9754042098840756,0.9708445916499607,0.970002033760423,0.9683343502135449,0.9582062233068944,0.9438682123245882,0.9275472849298353,0.8776693105552166
pct_interview_given_nosignal,0.9851281269066504,0.9841644017971046,0.9833740085417938,0.9816961561928005,0.9826113483831604,0.9730236206746273,0.9741203986170429,0.9696766320927395,0.9582824893227577,0.9442749644091926,0.9255643685173887,0.8715680292861501
pct_interview_given_nosignal,0.9840858246898515,0.9815020245160575,0.9845332519829164,0.9821029082774049,0.9813529591214155,0.977033034080014,0.9678665853162497,0.963575350823673,0.9536302623550945,0.9379703070978239,0.9286150091519219,0.8785845027455765
pct_interview_given_nosignal,0.9863738051657515,0.9868267790781519,0.9849298352654058,0.9811199240729442,0.9815436241610739,0.9765536476945873,0.9752389668497051,0.966320927394753,0.9566046369737645,0.9387838112670327,0.911836485661989,0.8785845027455765
pct_interview_given_nosignal,0.9858145210494204,0.9856897221143713,0.9837095790115924,0.9808826520235916,0.9788743136058572,0.976117841889654,0.9730526743949562,0.9664429530201343,0.9618669920683344,0.9495627415090502,0.9333435021354485,0.8618059792556437
pct_interview_given_application,0.9872889973561114,0.9845179987797438,0.9871873093349604,0.9841112466951393,0.985407768964816,0.9857636770388448,0.985280658938377,0.9841620907057149,0.9853060809436648,0.9857890990441326,0.988255033557047,0.9860433190970104
pct_interview_given_application,0.9855857230018303,0.9858653650599959,0.9849755948749237,0.9857128330282693,0.9849247508643482,0.9866026032133415,0.9871364653243848,0.9868568232662193,0.9872889973561114,0.9869839332926581,0.9869839332926581,0.9853823469595282
pct_interview_given_application,0.986780557250356,0.9850010168802115,0.9835519625788082,0.9875177954037014,0.9861958511287371,0.9848230628431971,0.9850518608907871,0.9836282285946716,0.9868059792556437,0.9850010168802115,0.9865771812080537,0.9870856213138093
pct_interview_given_application,0.9869330892820826,0.987111043319097,0.9859670530811471,0.9861195851128737,0.9873906853772626,0.984263778726866,0.9865517592027659,0.9833994305470816,0.9856619890176938,0.9858399430547081,0.9865771812080537,0.987568639414277
pct_interview_given_application,0.9847467968273338,0.9870856213138093,0.984263778726866,0.985280658938377,0.9847976408379093,0.986780557250356,0.986780557250356,0.984263778726866,0.9821791742932683,0.9844417327638804,0.9848484848484849,0.9842383567215782
pct_interview_given_application,0.9866280252186292,0.9852043929225137,0.9864500711816148,0.9855348789912548,0.9836028065893838,0.9829926784624771,0.9850010168802115,0.9868059792556437,0.9860687411022981,0.9859670530811471,0.9873144193613992,0.9859162090705715
pct_interview_given_application,0.9851281269066504,0.9854840349806793,0.9861450071181614,0.9862721171446004,0.9884075655887736,0.984263778726866,0.9870601993085214,0.9873652633719748,0.9860941631075859,0.9860687411022981,0.9871364653243848,0.9871364653243848
pct_interview_given_application,0.9840858246898515,0.9830435224730527,0.987111043319097,0.9865771812080537,0.987568639414277,0.9866026032133415,0.9839332926581249,0.9848230628431971,0.9845434207850315,0.9844671547691682,0.9869330892820826,0.9852043929225137
pct_interview_given_application,0.9863738051657515,0.9879245474883058,0.9874415293878381,0.9858399430547081,0.9876957494407159,0.9863229611551759,0.9876194834248525,0.9859670530811471,0.9855348789912548,0.9846959528167581,0.9842383567215782,0.985178970917226
pct_interview_given_application,0.9858145210494204,0.986882245271507,0.986424649176327,0.9856619890176938,0.9859162090705715,0.9860687411022981,0.9865263371974782,0.9860178970917226,0.9872889973561114,0.9872889973561114,0.9880770795200325,0.9841875127110027
pct_of_app_match_via_signal_given_matched,0.0,0.9438860971524288,0.9840871021775545,0.9958123953098827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9493299832495813,0.9819932998324958,0.9953936348408711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9463986599664992,0.9882747068676717,0.9941373534338358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9468174204355109,0.9840871021775545,0.9945561139028476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9434673366834171,0.9845058626465661,0.9953936348408711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9355108877721943,0.9903685092127303,0.9962311557788944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9447236180904522,0.9857621440536013,0.9974874371859297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.948073701842546,0.9878559463986599,0.9987437185929648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.949748743718593,0.9912060301507538,0.9945561139028476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9543551088777219,0.983249581239531,0.9970686767169179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
