Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unmatched_applicants,971.0,894.0,891.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,890.0,894.0,890.0,897.0,924.0,945.0,936.0,937.0
unmatched_applicants,973.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,898.0,900.0,895.0,906.0,920.0,931.0,943.0
unmatched_applicants,968.0,894.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,891.0,904.0,916.0,922.0,942.0,953.0
unmatched_applicants,983.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,894.0,892.0,903.0,911.0,931.0,923.0,934.0
unmatched_applicants,960.0,893.0,891.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,894.0,890.0,912.0,938.0,926.0,962.0
unmatched_applicants,968.0,891.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,893.0,892.0,901.0,918.0,925.0,944.0,951.0
unmatched_applicants,972.0,892.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,894.0,893.0,899.0,903.0,934.0,938.0,959.0
unmatched_applicants,968.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,899.0,890.0,907.0,917.0,937.0,932.0,945.0
unmatched_applicants,980.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,894.0,893.0,900.0,912.0,939.0,933.0,947.0
unmatched_applicants,975.0,892.0,891.0,890.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,890.0,891.0,897.0,908.0,934.0,932.0,951.0
unfilled_spots,81.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,34.0,55.0,46.0,47.0
unfilled_spots,83.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,5.0,16.0,30.0,41.0,53.0
unfilled_spots,78.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,26.0,32.0,52.0,63.0
