Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,2105.0,994.0,926.0,900.0,890.0,902.0,931.0,984.0,1001.0,1049.0,1082.0,1121.0,1162.0,1197.0,1222.0,1232.0,1335.0,1332.0,1345.0,1354.0,1501.0,1479.0,1508.0,1509.0,1675.0,1678.0,1659.0,1692.0,1850.0,1832.0,1853.0,1833.0,1969.0,1963.0,1979.0,1982.0
unmatched_applicants,2104.0,1011.0,922.0,899.0,890.0,894.0,937.0,976.0,989.0,1046.0,1083.0,1140.0,1164.0,1215.0,1210.0,1232.0,1328.0,1340.0,1346.0,1340.0,1516.0,1500.0,1485.0,1507.0,1677.0,1685.0,1683.0,1696.0,1848.0,1843.0,1829.0,1835.0,1975.0,1967.0,1959.0,1987.0
unmatched_applicants,2089.0,992.0,928.0,902.0,892.0,910.0,934.0,966.0,986.0,1040.0,1084.0,1124.0,1167.0,1186.0,1212.0,1214.0,1325.0,1344.0,1326.0,1330.0,1516.0,1494.0,1509.0,1498.0,1684.0,1682.0,1680.0,1703.0,1832.0,1861.0,1853.0,1842.0,1964.0,1978.0,1973.0,1983.0
unmatched_applicants,2094.0,988.0,933.0,899.0,890.0,902.0,921.0,985.0,1005.0,1045.0,1071.0,1124.0,1171.0,1194.0,1216.0,1223.0,1311.0,1308.0,1336.0,1345.0,1497.0,1486.0,1528.0,1526.0,1690.0,1712.0,1667.0,1656.0,1826.0,1828.0,1847.0,1837.0,1976.0,1977.0,1963.0,1960.0
unmatched_applicants,2093.0,990.0,919.0,900.0,890.0,899.0,917.0,960.0,987.0,1043.0,1082.0,1125.0,1171.0,1202.0,1212.0,1236.0,1328.0,1337.0,1347.0,1350.0,1504.0,1488.0,1521.0,1513.0,1688.0,1684.0,1699.0,1698.0,1841.0,1839.0,1830.0,1832.0,1986.0,1984.0,1967.0,1977.0
unmatched_applicants,2081.0,994.0,929.0,905.0,890.0,901.0,920.0,981.0,1009.0,1053.0,1075.0,1101.0,1179.0,1201.0,1207.0,1221.0,1335.0,1337.0,1355.0,1331.0,1521.0,1536.0,1510.0,1489.0,1680.0,1658.0,1691.0,1687.0,1829.0,1847.0,1854.0,1845.0,1958.0,1979.0,1981.0,1979.0
unmatched_applicants,2078.0,993.0,930.0,898.0,892.0,910.0,942.0,990.0,997.0,1047.0,1072.0,1111.0,1179.0,1191.0,1212.0,1233.0,1337.0,1344.0,1320.0,1341.0,1504.0,1478.0,1507.0,1519.0,1699.0,1664.0,1650.0,1686.0,1843.0,1828.0,1861.0,1834.0,1976.0,1985.0,1970.0,1994.0
unmatched_applicants,2112.0,988.0,921.0,904.0,890.0,894.0,934.0,971.0,996.0,1050.0,1074.0,1126.0,1174.0,1183.0,1201.0,1228.0,1321.0,1353.0,1328.0,1337.0,1522.0,1505.0,1501.0,1512.0,1675.0,1665.0,1699.0,1672.0,1831.0,1850.0,1865.0,1841.0,1988.0,1965.0,1978.0,1975.0
unmatched_applicants,2082.0,988.0,932.0,902.0,890.0,902.0,926.0,970.0,996.0,1051.0,1090.0,1124.0,1172.0,1175.0,1204.0,1219.0,1327.0,1338.0,1337.0,1337.0,1510.0,1506.0,1507.0,1515.0,1682.0,1662.0,1682.0,1692.0,1827.0,1856.0,1859.0,1847.0,1994.0,1985.0,1983.0,1968.0
unmatched_applicants,2108.0,974.0,926.0,894.0,890.0,893.0,928.0,969.0,987.0,1030.0,1078.0,1114.0,1174.0,1200.0,1208.0,1222.0,1329.0,1327.0,1359.0,1342.0,1513.0,1506.0,1501.0,1502.0,1686.0,1688.0,1683.0,1684.0,1834.0,1849.0,1860.0,1849.0,1966.0,1981.0,1970.0,1970.0
