Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1579.0,920.0,915.0,897.0,890.0,890.0,890.0,890.0,890.0,892.0,902.0,898.0,906.0,927.0,926.0,971.0,986.0,999.0,1050.0,1059.0,1096.0,1109.0,1121.0,1127.0,1162.0,1175.0,1195.0,1194.0,1221.0,1237.0,1239.0,1256.0,1295.0,1300.0,1311.0,1332.0,1391.0,1413.0,1392.0,1397.0,1485.0
unmatched_applicants,1600.0,932.0,913.0,903.0,890.0,890.0,890.0,890.0,890.0,890.0,900.0,903.0,902.0,929.0,941.0,973.0,985.0,1024.0,1039.0,1057.0,1099.0,1100.0,1115.0,1118.0,1160.0,1192.0,1191.0,1194.0,1234.0,1240.0,1228.0,1252.0,1301.0,1295.0,1307.0,1307.0,1406.0,1373.0,1391.0,1427.0,1467.0
unmatched_applicants,1569.0,936.0,905.0,893.0,890.0,890.0,890.0,890.0,891.0,890.0,895.0,900.0,898.0,925.0,947.0,973.0,999.0,1007.0,1050.0,1052.0,1080.0,1109.0,1113.0,1122.0,1165.0,1167.0,1188.0,1195.0,1242.0,1234.0,1233.0,1238.0,1305.0,1320.0,1318.0,1333.0,1399.0,1391.0,1377.0,1389.0,1484.0
unmatched_applicants,1602.0,928.0,908.0,901.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,900.0,908.0,923.0,952.0,962.0,983.0,1017.0,1039.0,1063.0,1090.0,1101.0,1125.0,1139.0,1159.0,1174.0,1176.0,1190.0,1249.0,1241.0,1250.0,1258.0,1322.0,1303.0,1288.0,1304.0,1401.0,1381.0,1393.0,1401.0,1476.0
unmatched_applicants,1579.0,921.0,914.0,898.0,890.0,890.0,890.0,890.0,890.0,891.0,895.0,899.0,914.0,917.0,951.0,979.0,986.0,1024.0,1037.0,1059.0,1076.0,1092.0,1118.0,1139.0,1168.0,1177.0,1181.0,1188.0,1249.0,1227.0,1243.0,1260.0,1307.0,1318.0,1320.0,1312.0,1385.0,1384.0,1387.0,1408.0,1456.0
unmatched_applicants,1572.0,930.0,904.0,899.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,898.0,900.0,925.0,940.0,964.0,1001.0,1008.0,1031.0,1050.0,1084.0,1112.0,1116.0,1137.0,1165.0,1190.0,1181.0,1192.0,1219.0,1244.0,1249.0,1251.0,1306.0,1297.0,1310.0,1313.0,1388.0,1396.0,1398.0,1395.0,1456.0
unmatched_applicants,1571.0,940.0,915.0,900.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,898.0,899.0,910.0,971.0,972.0,972.0,1013.0,1035.0,1047.0,1102.0,1115.0,1123.0,1125.0,1160.0,1177.0,1187.0,1188.0,1235.0,1244.0,1245.0,1235.0,1304.0,1298.0,1317.0,1327.0,1364.0,1388.0,1402.0,1383.0,1475.0
unmatched_applicants,1576.0,934.0,910.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,905.0,910.0,915.0,956.0,962.0,986.0,1008.0,1036.0,1053.0,1077.0,1102.0,1115.0,1126.0,1159.0,1165.0,1189.0,1193.0,1225.0,1238.0,1238.0,1266.0,1319.0,1314.0,1308.0,1311.0,1413.0,1387.0,1384.0,1398.0,1488.0
unmatched_applicants,1595.0,913.0,913.0,899.0,890.0,890.0,890.0,890.0,890.0,890.0,895.0,898.0,901.0,924.0,944.0,984.0,989.0,1023.0,1059.0,1061.0,1096.0,1100.0,1106.0,1120.0,1168.0,1184.0,1187.0,1194.0,1247.0,1250.0,1253.0,1257.0,1299.0,1314.0,1317.0,1334.0,1382.0,1389.0,1393.0,1373.0,1461.0
unmatched_applicants,1579.0,926.0,904.0,898.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,893.0,900.0,923.0,953.0,965.0,993.0,1016.0,1048.0,1061.0,1074.0,1088.0,1108.0,1136.0,1174.0,1166.0,1184.0,1194.0,1239.0,1238.0,1244.0,1249.0,1315.0,1316.0,1317.0,1311.0,1392.0,1383.0,1388.0,1407.0,1497.0
unfilled_spots,689.0,30.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,8.0,16.0,37.0,36.0,81.0,96.0,109.0,160.0,169.0,206.0,219.0,231.0,237.0,272.0,285.0,305.0,304.0,331.0,347.0,349.0,366.0,405.0,410.0,421.0,442.0,501.0,523.0,502.0,507.0,595.0
