Parameter,0,1,2,3,4,5,6,7,8
unmatched_applicants,905.0,891.0,890.0,890.0,890.0,890.0,891.0,891.0,890.0
unmatched_applicants,897.0,890.0,892.0,890.0,890.0,890.0,890.0,892.0,892.0
unmatched_applicants,895.0,890.0,890.0,891.0,890.0,890.0,890.0,892.0,890.0
unmatched_applicants,896.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,894.0
unmatched_applicants,901.0,891.0,893.0,892.0,890.0,890.0,890.0,890.0,893.0
unmatched_applicants,898.0,890.0,893.0,891.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,898.0,890.0,892.0,890.0,890.0,890.0,890.0,891.0,892.0
unmatched_applicants,900.0,890.0,892.0,892.0,890.0,890.0,890.0,890.0,895.0
unmatched_applicants,902.0,890.0,892.0,890.0,890.0,890.0,890.0,890.0,891.0
unmatched_applicants,892.0,890.0,892.0,895.0,890.0,890.0,890.0,895.0,890.0
unfilled_spots,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
unfilled_spots,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
unfilled_spots,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
unfilled_spots,11.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0
unfilled_spots,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
unfilled_spots,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
unfilled_spots,2.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.44059405940594,67.52970297029702,58.34405940594059,58.396039603960396,64.99257425742574
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.51732673267327,67.96039603960396,58.68069306930693,58.23267326732673,64.98019801980197
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,67.2128712871287,57.995049504950494,58.24009900990099,64.94059405940594
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.22029702970298,67.01980198019803,58.40841584158416,57.995049504950494,64.98267326732673
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.50247524752476,66.87128712871286,58.85891089108911,58.47029702970297,65.01732673267327
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.77970297029702,67.61633663366337,58.66831683168317,58.198019801980195,65.03960396039604
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,71.96534653465346,67.42574257425743,58.06930693069307,58.15841584158416,65.10643564356435
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.5049504950495,67.71782178217822,58.39108910891089,58.28465346534654,64.98267326732673
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.5,67.83415841584159,59.39108910891089,58.351485148514854,65.03217821782178
