Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unmatched_applicants,1027.0,957.0,957.0,957.0,957.0,957.0,960.0,963.0,961.0,965.0,972.0,971.0,981.0,988.0,997.0,998.0,1004.0,1007.0,1007.0,1005.0,1010.0,1016.0
unmatched_applicants,1030.0,957.0,957.0,957.0,957.0,957.0,959.0,960.0,964.0,966.0,970.0,969.0,981.0,984.0,992.0,998.0,1003.0,1007.0,1006.0,1005.0,1007.0,1018.0
unmatched_applicants,1029.0,957.0,957.0,957.0,957.0,957.0,961.0,963.0,961.0,966.0,971.0,972.0,979.0,985.0,991.0,996.0,999.0,1005.0,1004.0,1006.0,1012.0,1020.0
unmatched_applicants,1024.0,957.0,957.0,959.0,957.0,959.0,961.0,960.0,961.0,968.0,969.0,975.0,977.0,987.0,993.0,999.0,1000.0,1007.0,1005.0,1004.0,1008.0,1015.0
unmatched_applicants,1028.0,957.0,957.0,957.0,957.0,957.0,961.0,963.0,964.0,967.0,966.0,974.0,977.0,985.0,992.0,998.0,1002.0,1004.0,1008.0,1005.0,1013.0,1021.0
unmatched_applicants,1025.0,957.0,957.0,957.0,957.0,957.0,959.0,961.0,963.0,964.0,970.0,968.0,982.0,986.0,991.0,999.0,1001.0,1006.0,1007.0,1004.0,1011.0,1020.0
unmatched_applicants,1027.0,957.0,957.0,957.0,957.0,957.0,959.0,961.0,961.0,965.0,967.0,969.0,982.0,989.0,992.0,997.0,1004.0,1006.0,1006.0,1005.0,1009.0,1019.0
unmatched_applicants,1026.0,957.0,957.0,957.0,957.0,957.0,962.0,964.0,965.0,964.0,969.0,973.0,977.0,987.0,993.0,998.0,1004.0,1005.0,1007.0,1008.0,1008.0,1018.0
unmatched_applicants,1026.0,957.0,957.0,957.0,957.0,958.0,960.0,960.0,959.0,963.0,968.0,976.0,982.0,989.0,995.0,998.0,1001.0,1007.0,1002.0,1005.0,1011.0,1019.0
unmatched_applicants,1033.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,960.0,966.0,972.0,975.0,978.0,986.0,992.0,998.0,1000.0,1005.0,1003.0,1005.0,1011.0,1018.0
unfilled_spots,70.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,8.0,15.0,14.0,24.0,31.0,40.0,41.0,47.0,50.0,50.0,48.0,53.0,59.0
unfilled_spots,73.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,9.0,13.0,12.0,24.0,27.0,35.0,41.0,46.0,50.0,49.0,48.0,50.0,61.0
unfilled_spots,72.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,9.0,14.0,15.0,22.0,28.0,34.0,39.0,42.0,48.0,47.0,49.0,55.0,63.0
unfilled_spots,67.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,4.0,11.0,12.0,18.0,20.0,30.0,36.0,42.0,43.0,50.0,48.0,47.0,51.0,58.0
unfilled_spots,71.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,10.0,9.0,17.0,20.0,28.0,35.0,41.0,45.0,47.0,51.0,48.0,56.0,64.0
unfilled_spots,68.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,13.0,11.0,25.0,29.0,34.0,42.0,44.0,49.0,50.0,47.0,54.0,63.0
unfilled_spots,70.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,8.0,10.0,12.0,25.0,32.0,35.0,40.0,47.0,49.0,49.0,48.0,52.0,62.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,7.0,12.0,16.0,20.0,30.0,36.0,41.0,47.0,48.0,50.0,51.0,51.0,61.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,6.0,11.0,19.0,25.0,32.0,38.0,41.0,44.0,50.0,45.0,48.0,54.0,62.0
unfilled_spots,76.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,15.0,18.0,21.0,29.0,35.0,41.0,43.0,48.0,46.0,48.0,54.0,61.0
reviews_per_program,696.4571428571429,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8
reviews_per_program,696.4571428571429,67.0,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8
reviews_per_program,696.4571428571429,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8
reviews_per_program,696.4571428571429,57.31428571428572,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8
reviews_per_program,696.4571428571429,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8
