Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
unmatched_applicants,1028.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,972.0,972.0,976.0,982.0,987.0,996.0,1003.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1026.0,968.0,968.0,968.0,968.0,968.0,968.0,969.0,968.0,968.0,972.0,975.0,975.0,982.0,989.0,997.0,1003.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1027.0,968.0,968.0,968.0,968.0,968.0,968.0,969.0,968.0,969.0,972.0,972.0,975.0,983.0,991.0,993.0,1003.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1028.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,969.0,972.0,972.0,976.0,983.0,991.0,998.0,1003.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1025.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,971.0,972.0,972.0,975.0,982.0,990.0,997.0,1002.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1026.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,972.0,972.0,977.0,983.0,989.0,999.0,1003.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1024.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,972.0,972.0,975.0,977.0,991.0,997.0,1000.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1026.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,970.0,972.0,972.0,977.0,982.0,991.0,994.0,1002.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1027.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,970.0,972.0,972.0,975.0,982.0,989.0,998.0,1001.0,1008.0,1008.0,1008.0,1008.0
unmatched_applicants,1028.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,972.0,972.0,978.0,982.0,988.0,995.0,1003.0,1008.0,1008.0,1008.0,1008.0
unfilled_spots,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,14.0,19.0,28.0,35.0,40.0,40.0,40.0,40.0
unfilled_spots,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,7.0,14.0,21.0,29.0,35.0,40.0,40.0,40.0,40.0
unfilled_spots,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,7.0,15.0,23.0,25.0,35.0,40.0,40.0,40.0,40.0
unfilled_spots,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,8.0,15.0,23.0,30.0,35.0,40.0,40.0,40.0,40.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,7.0,14.0,22.0,29.0,34.0,40.0,40.0,40.0,40.0
unfilled_spots,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,15.0,21.0,31.0,35.0,40.0,40.0,40.0,40.0
unfilled_spots,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,9.0,23.0,29.0,32.0,40.0,40.0,40.0,40.0
unfilled_spots,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,9.0,14.0,23.0,26.0,34.0,40.0,40.0,40.0,40.0
unfilled_spots,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,14.0,21.0,30.0,33.0,40.0,40.0,40.0,40.0
unfilled_spots,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,14.0,20.0,27.0,35.0,40.0,40.0,40.0,40.0
reviews_per_program,728.1142857142858,171.25714285714287,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,224.68571428571428,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,241.9142857142857,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,176.0,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,212.37142857142857,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,235.45714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,150.02857142857144,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,244.74285714285713,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,224.8,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
reviews_per_program,728.1142857142858,148.57142857142858,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571
pct_interview_given_signal,0.0,0.8619133574007221,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8537906137184116,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8601083032490975,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8619133574007221,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8592057761732852,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8537906137184116,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8610108303249098,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8501805054151624,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8564981949458483,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_signal,0.0,0.8610108303249098,0.44223826714801445,0.29482551143200963,0.22111913357400723,0.17689530685920576,0.14741275571600482,0.1263537906137184,0.11055956678700361,0.09827517047733654,0.08844765342960288,0.08040695766327535,0.07370637785800241,0.06803665648430991,0.0631768953068592,0.05896510228640193,0.05527978339350181,0.05202803142917817,0.04913758523866827,0.04655139654189626,0.04422382671480144
pct_interview_given_nosignal,0.038455501491131694,0.0010255989497866755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0013948145717098785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0011076468657696095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0010255989497866755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0011486708237610766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0013948145717098785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0010666229077781425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0015589104036757466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0012717426977354774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.038455501491131694,0.0010666229077781425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694
pct_interview_given_application,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694
pct_interview_given_application,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694
pct_interview_given_application,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694,0.038455501491131694
