Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
unmatched_applicants,1037.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,962.0,963.0,965.0,973.0,980.0,980.0,983.0,983.0,985.0,989.0,1001.0,1006.0,1010.0,1020.0,1021.0,1017.0,1018.0,1017.0,1024.0
unmatched_applicants,1036.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,965.0,966.0,974.0,984.0,982.0,981.0,982.0,982.0,990.0,998.0,1003.0,1016.0,1018.0,1018.0,1019.0,1020.0,1023.0,1021.0
unmatched_applicants,1039.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,961.0,971.0,978.0,980.0,980.0,980.0,981.0,984.0,994.0,999.0,1005.0,1012.0,1018.0,1019.0,1018.0,1019.0,1021.0,1032.0
unmatched_applicants,1033.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,968.0,971.0,974.0,981.0,980.0,981.0,978.0,986.0,993.0,998.0,1009.0,1013.0,1020.0,1020.0,1018.0,1020.0,1022.0,1033.0
unmatched_applicants,1037.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,958.0,969.0,971.0,975.0,981.0,979.0,981.0,981.0,984.0,985.0,996.0,1006.0,1020.0,1018.0,1017.0,1017.0,1018.0,1025.0,1034.0
unmatched_applicants,1034.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,967.0,969.0,981.0,979.0,981.0,981.0,980.0,981.0,989.0,994.0,1005.0,1010.0,1020.0,1017.0,1019.0,1020.0,1023.0,1027.0
unmatched_applicants,1036.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,971.0,971.0,973.0,984.0,981.0,981.0,984.0,981.0,987.0,1000.0,1003.0,1011.0,1019.0,1020.0,1019.0,1018.0,1024.0,1023.0
unmatched_applicants,1041.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,963.0,971.0,973.0,984.0,985.0,981.0,980.0,981.0,992.0,1004.0,1011.0,1011.0,1018.0,1019.0,1017.0,1021.0,1019.0,1029.0
unmatched_applicants,1040.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,965.0,973.0,970.0,981.0,981.0,980.0,979.0,984.0,989.0,1002.0,1006.0,1009.0,1022.0,1019.0,1019.0,1019.0,1022.0,1029.0
unmatched_applicants,1034.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,966.0,975.0,976.0,981.0,985.0,988.0,982.0,988.0,989.0,996.0,1005.0,1013.0,1020.0,1022.0,1020.0,1019.0,1021.0,1021.0
unfilled_spots,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,16.0,23.0,23.0,26.0,26.0,28.0,32.0,44.0,49.0,53.0,63.0,64.0,60.0,61.0,60.0,67.0
unfilled_spots,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,17.0,27.0,25.0,24.0,25.0,25.0,33.0,41.0,46.0,59.0,61.0,61.0,62.0,63.0,66.0,64.0
unfilled_spots,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,14.0,21.0,23.0,23.0,23.0,24.0,27.0,37.0,42.0,48.0,55.0,61.0,62.0,61.0,62.0,64.0,75.0
unfilled_spots,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,14.0,17.0,24.0,23.0,24.0,21.0,29.0,36.0,41.0,52.0,56.0,63.0,63.0,61.0,63.0,65.0,76.0
unfilled_spots,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,14.0,18.0,24.0,22.0,24.0,24.0,27.0,28.0,39.0,49.0,63.0,61.0,60.0,60.0,61.0,68.0,77.0
unfilled_spots,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,24.0,22.0,24.0,24.0,23.0,24.0,32.0,37.0,48.0,53.0,63.0,60.0,62.0,63.0,66.0,70.0
unfilled_spots,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,16.0,27.0,24.0,24.0,27.0,24.0,30.0,43.0,46.0,54.0,62.0,63.0,62.0,61.0,67.0,66.0
unfilled_spots,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,14.0,16.0,27.0,28.0,24.0,23.0,24.0,35.0,47.0,54.0,54.0,61.0,62.0,60.0,64.0,62.0,72.0
unfilled_spots,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,13.0,24.0,24.0,23.0,22.0,27.0,32.0,45.0,49.0,52.0,65.0,62.0,62.0,62.0,65.0,72.0
unfilled_spots,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,18.0,19.0,24.0,28.0,31.0,25.0,31.0,32.0,39.0,48.0,56.0,63.0,65.0,63.0,62.0,64.0,64.0
reviews_per_program,1013.0285714285715,964.0571428571428,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143,854.7428571428571,886.4,918.0571428571428,949.7142857142857,981.3714285714286
reviews_per_program,1013.0285714285715,939.1428571428571,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143,854.7428571428571,886.4,918.0571428571428,949.7142857142857,981.3714285714286
reviews_per_program,1013.0285714285715,962.6285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143,854.7428571428571,886.4,918.0571428571428,949.7142857142857,981.3714285714286
reviews_per_program,1013.0285714285715,933.2857142857143,89.0,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143,854.7428571428571,886.4,918.0571428571428,949.7142857142857,981.3714285714286
reviews_per_program,1013.0285714285715,988.6285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143,854.7428571428571,886.4,918.0571428571428,949.7142857142857,981.3714285714286
reviews_per_program,1013.0285714285715,933.8571428571429,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143,854.7428571428571,886.4,918.0571428571428,949.7142857142857,981.3714285714286
