Parameter,0,1,2,3,4,5
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unmatched_applicants,968.0,968.0,968.0,968.0,968.0,968.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,253.25714285714287,253.25714285714287,165.0,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,155.6,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,144.37142857142857,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,161.5142857142857,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,160.57142857142858,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,134.62857142857143,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,177.05714285714285,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,149.37142857142857,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,166.0857142857143,94.97142857142858,126.62857142857143,158.28571428571428
reviews_per_program,253.25714285714287,253.25714285714287,150.2,94.97142857142858,126.62857142857143,158.28571428571428
pct_interview_given_signal,0.0,1.0,0.9562274368231047,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9611913357400722,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9602888086642599,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9553249097472925,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9634476534296029,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9607400722021661,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9643501805054152,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9598375451263538,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9575812274368231,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_signal,0.0,1.0,0.9598375451263538,0.6738868832731648,0.5054151624548736,0.4043321299638989
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.018200962695547534,0.0,0.0,0.0
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.01654632972322503,0.0,0.0,0.0
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.01684717208182912,0.0,0.0,0.0
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.018501805054151624,0.0,0.0,0.0
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.0157942238267148,0.0,0.0,0.0
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.016696750902527077,0.0,0.0,0.0
pct_interview_given_nosignal,0.2527075812274368,0.14595152140278495,0.01549338146811071,0.0,0.0,0.0
