Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,1610.0,1527.0,1527.0,1527.0,1527.0,1529.0,1540.0,1549.0,1553.0,1588.0
unmatched_applicants,1598.0,1528.0,1527.0,1527.0,1527.0,1527.0,1534.0,1560.0,1550.0,1574.0
unmatched_applicants,1606.0,1527.0,1527.0,1527.0,1527.0,1529.0,1540.0,1555.0,1552.0,1591.0
unmatched_applicants,1608.0,1528.0,1528.0,1527.0,1527.0,1532.0,1531.0,1560.0,1553.0,1571.0
unmatched_applicants,1626.0,1528.0,1527.0,1528.0,1527.0,1528.0,1533.0,1549.0,1556.0,1584.0
unmatched_applicants,1608.0,1527.0,1527.0,1527.0,1527.0,1528.0,1539.0,1563.0,1559.0,1581.0
unmatched_applicants,1606.0,1527.0,1527.0,1527.0,1527.0,1529.0,1532.0,1548.0,1561.0,1580.0
unmatched_applicants,1607.0,1527.0,1527.0,1527.0,1527.0,1529.0,1528.0,1550.0,1560.0,1579.0
unmatched_applicants,1611.0,1527.0,1527.0,1527.0,1527.0,1530.0,1534.0,1554.0,1557.0,1577.0
unmatched_applicants,1612.0,1527.0,1527.0,1527.0,1527.0,1530.0,1531.0,1556.0,1558.0,1585.0
unfilled_spots,83.0,0.0,0.0,0.0,0.0,2.0,13.0,22.0,26.0,61.0
unfilled_spots,71.0,1.0,0.0,0.0,0.0,0.0,7.0,33.0,23.0,47.0
unfilled_spots,79.0,0.0,0.0,0.0,0.0,2.0,13.0,28.0,25.0,64.0
unfilled_spots,81.0,1.0,1.0,0.0,0.0,5.0,4.0,33.0,26.0,44.0
unfilled_spots,99.0,1.0,0.0,1.0,0.0,1.0,6.0,22.0,29.0,57.0
unfilled_spots,81.0,0.0,0.0,0.0,0.0,1.0,12.0,36.0,32.0,54.0
unfilled_spots,79.0,0.0,0.0,0.0,0.0,2.0,5.0,21.0,34.0,53.0
unfilled_spots,80.0,0.0,0.0,0.0,0.0,2.0,1.0,23.0,33.0,52.0
unfilled_spots,84.0,0.0,0.0,0.0,0.0,3.0,7.0,27.0,30.0,50.0
unfilled_spots,85.0,0.0,0.0,0.0,0.0,3.0,4.0,29.0,31.0,58.0
reviews_per_program,87.6657824933687,87.6657824933687,85.80901856763926,62.86472148541114,43.45358090185676,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,86.07957559681698,64.83289124668435,41.48275862068966,44.15915119363395,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,84.6790450928382,64.09283819628648,41.3315649867374,44.04774535809018,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,86.41114058355437,64.26525198938992,41.70026525198939,44.39257294429708,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,86.20424403183024,65.21750663129974,41.10344827586207,44.08753315649867,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,85.19893899204244,63.69761273209549,42.53050397877984,44.15649867374005,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,85.83023872679045,66.27851458885942,40.80371352785146,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,85.29442970822281,64.45092838196287,40.824933687002655,44.3368700265252,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,84.96816976127322,63.350132625994696,41.0106100795756,43.94164456233422,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
reviews_per_program,87.6657824933687,87.6657824933687,86.44031830238727,64.28647214854111,43.26790450928382,44.16180371352785,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184
pct_interview_given_signal,0.0,1.0,0.9984871406959153,0.9492687846696923,0.7934190620272314,0.6455673222390318,0.5379727685325265,0.4611195158850227,0.40347957639939486,0.35864851235501766
