Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,2114.0,1535.0,1528.0,1527.0,1527.0,1530.0,1532.0,1554.0,1559.0,1577.0,1614.0,1632.0,1668.0,1687.0,1683.0,1710.0,1763.0,1778.0,1786.0,1780.0,1862.0,1883.0,1874.0,1851.0,1981.0,1973.0,1983.0,1993.0,2072.0,2082.0,2077.0
unmatched_applicants,2057.0,1534.0,1529.0,1527.0,1527.0,1527.0,1541.0,1557.0,1553.0,1586.0,1612.0,1619.0,1652.0,1673.0,1686.0,1697.0,1761.0,1765.0,1774.0,1796.0,1866.0,1879.0,1874.0,1860.0,1969.0,1983.0,1982.0,1975.0,2071.0,2088.0,2082.0
unmatched_applicants,2095.0,1536.0,1528.0,1527.0,1527.0,1531.0,1531.0,1550.0,1551.0,1577.0,1594.0,1640.0,1661.0,1679.0,1682.0,1713.0,1756.0,1766.0,1784.0,1787.0,1862.0,1863.0,1890.0,1885.0,1967.0,1956.0,1984.0,1988.0,2080.0,2087.0,2076.0
unmatched_applicants,2080.0,1538.0,1527.0,1527.0,1527.0,1527.0,1534.0,1556.0,1552.0,1585.0,1610.0,1635.0,1662.0,1680.0,1685.0,1712.0,1759.0,1764.0,1782.0,1792.0,1867.0,1867.0,1875.0,1905.0,1987.0,1968.0,1983.0,1978.0,2067.0,2062.0,2081.0
unmatched_applicants,2079.0,1542.0,1527.0,1530.0,1527.0,1527.0,1535.0,1554.0,1560.0,1585.0,1605.0,1636.0,1646.0,1660.0,1689.0,1701.0,1764.0,1775.0,1763.0,1803.0,1853.0,1875.0,1872.0,1875.0,1972.0,1978.0,1958.0,1975.0,2060.0,2093.0,2077.0
unmatched_applicants,2087.0,1539.0,1531.0,1527.0,1527.0,1527.0,1540.0,1558.0,1559.0,1581.0,1610.0,1627.0,1647.0,1667.0,1688.0,1724.0,1749.0,1766.0,1787.0,1785.0,1857.0,1862.0,1868.0,1879.0,1958.0,1952.0,1958.0,1958.0,2077.0,2089.0,2060.0
unmatched_applicants,2086.0,1536.0,1530.0,1527.0,1527.0,1529.0,1540.0,1557.0,1556.0,1581.0,1618.0,1632.0,1648.0,1672.0,1696.0,1714.0,1772.0,1764.0,1782.0,1783.0,1858.0,1872.0,1874.0,1885.0,1983.0,1992.0,1981.0,1976.0,2089.0,2078.0,2092.0
unmatched_applicants,2106.0,1537.0,1528.0,1527.0,1527.0,1527.0,1539.0,1555.0,1563.0,1576.0,1606.0,1628.0,1644.0,1668.0,1682.0,1718.0,1750.0,1767.0,1766.0,1787.0,1869.0,1860.0,1884.0,1874.0,1971.0,1971.0,1975.0,1980.0,2084.0,2058.0,2071.0
unmatched_applicants,2078.0,1540.0,1527.0,1527.0,1527.0,1530.0,1533.0,1557.0,1550.0,1576.0,1615.0,1639.0,1656.0,1683.0,1695.0,1710.0,1753.0,1768.0,1778.0,1792.0,1863.0,1880.0,1863.0,1863.0,1991.0,1964.0,1983.0,1970.0,2043.0,2093.0,2103.0
unmatched_applicants,2076.0,1533.0,1529.0,1527.0,1527.0,1533.0,1536.0,1550.0,1559.0,1583.0,1604.0,1633.0,1654.0,1673.0,1694.0,1712.0,1763.0,1769.0,1777.0,1795.0,1856.0,1858.0,1857.0,1892.0,1968.0,1981.0,1961.0,1976.0,2082.0,2074.0,2093.0
unfilled_spots,587.0,8.0,1.0,0.0,0.0,3.0,5.0,27.0,32.0,50.0,87.0,105.0,141.0,160.0,156.0,183.0,236.0,251.0,259.0,253.0,335.0,356.0,347.0,324.0,454.0,446.0,456.0,466.0,545.0,555.0,550.0
unfilled_spots,530.0,7.0,2.0,0.0,0.0,0.0,14.0,30.0,26.0,59.0,85.0,92.0,125.0,146.0,159.0,170.0,234.0,238.0,247.0,269.0,339.0,352.0,347.0,333.0,442.0,456.0,455.0,448.0,544.0,561.0,555.0
unfilled_spots,568.0,9.0,1.0,0.0,0.0,4.0,4.0,23.0,24.0,50.0,67.0,113.0,134.0,152.0,155.0,186.0,229.0,239.0,257.0,260.0,335.0,336.0,363.0,358.0,440.0,429.0,457.0,461.0,553.0,560.0,549.0
unfilled_spots,553.0,11.0,0.0,0.0,0.0,0.0,7.0,29.0,25.0,58.0,83.0,108.0,135.0,153.0,158.0,185.0,232.0,237.0,255.0,265.0,340.0,340.0,348.0,378.0,460.0,441.0,456.0,451.0,540.0,535.0,554.0
unfilled_spots,552.0,15.0,0.0,3.0,0.0,0.0,8.0,27.0,33.0,58.0,78.0,109.0,119.0,133.0,162.0,174.0,237.0,248.0,236.0,276.0,326.0,348.0,345.0,348.0,445.0,451.0,431.0,448.0,533.0,566.0,550.0
unfilled_spots,560.0,12.0,4.0,0.0,0.0,0.0,13.0,31.0,32.0,54.0,83.0,100.0,120.0,140.0,161.0,197.0,222.0,239.0,260.0,258.0,330.0,335.0,341.0,352.0,431.0,425.0,431.0,431.0,550.0,562.0,533.0
unfilled_spots,559.0,9.0,3.0,0.0,0.0,2.0,13.0,30.0,29.0,54.0,91.0,105.0,121.0,145.0,169.0,187.0,245.0,237.0,255.0,256.0,331.0,345.0,347.0,358.0,456.0,465.0,454.0,449.0,562.0,551.0,565.0
unfilled_spots,579.0,10.0,1.0,0.0,0.0,0.0,12.0,28.0,36.0,49.0,79.0,101.0,117.0,141.0,155.0,191.0,223.0,240.0,239.0,260.0,342.0,333.0,357.0,347.0,444.0,444.0,448.0,453.0,557.0,531.0,544.0
unfilled_spots,551.0,13.0,0.0,0.0,0.0,3.0,6.0,30.0,23.0,49.0,88.0,112.0,129.0,156.0,168.0,183.0,226.0,241.0,251.0,265.0,336.0,353.0,336.0,336.0,464.0,437.0,456.0,443.0,516.0,566.0,576.0
unfilled_spots,549.0,6.0,2.0,0.0,0.0,6.0,9.0,23.0,32.0,56.0,77.0,106.0,127.0,146.0,167.0,185.0,236.0,242.0,250.0,268.0,329.0,331.0,330.0,365.0,441.0,454.0,434.0,449.0,555.0,547.0,566.0
reviews_per_program,271.763925729443,271.763925729443,267.0238726790451,179.88859416445624,62.80901856763926,44.48806366047745,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
reviews_per_program,271.763925729443,271.763925729443,265.6604774535809,177.395225464191,64.60212201591511,46.204244031830235,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
reviews_per_program,271.763925729443,271.763925729443,265.2122015915119,170.3527851458886,62.70026525198939,45.649867374005304,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
reviews_per_program,271.763925729443,271.763925729443,268.50663129973475,176.40848806366049,65.74005305039788,45.755968169761275,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
reviews_per_program,271.763925729443,271.763925729443,265.6339522546419,180.24403183023873,66.55968169761273,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
reviews_per_program,271.763925729443,271.763925729443,265.80371352785147,177.73474801061008,65.05039787798408,46.254641909814325,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
reviews_per_program,271.763925729443,271.763925729443,266.262599469496,173.0371352785146,65.77984084880637,44.48806366047745,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548,245.46419098143235,254.23076923076923,262.9973474801061
